title,paper name,vol,Does the article contain any of these keywords: cancer/tumor/tumour?,Study subject labelled as ‘patient/patients’ in dataset(s),dataset quantity,quantity of public datasets,quantity of private datasets,Does the dataset contain sex-specific organ(s)?,Female and/or male organs?,location ,location as a healthcare facility,name of healthcare facility,location as other (center/department/laboratory/university/institution/online),name of location as other (center/department/laboratory/university/institution/online),location as large-scale geographical entity,name of location as large-scale geographical entity,location as subnational geographical entity,name of location as subnational geographical entity,Information found outside article (such as sup material and/or by references,organ_category,organ_types,Central Nervous System,Head and Neck,Cardiovascular System,Respiratory System,Digestive System,Lymphatic System,Musculoskeletal System,Integumentary System,Endocrine System,Whole Body,Genitourinary System,Male Reproductive System,Female Reproductive System,No Organ Mentioned,Zoology,organ_category_refined,image_category,demographics_usage,dataset_disclosure_category,dataset_status,location_category
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,14,1,1,1,1,0,1,0,,1,1,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Digestive System'],['abdomen '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Digestive and Excretory Systems,Computed Tomography (CT),Limited Use of Demographic Data,Full Disclosure,All Private,Healthcare facility
A Multi-task Network for Anatomy Identification in Endoscopic Pituitary Surgery,45,9,1,1,1,0,0,0,,1,1,['national hospital of neurology and neurosurgery'],0,['No Name'],1,['united kingdom'],1,['london'],1,['Endocrine System'],['pituitary gland'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulatory Systems,Endoscopy,Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,46,8,1,1,1,0,0,0,,1,1,['anonymous'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Female Reproductive System'],['breast'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female Reproductive System,Magnetic Resonance Imaging (MRI),Extensive Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,74,3,1,1,3,2,0,1,male,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Male Reproductive System'],['prostate'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Male Reproductive System,"Histology and Pathology, Magnetic Resonance Imaging (MRI)",No Demographic Data,Partial Disclosure,Some Public Some Unknown,No Location information
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,17,1,1,1,1,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Central Nervous System'],['brain'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,Magnetic Resonance Imaging (MRI),No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,68,6,1,1,1,1,0,0,,1,0,['No Name'],1,['moffitt cancer center'],0,['No Name'],0,['No Name'],0,['Head and Neck'],"['head and neck', 'h&n']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,Spectrometry and Specialized Imaging,Extensive Use of Demographic Data,Full Disclosure,All Public,Other
An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,56,6,1,1,1,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Endocrine System'],['thyroid'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulatory Systems,Histology and Pathology,No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Anatomy-Driven Pathology Detection on Chest X-rays,6,1,1,1,3,0,0,0,,1,1,"['national institutes of health clinical center', 'beth israel deaconess medical center']",1,"['national institutes of health clinical center', 'beth israel deaconess medical center']",1,['us'],1,['boston'],1,['Respiratory System'],['chest'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,X-ray and Radiography,Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,50,7,1,1,1,0,1,1,male,1,1,['medical faculty heidelberg'],0,['No Name'],1,,1,['helskini'],0,['Male Reproductive System'],['prostate'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Male Reproductive System,Magnetic Resonance Imaging (MRI),Limited Use of Demographic Data,Full Disclosure,All Private,Healthcare facility
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,21,3,1,1,4,0,2,0,,0,0,['No Name'],1,['different sites'],0,['No Name'],0,['No Name'],0,"['Cardiovascular System', 'Respiratory System']","['heart', 'chest', 'lung']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,"Ultrasound, Echocardiography, X-ray and Radiography",Limited Use of Demographic Data,Partial Disclosure,Some Private Some Unknown,No Location information
atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,23,8,1,1,2,1,1,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Central Nervous System'],['brain'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,Magnetic Resonance Imaging (MRI),No Demographic Data,Full Disclosure,Public and Private,No Location information
Automated CT Lung Cancer Screening Workflow Using 3D Camera,40,7,1,1,3,0,0,0,,1,0,['No Name'],0,['No Name'],1,"['north america', 'asia', 'europe']",1,"['unknown', 'referred to as ""different sites""']",0,['Respiratory System'],['lung'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,"Computed Tomography (CT), Three-dimensional Imaging",Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Large-scale geographical entity
Automatic Bleeding Risk Rating System of Gastric Varices,1,5,1,1,1,0,1,0,,1,1,['grade-III class-A hospital'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Digestive System'],"['stomach', 'abdomen']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Digestive and Excretory Systems,Endoscopy,Limited Use of Demographic Data,Full Disclosure,All Private,Healthcare facility
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,47,4,1,1,2,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Respiratory System'],['lung'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,"Computed Tomography (CT), Echocardiography, Magnetic Resonance Imaging (MRI)",No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,53,7,1,1,2,0,0,0,,1,0,['No Name'],1,['BSC kingston health sciences center'],0,['No Name'],0,['No Name'],0,['Female Reproductive System'],['breast'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female Reproductive System,Spectrometry and Specialized Imaging,Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Other
CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,35,5,1,1,1,1,0,0,,1,0,['No Name'],1,['the cancer imaging archive'],0,['No Name'],0,['No Name'],0,['Respiratory System'],['lung'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,Computed Tomography (CT),No Demographic Data,Full Disclosure,All Public,Other
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,1,4,1,1,6,0,6,1,male,1,1,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Male Reproductive System'],['prostate'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Male Reproductive System,Magnetic Resonance Imaging (MRI),Limited Use of Demographic Data,Full Disclosure,All Private,Healthcare facility
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,20,2,1,0,2,2,0,0,,1,0,['No Name'],1,['No Name'],0,['No Name'],0,['No Name'],1,['Digestive System'],['colorectal '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Digestive and Excretory Systems,"Histology and Pathology, Computed Tomography (CT)",Limited Use of Demographic Data,Full Disclosure,All Public,Other
Certification of Deep Learning Models for Medical Image Segmentation,58,4,1,0,5,5,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,"['Respiratory System', 'Cardiovascular System', 'Integumentary System', 'Digestive System']","['chest', 'lung', 'heart', 'skin', 'colon\n\n\n']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"Circulatory and Respiratory Systems, Digestive and Excretory Systems, Structural and Protective Systems","Endoscopy, Optical Imaging, X-ray and Radiography",No Demographic Data,Full Disclosure,All Public,No Location information
Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,64,8,1,0,2,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Female Reproductive System'],['breast'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female Reproductive System,Histology and Pathology,No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,16,5,1,1,2,2,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Lymphatic System'],['lymp nodes'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Regulatory Systems,Histology and Pathology,No Demographic Data,Full Disclosure,All Public,No Location information
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,25,9,1,0,2,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['No Organ Mentioned'],['no organ mentioned'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No Organ Mentioned,"Echocardiography, Endoscopy, Three-dimensional Imaging",No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Detection of Basal Cell Carcinoma in Whole Slide Images,26,6,1,0,3,0,0,0,,1,0,['No Name'],1,['south sun pathology laboratory'],0,['No Name'],0,['No Name'],0,['Integumentary System'],['skin'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Structural and Protective Systems,Histology and Pathology,Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Other
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,46,3,1,1,3,3,0,1,male,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,"['Male Reproductive System', 'Central Nervous System', 'Digestive System', 'Genitourinary System']","['prostate', 'brain', 'abdomen', 'kidney', 'liver']",1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"Central and Peripheral Nervous System, Digestive and Excretory Systems, Male Reproductive System","Computed Tomography (CT), Magnetic Resonance Imaging (MRI)",No Demographic Data,Full Disclosure,All Public,No Location information
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,10,4,1,1,1,1,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Female Reproductive System'],['breast'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female Reproductive System,Magnetic Resonance Imaging (MRI),No Demographic Data,Full Disclosure,All Public,No Location information
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,72,10,1,1,3,1,0,1,male,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,"['Central Nervous System', 'Digestive System', 'Genitourinary System', 'Male Reproductive System']","['brain', 'abdomen', 'pelvic region', 'prostate', 'liver']",1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"Central and Peripheral Nervous System, Digestive and Excretory Systems, Male Reproductive System","Computed Tomography (CT), Ultrasound, Magnetic Resonance Imaging (MRI)",No Demographic Data,Partial Disclosure,Some Public Some Unknown,No Location information
Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,74,5,1*,1,2,0,0,0,,1,1,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Central Nervous System'],['brain'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,Magnetic Resonance Imaging (MRI),Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,66,9,1,1,1,1,0,0,,0,0,['No Name'],0,['No Name'],1,['No Name'],0,['No Name'],1,['Central Nervous System'],"['brain', 'cerebral']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,"Ultrasound, Magnetic Resonance Imaging (MRI)",No Demographic Data,Full Disclosure,All Public,No Location information
Gene-Induced Multimodal Pre-training for Image-Omic Classification,49,6,1,1,1,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Respiratory System'],['lung'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,Histology and Pathology,No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Geometry-Invariant Abnormality Detection,29,1,1,0,2,0,1,0,,1,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Whole Body'],['whole body'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Whole Body,"Computed Tomography (CT), Positron Emission Tomography (PET)",No Demographic Data,Partial Disclosure,Some Private Some Unknown,Subnational geographical entity
