datasets,count,percentage
ABD-110 Dataset,1,0.5747126436781609
ABDOMEN-1K Dataset,1,0.5747126436781609
ACDC Dataset,1,0.5747126436781609
ADHD Dataset,1,0.5747126436781609
ADNI Dataset,1,0.5747126436781609
AIDA Dataset,1,0.5747126436781609
ATLAS v2.0 Dataset,1,0.5747126436781609
AutoPET Dataset,1,0.5747126436781609
BRCA-M2C2 Dataset,1,0.5747126436781609
BUSI Dataset,1,0.5747126436781609
BUSIS Dataset,1,0.5747126436781609
BraTS Dataset,3,1.7241379310344827
BraTS Dataset 2017,1,0.5747126436781609
BraTS Dataset 2020,1,0.5747126436781609
BraTS Dataset 2021,2,1.1494252873563218
Brain Genomics Superstruct Project,1,0.5747126436781609
BreakHis Dataset,1,0.5747126436781609
Breast-MRINACT-Pilot Dataset,1,0.5747126436781609
Buckner Dataset,1,0.5747126436781609
CAMUS Dataset,1,0.5747126436781609
CBIS-DDSM Dataset,1,0.5747126436781609
CD-ITB Dataset,1,0.5747126436781609
CMRxMotion Dataset,1,0.5747126436781609
COFFBEE Dataset,1,0.5747126436781609
CONSEP1 Dataset,1,0.5747126436781609
COVID-19 Segmentation Benchmark,1,0.5747126436781609
CRC Dataset,1,0.5747126436781609
CVC-ClinicDB Dataset,1,0.5747126436781609
Camelyon Dataset,2,1.1494252873563218
Camelyon16 Dataset,1,0.5747126436781609
Camelyon17 Dataset,1,0.5747126436781609
ChestMNIST Dataset,1,0.5747126436781609
ChestXR Dataset,1,0.5747126436781609
Colored MNIST Dataset,1,0.5747126436781609
DECATH-Pancreas Dataset,1,0.5747126436781609
DERMAMNIST Dataset,1,0.5747126436781609
DLIVER Dataset,1,0.5747126436781609
DLUNG Dataset,1,0.5747126436781609
DM Dataset,1,0.5747126436781609
Dataset B,1,0.5747126436781609
DeepLesion Dataset,1,0.5747126436781609
Easy-RESECT Dataset,1,0.5747126436781609
Ex Vivo Monkey DMRI Dataset,1,0.5747126436781609
Eye Gaze Dataset,1,0.5747126436781609
FastMRI+ Dataset,1,0.5747126436781609
GBC US Dataset,1,0.5747126436781609
GOLD ATLAS Dataset,1,0.5747126436781609
GVBLEED Dataset,1,0.5747126436781609
Gaze Dataset,1,0.5747126436781609
HECKTOR 2022 Dataset,1,0.5747126436781609
HER2 Dataset,1,0.5747126436781609
HMSS Dataset,1,0.5747126436781609
HaN Dataset,1,0.5747126436781609
HaN-SEG Dataset,1,0.5747126436781609
Human Connectome Project,2,1.1494252873563218
INbreast Dataset,1,0.5747126436781609
ISIC 2018 Dataset,1,0.5747126436781609
ISLES Dataset,1,0.5747126436781609
ISPY-1 Dataset,1,0.5747126436781609
IXI Dataset,1,0.5747126436781609
In Vivo Human Brain MTE Dataset,1,0.5747126436781609
Intra Dataset,1,0.5747126436781609
JSRT Dataset,2,1.1494252873563218
Jerry Dataset,1,0.5747126436781609
KIRC Dataset,1,0.5747126436781609
KiTS Dataset,1,0.5747126436781609
KiTS19 Dataset,1,0.5747126436781609
KiTS21 Dataset,1,0.5747126436781609
Kvasir-SEG Dataset,1,0.5747126436781609
LIDC-IDRI Dataset,4,2.2988505747126435
LIZARD3 Dataset,1,0.5747126436781609
LLD Dataset,1,0.5747126436781609
LPBA Dataset,1,0.5747126436781609
LUNGx Challenge Dataset,1,0.5747126436781609
LiTS Dataset,2,1.1494252873563218
Lyon19 Challenge Dataset,1,0.5747126436781609
M&Ms Dataset,1,0.5747126436781609
MEDMNISTv2 Dataset,1,0.5747126436781609
MIMIC-CXR Dataset,1,0.5747126436781609
MSD Spleen Dataset,1,0.5747126436781609
MSKUS Dataset,1,0.5747126436781609
MSSEG Dataset,1,0.5747126436781609
Mayo Clinic Low-Dose CT Grand Challenge Dataset,1,0.5747126436781609
Mindboggle Dataset,1,0.5747126436781609
Montgomery Dataset,1,0.5747126436781609
NIH ChestXray-14 Dataset,1,0.5747126436781609
NIH ChestXray-8 Dataset,1,0.5747126436781609
NLST Dataset,3,1.7241379310344827
NSCLC-TCIA Dataset,1,0.5747126436781609
NUCLICK Training Dataset,1,0.5747126436781609
Name of Dataset not Provided,41,23.563218390804597
OASIS-1 Dataset,1,0.5747126436781609
PANDAS Dataset,1,0.5747126436781609
PCa-AS Dataset,1,0.5747126436781609
PCa-BT Dataset,1,0.5747126436781609
PDDCA Dataset,1,0.5747126436781609
PNEN Dataset,1,0.5747126436781609
PatchGastric Stomach Tumor Pathological Image Dataset,1,0.5747126436781609
PolypGen Dataset,1,0.5747126436781609
QUBIQ 2020 Dataset,1,0.5747126436781609
REFUGE Dataset,2,1.1494252873563218
RESECT Dataset,3,1.7241379310344827
RIDER Dataset,1,0.5747126436781609
SPARE Dataset,1,0.5747126436781609
Shenzen Dataset,1,0.5747126436781609
Skin3D Dataset,1,0.5747126436781609
TCGA Dataset,3,1.7241379310344827
TCGA-BRCA Dataset,1,0.5747126436781609
TCGA-NSCLC,3,1.7241379310344827
TCIA Dataset,3,1.7241379310344827
THORAX-85 Dataset,1,0.5747126436781609
TNBN Dataset,1,0.5747126436781609
VINDR-CXR Dataset,1,0.5747126436781609
