,title,geolocation is used,gelocation as hospital,geolocation as continent,gelocation as country,geolocation as area
0,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,0,0,0,0,0
1,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,0,0,0,0,0
2,A Multi-task Network for Anatomy Identification in Endoscopic Pituitary Surgery,1,1,0,1,1
3,A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,0,0,0,0,0
4,A Sheaf Theoretic Perspective for Robust Prostate Segmentation,0,0,0,0,0
5,A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,0,0,0,0,0
6,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,1,1,0,0,0
7,A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,0,0,0,0,0
8,ACC-UNet: A Completely Convolutional UNet Model for the 2020s,0,0,0,0,0
9,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,0,0,0,0,0
10,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,0,0,0,0,0
11,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,0,0,0,0,0
12,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,0,0,0,0,0
13,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,0,0,0,0,0
14,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,0,0,0,0,0
15,An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,0,0,0,0,0
16,Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,0,0,0,0,0
17,Anatomy-Driven Pathology Detection on Chest X-rays,0,0,0,0,0
18,Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,0,0,0,0,0
19,Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models,0,0,0,0,0
20,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,0,0,0,0,0
21,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,0,0,0,0,0
22,Artifact Restoration in Histology Images with Diffusion Probabilistic Models,0,0,0,0,0
23,Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,1,0,0,1,0
24,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,0,0,0,0,0
25,Automated CT Lung Cancer Screening Workflow Using 3D Camera,0,0,0,0,0
26,Automatic Bleeding Risk Rating System of Gastric Varices,1,1,0,0,0
27,B-Cos Aligned Transformers Learn Human-Interpretable Features,0,0,0,0,0
28,BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,0,0,0,0,0
29,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,0,0,0,0,0
30,Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers,0,0,0,0,0
31,Brain Anatomy-Guided MRI Analysis for Assessing Clinical Progression of Cognitive Impairment with Structural MRI,1,1,0,1,0
32,Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,0,0,0,0,0
33,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,0,0,0,0,0
34,CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,0,0,0,0,0
35,Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,0,0,0,0,0
36,Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,0,0,0,0,0
37,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,0,0,0,0,0
38,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,0,0,0,0,0
39,Certification of Deep Learning Models for Medical Image Segmentation,0,0,0,0,0
40,CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,0,0,0,0,0
41,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,1,1,1,0,0
42,CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,0,0,0,0,0
43,Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,1,1,0,0,0
44,Clustering Disease Trajectories in Contrastive Feature Space for Biomarker Proposal in Age-Related Macular Degeneration,1,1,0,0,0
45,Co-assistant Networks for Label Correction,0,0,0,0,0
46,Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,0,0,0,0,0
47,CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis,0,0,0,0,0
48,COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,0,0,0,0,0
49,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,0,0,0,0,0
50,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,1,1,0,0,0
51,Contrastive Feature Decoupling for Weakly-Supervised Disease Detection,0,0,0,0,0
52,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,0,0,0,0,0
53,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,0,0,0,0,0
54,CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows,1,1,0,0,0
55,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation,1,1,0,1,0
56,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,0,0,0,0,0
57,DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,0,0,0,0,0
58,DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,0,0,0,0,0
59,DCAug: Domain-Aware and Content-Consistent Cross-Cycle Framework for Tumor Augmentation,0,0,0,0,0
60,DeDA: Deep Directed Accumulator,0,0,0,0,0
61,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,0,0,0,0,0
62,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,0,0,0,0,0
63,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,0,0,0,0,0
64,Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,0,0,0,0,0
65,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,0,0,0,0,0
66,Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,1,1,0,0,0
67,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,0,0,0,0,0
