title,keyword
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),issue
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),issue
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),issues
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),challenge
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),challenge
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features (vol1),challenge
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy (vol1),challenges
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy (vol1),problems
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning (vol1),problem
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning (vol1),issue
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography (vol1),hospital
SLPD: Slide-Level Prototypical Distillation for WSIs (vol1),problem
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation (vol1),challenges
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs (vol1),problem
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images (vol1),challenge
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images (vol1),challenges
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1),problems
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1),issues
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1),age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1),age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1),age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1),fair
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1),age
Structured State Space Models for Multiple Instance Learning in Digital Pathology (vol1),issue
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision (vol1),difficulties
Synthetic Augmentation with Large-Scale Unconditional Pre-training (vol2),bias
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation (vol2),challenge
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation (vol2),challenge
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation (vol2),challenges
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation (vol2),challenges
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models (vol2),issue
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification (vol2),hospitals
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification (vol2),difficulty
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation (vol2),challenge
Continual Learning for Abdominal Multi-organ and Tumor Segmentation (vol2),problem
Continual Learning for Abdominal Multi-organ and Tumor Segmentation (vol2),problem
Continual Learning for Abdominal Multi-organ and Tumor Segmentation (vol2),problem
Efficient Subclass Segmentation in Medical Images (vol2),problem
Efficient Subclass Segmentation in Medical Images (vol2),issue
Efficient Subclass Segmentation in Medical Images (vol2),bias
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing (vol2),challenges
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing (vol2),challenge
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing (vol2),difficult
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing (vol2),challenges
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing (vol2),hospital
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation (vol2),challenge
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation (vol2),challenge
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos (vol2),problem
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos (vol2),issues
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification (vol2),issue
SFusion: Self-attention Based N-to-One Multimodal Fusion Block (vol2),problem
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),problem
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),difficulties
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),difficult
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),balanced
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),challenge
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),imbalanced
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),imbalanced
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2),issues
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation (vol2),hospital
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation (vol2),hospital
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation (vol2),hospital
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner (vol3),challenges
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner (vol3),challenges
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification (vol3),problem
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification (vol3),problem
Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform (vol3),challenge
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation (vol3),challenges
WeakPolyp: You only Look Bounding Box for Polyp Segmentation (vol3),bias
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation (vol3),problem
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation (vol3),problems
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT (vol3),challenges
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images (vol3),challenges
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images (vol3),challenges
Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models (vol4),clinic
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network (vol4),women
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network (vol4),women
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network (vol4),bias
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network (vol4),difficult
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI (vol4),women
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI (vol4),imbalance
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI (vol4),issue
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation (vol4),challenge
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation (vol4),difficult
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation (vol4),challenge
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI (vol4),awareness
MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation (vol4),challenges
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images (vol4),challenges
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images (vol4),challenge
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images (vol4),challenge
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images (vol4),challenge
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation (vol4),issue
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),hospitals
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),issue
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),imbalanced
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),clinic
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),age
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),issue
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),hospitals
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),age
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4),age
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation (vol4),challenges
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation (vol4),imbalance
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation (vol4),problem
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation (vol4),balance
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality (vol4),challenges
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality (vol4),balance
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality (vol4),challenge
Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality(vol4),issue
Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality(vol4),challenge
Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality(vol4),problem
Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality(vol4),issue
Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality(vol4),problem
EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation (vol4),society
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI (vol4),difficulties
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping (vol4),challenges
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping (vol4),challenge
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation (vol4),balance
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4),imbalanced
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4),fairness
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4),fairness
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4),fairness
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4),fairness
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4),fairness
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4),fairness
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer (vol5),difficulties
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment (vol5),problem
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment (vol5),issue
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment (vol5),society
Detection of Basal Cell Carcinoma in Whole Slide Images (vol5),fairness
Detection of Basal Cell Carcinoma in Whole Slide Images (vol5),fair
Detection of Basal Cell Carcinoma in Whole Slide Images (vol5),fair
Detection of Basal Cell Carcinoma in Whole Slide Images (vol5),balanced
Detection of Basal Cell Carcinoma in Whole Slide Images (vol5),fair
Multi-scale Prototypical Transformer for Whole Slide Image Classification (vol5),issue
Multi-scale Prototypical Transformer for Whole Slide Image Classification (vol5),problem
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer (vol5),geographical
