Paper Title,Header Number,Header Title,Text
Anatomy-Driven Pathology Detection on Chest X-rays,1.0,Introduction,"chest radiographs (chest x-rays) represent the most widely utilized type of medical imaging examination globally and hold immense significance in the detection of prevalent thoracic diseases, including pneumonia and lung cancer, making them a crucial tool in clinical care  we, therefore, propose a novel approach towards pathology detection that uses anatomical region bounding boxes, solely defined on anatomical structures, as proxies for pathology bounding boxes. these region boxes are easier to annotate -the physiological shape of a healthy subject's thorax can be learned relatively easily by medical students -and generalize better than those of pathologies, such that huge labeled datasets are available  -we propose anatomy-driven pathology detection (adpd), a pathology detection approach for chest x-rays, trained with pathology classification labels together with anatomical region bounding boxes as proxies for pathologies. -we study two training approaches: using localized (anatomy-level) pathology labels for our model loc-adpd and using image-level labels with multiple instance learning (mil) for our model mil-adpd. -we train our models on the chest imagenome "
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,2.4,Dataset,"the dataset is composed of 23 oncological patients with different tumor types. dpet data was acquired on a biograph vision quadra for 65 min, over 62 frames. the exposure duration of the frames were 2 × 10 s, 30 × 2 s, 4 × 10 s, 8 × 30 s, 4 × 60 s, 5 × 120 s and 9 × 300 s. the pet volumes were reconstructed with an isotropic voxel size of 1.6 mm. the dataset included the label maps of 7 organs (bones, lungs, heart, liver, kidneys, spleen, aorta) and one image-derived input function a(t) [bq/ml] from the descending aorta per patient. further details on the dataset are presented elsewhere  the pet frames and the label map were resampled to an isotropic voxel size of 2.5 mm. then, the dataset was split patient-wise into training, validation, and test set, with 10, 4, and 9 patients respectively. details on the dataset split are available in the supplementary material (table "
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,1.0,Introduction,"deep learning techniques have greatly improved medical image segmentation by automatically extracting specific tissue or substance location information, which facilitates accurate disease diagnosis and assessment. however, most deep learning approaches for segmentation require fully or partially labeled training datasets, which can be time-consuming and expensive to annotate. to address this issue, recent research has focused on developing segmentation frameworks that require little or no segmentation labels. to meet this need, many researchers have devoted their efforts to weakly-supervised semantic segmentation (wsss)  the literature has not adequately addressed the issue of low-resolution class-activation maps (cams), especially for medical images. some existing methods, such as dilated residual networks  in this paper, we propose an attentive multiple-exit cam (ame-cam) for brain tumor segmentation in magnetic resonance imaging (mri). different from recent cam methods, ame-cam uses a classification model with multipleexit training strategy applied to optimize the internal outputs. activation maps from the outputs of internal classifiers, which have different resolutions, are then aggregated using an attention model. the model learns the pixel-wise weighted sum of the activation maps by a novel contrastive learning method. our proposed method has the following contributions: -to tackle the issues in existing cams, we propose to use multiple-exit classification networks to accurately capture all the internal activation maps of different resolutions. -we propose an attentive feature aggregation to learn the pixel-wise weighted sum of the internal activation maps. -we demonstrate the superiority of ame-cam over state-of-the-art cam methods in extracting segmentation results from classification networks on the 2021 brain tumor segmentation challenge (brats 2021) "
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,3.1,Dataset,we evaluate our method on the brain tumor segmentation challenge (brats) dataset 
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,4.1,Quantitative and Qualitative Comparison with State-of-the-Art,"in this section, we compare the segmentation performance of the proposed ame-cam with five state-of-the-art weakly-supervised segmentation methods, namely grad-cam  compared to the unsupervised baseline (ul), c&f is unable to separate the tumor and the surrounding tissue due to low contrast, resulting in low dice scores in all experiments. with pixel-wise labels, the dice of supervised c&f improves significantly. without any pixel-wise label, the proposed ame-cam outperforms supervised c&f in all modalities. the fully supervised (fsl) optimized u-net achieves the highest dice score and iou score in all experiments. however, even under different levels of supervision, there is still a performance gap between the weakly supervised cam methods and the fully supervised state-of-the-art. this indicates that there is still potential room for wsss methods to improve in the future. qualitatively, fig. "
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,,Selected Exit,"dice effect of single-exit and multiple-exit: table  the comparisons show that the activation map obtained from the shallow layer m 1 and the deepest layer m 4 result in low dice scores, around 0.15. this is because the network is not deep enough to learn the tumor region in the shallow layer, and the resolution of the activation map obtained from the deepest layer is too low to contain sufficient information to make a clear boundary for the tumor. results of the internal classifiers from the middle of the network (m 2 and m 3 ) achieve the highest dice score and iou, both of which are around 0.5. to evaluate whether using results from all internal classifiers leads to the highest performance, we further apply the proposed method to the two internal classifiers with the highest dice scores, i.e., m 2 and m 3 , called m 2 + m 3 . compared with using all internal classifiers (m 1 to m 4 ), m 2 + m 3 results in 18.6% and 22.1% lower dice and iou, respectively. in conclusion, our ame-cam still achieves the optimal performance among all the experiments of single-exit and multiple-exit. other ablation studies are presented in the supplementary material due to space limitations."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,5.0,Conclusion,"in this work, we propose a brain tumor segmentation method for mri images using only class labels, based on an attentive multiple-exit class activation mapping (ame-cam). our approach extracts activation maps from different exits of the network to capture information from multiple resolutions. we then use an attention model to hierarchically aggregate these activation maps, learning pixel-wise weighted sums. experimental results on the four modalities of the 2021 brats dataset demonstrate the superiority of our approach compared with other cam-based weakly-supervised segmentation methods. specifically, ame-cam achieves the highest dice score for all patients in all datasets and modalities. these results indicate the effectiveness of our proposed approach in accurately segmenting brain tumors from mri images using only class labels."
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,4.3,Results,"we compare our method with state-of-the-art unsupervised 3d structure discovery approaches including clustering using 3d feature learning  for the synthetic datasets, we used k = 2 (background and cell) for level 1, k = 4 (background, cell, vesicle, mitochondria) for level 2, and k = 8 (background, cell, vesicle, mitochondria, and 4 small protein aggregates) for level 3 predictions. the evaluation metric is the average dice score on the annotated test labels. as the label order may differ we use the hungarian algorithm to match the predicted masks with the ground truth segmentations. table  for the brain tumor segmentation (brats'19) dataset, we use the whole tumor (wt) segmentation mask for evaluation, which is detectable based on the flair images alone. we train segmentation models with k = 3 parts (background, brain, tumor). the evaluation metric, as in the brats'19 challenge  we perform ablation studies on the brats'19 dataset (table  this might be due to the fact that predictive modeling involves learning from a distribution of images and a model may therefore extract useful knowledge from a collection of images. to evaluate the significance of the diffusion features, we replaced our diffusion feature extractor with a 3d resnet from med3d "
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,5.0,Conclusion,"in this work, we showed that features from 3d generative diffusion models using a ladder-like u-net-based architecture can discover intrinsic 3d structures in biomedical images. we trained predictive unsupervised segmentation models using losses that encourage the decomposition of biomedical volumes into nested subvolumes aligned with their hierarchical structures. our method outperforms existing unsupervised segmentation approaches and discovers meaningful hierarchical concepts on challenging biologically-inspired synthetic datasets and on the brats brain tumor dataset. while we tested our approach for unsupervised image segmentation it is conceivable that it could also be useful in semisupervised settings and that could be applied to data types other than images."
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,1.0,Introduction,colorectal cancer is a leading cause of cancer-related deaths worldwide  dual-branch learning has been widely adopted in annotation-efficient learning to encourage mutual consistency through co-teaching. while existing approaches are typically designed for learning in the spatial domain 
