Paper Title,Sentence
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor," to address this issue, recent research has focused on developing segmentation frameworks that require little or no segmentation labels."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor," to meet this need, many researchers have devoted their efforts to weakly-supervised semantic segmentation (wsss)  the literature has not adequately addressed the issue of low-resolution class-activation maps (cams), especially for medical images."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor," our proposed method has the following contributions: -to tackle the issues in existing cams, we propose to use multiple-exit classification networks to accurately capture all the internal activation maps of different resolutions."
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features," the evaluation metric, as in the brats'19 challenge  we perform ablation studies on the brats'19 dataset (table  this might be due to the fact that predictive modeling involves learning from a distribution of images and a model may therefore extract useful knowledge from a collection of images."
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy," endoscopic images are a challenging case for feature detection and matching, due to several well known challenges for these tasks, such as lack of texture, or the presence of frequent artifacts, like specular reflections."
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy," these problems are accentuated when all the elements in the scene are deformable, as it is the case in most endoscopy scenarios, and in particular in the real use case studied in our work, the lower gastrointestinal tract explored with colonoscopies."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"in recent years, deep learning (dl) methods have demonstrated remarkable performance in detecting and localizing tumors on ultrasound images  domain adaptation (da) has been extensively studied to alleviate the aforementioned limitations, the goal of which is to reduce the domain gap caused by the diversity of datasets from different domains  to alleviate the problem of pseudo-label-based uda, in this work, we propose an advanced uda framework based on self-supervised da with a test-time finetuning network."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning," to address this issue, we introduced a novel self-supervised da network for breast cancer segmentation in ultrasound images."
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,ai in  in vivo data was collected at johns hopkins hospital from patients with liver cancer during open-surgical rf thermal ablation by a research antares siemens system using a vf 10-5 linear array with the sampling frequency of 40 mhz and the center frequency of 6.
SLPD: Slide-Level Prototypical Distillation for WSIs,"in computational histopathology, visual representation extraction is a fundamental problem  more recently, some works propose to close the gap via directly learning slidelevel representations in pre-training."
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation," to address this, weakly-supervised nuclei segmentation methods  to overcome these challenges, we propose a novel weakly supervised instance segmentation method that effectively distinguishes adjacent nuclei and is robust to point shifts."
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs," to sum up, the overall optimization problem is formulated as a mixture of two objectives: the one requiring higher conditional likelihood w."
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"  we reproduce the key results on msd challenge ct datasets, which contain tumor and organ segmentation tasks."
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images, another interesting research direction is exploring the effectiveness of vox2vec with regard to domain adaptation to address the challenges of domain shift between different medical imaging datasets obtained from different sources.
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation," many researchers proposed using adversarial learning to tackle distribution shift problems  to tackle the aforementioned issues, we propose utilizing prompt learning to take full advantage of domain information."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation, the infant brain mri dataset for cross-age segmentation; 2).
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,", cross-age infant segmentation  the first dataset is for infant brain segmentation (white matter, gray matter and cerebrospinal fluid)."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation," to build the cross-age dataset, we take advantage 10 brain mris of 6-month-old from iseg2019  the 2nd dataset is for brain tumor segmentation (enhancing tumor, peritumoral edema and necrotic and non-enhancing tumor core), which has 285 mri samples (210 hgg and 75 lgg)."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"we compared our method with four sota methods: adda  for fair comparison, we have replaced the backbone of these models with the same we used in our approach."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation," the quantitative comparison results of cross-age infant brain segmentation is presented in table  when transferring to a single target domain in the brain tumor segmentation task, our proposed da solution improves about 3."
Structured State Space Models for Multiple Instance Learning in Digital Pathology," to deal with this issue, multiple instance learning (mil) schemes based on weakly supervised training are used for wsi classification tasks."
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,", by analyzing the evolution of size and morphology for a given tumor  in practice, the development of automatic and reliable lesion tracking solutions is hindered by the complexity of the data (over different modalities), the absence of large, annotated datasets, and the difficulties associated with lesion identification (i."
Synthetic Augmentation with Large-Scale Unconditional Pre-training," by ensuring that the fine-tuning process is representative of the entire dataset through even sampling from each tissue type, we can eliminate bias towards any particular tissue type."
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation, this challenge of data annotation becomes even worse for medical image segmentation tasks that require pixel-level annotation by experts.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation, data augmentation (da) is a recognized approach to tackle this challenge.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation, this assumption is restrictive and associated with several challenges.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,", images are globally aligned a priori  intuitively, object-centric transformations and augmentations have the potential to overcome the challenges associated with global image-level transformations."
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models," our structure optimization algorithm refined the structure and made every hidden unit in the model have a clear, meaningful function by removing redundant hidden units and ""condensing"" the functions into fewer hidden units, which solved the issue of unstable xai results with conventional xai methods."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification," in hospitals, collected multi-phase cts are normally grouped by patients rather than lesions, which makes single-phase lesion annotation insufficient for feature fusion learning."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification," while most multi-phase liver lesion classification studies use datasets with no more than three phases (without dl phase for its difficulty of collection) or no more than six lesion classes, we validate the whole framework on an in-house dataset with four phases of abdominal ct and seven classes of liver lesions."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"760 that is equivalent to the challenge top 2, and an miou (tumor) of 0."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation," in contrast, deep learning models suffer from catastrophic forgetting  the medical domain faces a similar problem: the ability to dynamically extend a model to new classes is critical for multiple organ and tumor segmentation, wherein the key obstacle lies in mitigating 'forgetting."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation, q1: can we relieve the forgetting problem without needing previous data and annotations?
Continual Learning for Abdominal Multi-organ and Tumor Segmentation," to tackle the above questions, in this paper, we propose a novel continual multi-organ and tumor segmentation method that overcomes the forgetting problem with little memory and computation overhead."
Efficient Subclass Segmentation in Medical Images,problem definition.
Efficient Subclass Segmentation in Medical Images," to alleviate this issue, we aim to enhance the internal diversity of the distribution within the same superclass while preserving the discriminative features among superclasses."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing," however, designing educational materials solely based on real-world data poses several challenges."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing, another major challenge is longitudinal tracking of pathological progression over time (e.
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,", from the early stage of cancer to the advanced stage), which is difficult to understand because medical images are often snapshots."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing," future challenges include improving scalability with fewer manual operations, validating segmentation maps from a more objective perspective, and comparing our proposed algorithm with existing methods, such as those based on superpixels  data use declaration and acknowledgment: the pelvic mri and chest ct datasets were collected from the national cancer center hospital."
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation," the real-world dataset used in experiments is provided by the fets challenge organizer, which is the training set of the whole dataset about brain tumor segmentation."
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation," we evaluated our method on cifar-10 and real-world miccai federated tumor segmentation challenge (fets) datasets, and the superior results demonstrated the effectiveness and robustness of our fedgrav."
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos," automatically detecting breast lesions is a challenging problem with a potential to aid in improving the efficiency of radiologists in ultrasound-based breast cancer diagnosis  most existing breast lesion detection methods can be categorized into imagebased  to address the aforementioned issues, we propose a spatial-temporal deformable attention based network, named stnet, for detecting the breast lesions in ultrasound videos."
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,"deep learning techniques have achieved unprecedented success in the field of medical image classification, but this is largely due to large amount of annotated data  active learning (al) is an effective approach to address this issue from a data selection perspective, which selects the most informative samples from an unlabeled sample pool for experts to label and improves the performance of the trained model with reduced labeling cost  recently, ning et al."
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"in this paper, we propose a self-attention based n-to-one fusion block sfusion to tackle the problem of multimodal missing modalities fusion."
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification, long-tailed problem is usually caused by differences in incidence rate and difficulties in data collection.
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification," some diseases are common while others are rare, making it difficult to collect balanced data  to tackle the challenge of learning unbiased classifiers with imbalanced data, many previous works focus on three main ideas, including re-sampling data  recently, contrastive learning (cl) methods pose great potential for representation learning when trained on imbalanced data  to address the above issues, we propose a class-enhancement contrastive learning (ecl) method for skin lesion classification, differences between scl and ecl are illustrated in fig."
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation," we conducted experiments on automating liver tumor segmentation in contrast-enhanced ct scans, a crucial task in liver cancer diagnosis and surgical planning  collecting large-scale data from our hospital and training a new model will be expensive."
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation," therefore, we can use the model trained from them as a starting point and use slpt to adapt it to our hospital with minimum cost."
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation," we collected a dataset from our in-house hospital comprising 941 ct scans with eight categories: hepatocellular carcinoma, cholangioma, metastasis, hepatoblastoma, hemangioma, focal nodular hyperplasia, cyst, and others."
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner," however, although the performance of deep learning models even surpasses the accuracy of human exports on some segmentation tasks, two challenges still persist."
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,  several strategies have been attempted to address both challenges.
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification," in this work, we look into multi-class colorectal tissue analysis problem, with low and high-grade tumors included in the set."
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,1%  several studies have proposed solutions to tackle the large scale span challenges at both the input and feature level.
WeakPolyp: You only Look Bounding Box for Polyp Segmentation, this indirect supervision avoids the misleading of box-shape bias of annotations.
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"the results reported before reveal that approaching the problem of segmentation uncertainty prediction via a regression task, where the uncertainty is expressed in terms of landmark location, is globally better than via pixel-based segmentation methods."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation," while our method works well on the tasks presented, it is worth noting that it may not be applicable to all segmentation problems like tumour segmentation."
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,"  in this paper, to tackle the aforementioned challenges, we propose a pointvoxel fusion framework that represents the liver ct in continuous points to better learn the spatial structure, while performing the convolutions in voxels to obtain the complementary semantic information of the couinaud segments."
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,"segmentation of the pulmonary vessels is the foundation for the clinical diagnosis of pulmonary vascular diseases such as pulmonary embolism (pe), pulmonary hypertension (ph) and lung cancer  in the literature, several conventional methods  to summarize, there exist several challenges for pulmonary vessel segmentation in non-contrast ct images:  to address the above challenges, we propose a h ierarchical e nhancement n etwork (henet) for pulmonary vessel segmentation in non-contrast ct images by enhancing the representation of vessels at both image-and feature-level."
