title,extracted_keyword_sent
"Anatomy-Driven Pathology Detection on
Chest X-rays",none
"Self-supervised Learning for
Physiologically-Based Pharmacokinetic
Modeling in
Dynamic PET",none
"AME-CAM: Attentive Multiple-Exit CAM for
Weakly Supervised Segmentation on MRI
Brain Tumor","however, most deep learning approaches for segmentation require fully or
partially labeled training datasets, which can be time-consuming and expensive
to annotate. to address this issue, recent research has focused on developing
segmentation frameworks that require little or no segmentation labels."
"AME-CAM: Attentive Multiple-Exit CAM for
Weakly Supervised Segmentation on MRI
Brain Tumor","to meet this need, many researchers have devoted their efforts to
weakly-supervised semantic segmentation (wsss) the literature has not adequately
addressed the issue of low-resolution class-activation maps (cams), especially
for medical images. some existing methods, such as dilated residual networks in
this paper, we propose an attentive multiple-exit cam (ame-cam) for brain tumor
segmentation in magnetic resonance imaging (mri)."
"AME-CAM: Attentive Multiple-Exit CAM for
Weakly Supervised Segmentation on MRI
Brain Tumor","the model learns the pixel-wise weighted sum of the activation maps by a novel
contrastive learning method. our proposed method has the following
contributions: -to tackle the issues in existing cams, we propose to use
multiple-exit classification networks to accurately capture all the internal
activation maps of different resolutions."
"AME-CAM: Attentive Multiple-Exit CAM for
Weakly Supervised Segmentation on MRI
Brain Tumor","-we propose an attentive feature aggregation to learn the pixel-wise weighted
sum of the internal activation maps. -we demonstrate the superiority of ame-cam
over state-of-the-art cam methods in extracting segmentation results from
classification networks on the 2021 brain tumor segmentation challenge (brats
2021) we evaluate our method on the brain tumor segmentation challenge (brats)
dataset in this section, we compare the segmentation performance of the proposed
ame-cam with five state-of-the-art weakly-supervised segmentation methods,
namely grad-cam compared to the unsupervised baseline (ul), c&f is unable to
separate the tumor and the surrounding tissue due to low contrast, resulting in
low dice scores in all experiments."
"Unsupervised Discovery of 3D
Hierarchical Structure with Generative
Diffusion
Features","we train segmentation models with k = 3 parts (background, brain, tumor). the
evaluation metric, as in the brats'19 challenge we perform ablation studies on
the brats'19 dataset (table this might be due to the fact that predictive
modeling involves learning from a distribution of images and a model may
therefore extract useful knowledge from a collection of images."
"S 2 ME: Spatial-Spectral Mutual Teaching
and Ensemble Learning for
Scribble-Supervised Polyp Segmentation",none
"Tracking Adaptation to Improve
SuperPoint for 3D Reconstruction in
Endoscopy","3d reconstruction strategies have been studied for long, and one crucial step in
these strategies is feature detection and matching which serves as input for
structure from motion (sfm) pipelines. endoscopic images are a challenging case
for feature detection and matching, due to several well known challenges for
these tasks, such as lack of texture, or the presence of frequent artifacts,
like specular reflections."
"Tracking Adaptation to Improve
SuperPoint for 3D Reconstruction in
Endoscopy","these problems are accentuated when all the elements in the scene are
deformable, as it is the case in most endoscopy scenarios, and in particular in
the real use case studied in our work, the lower gastrointestinal tract explored
with colonoscopies. existing 3d reconstruction pipelines are able to build small
3d models out of short clips from real and complete recordings this work
introduces superpoint-e, a new model to extract interest points from endoscopic
images."
"Black-box Domain Adaptative Cell
Segmentation via Multi-source
Distillation",none
"Self-Supervised Domain Adaptive
Segmentation of Breast Cancer via
Test-Time
Fine-Tuning","in recent years, deep learning (dl) methods have demonstrated remarkable
performance in detecting and localizing tumors on ultrasound images domain
adaptation (da) has been extensively studied to alleviate the aforementioned
limitations, the goal of which is to reduce the domain gap caused by the
diversity of datasets from different domains to alleviate the problem of
pseudo-label-based uda, in this work, we propose an advanced uda framework based
on self-supervised da with a test-time finetuning network."
"Self-Supervised Domain Adaptive
Segmentation of Breast Cancer via
Test-Time
Fine-Tuning","due to the low resolution of ultrasound images, manual segmentation of breast
cancer is challenging even for expert clinicians, resulting in a sparse number
of labeled data. to address this issue, we introduced a novel self-supervised da
network for breast cancer segmentation in ultrasound images."
"PET-Diffusion: Unsupervised PET
Enhancement Based on the Latent
Diffusion Model",none
"Cross-Adversarial Local Distribution
Regularization for Semi-supervised
Medical
Image Segmentation",none
"Infusing Physically Inspired Known
Operators in Deep Models of Ultrasound
Elastography","the young's modulus of the experimental phantom was 20 kpa and contains several
inclusions with young's modulus of higher than 40 kpa. this data is available
online at http://code.sonography.ai in in vivo data was collected at johns
hopkins hospital from patients with liver cancer during open-surgical rf thermal
ablation by a research antares siemens system using a vf 10-5 linear array with
the sampling frequency of 40 mhz and the center frequency of 6.67 mhz."
"SLPD: Slide-Level Prototypical
Distillation for WSIs","in computational histopathology, visual representation extraction is a
fundamental problem more recently, some works propose to close the gap via
directly learning slidelevel representations in pre-training."
"PROnet: Point Refinement Using
Shape-Guided Offset Map for Nuclei
Instance
Segmentation","nuclei segmentation in histopathology images is an important task for cancer
diagnosis and immune response prediction thousands of instances are tedious and
the ambiguous nature of nuclei boundaries requires high-level expert annotators.
to address this, weakly-supervised nuclei segmentation methods to overcome these
challenges, we propose a novel weakly supervised instance segmentation method
that effectively distinguishes adjacent nuclei and is robust to point shifts."
"TPRO: Text-Prompting-Based Weakly
Supervised Histopathology Tissue
Segmentation",none
"MetaLR: Meta-tuning of Learning Rates
for Transfer Learning in Medical Imaging",none
"DAS-MIL: Distilling Across Scales for
MIL Classification of Histological WSIs","overall objective. to sum up, the overall optimization problem is formulated as
a mixture of two objectives: the one requiring higher conditional likelihood
w.r.t."
