"title","extracted_sents",useful
"H-DenseFormer: An Efficient Hybrid
Densely Connected Transformer for
Multimodal Tumor Segmentation",", where i ∈ [0, 1, 2, 3], and c = 2 (tumor and background) represents the number
of segmentation classes. to mitigate the pixel imbalance problem, we use a
combined loss of focal loss where n refers to the total number of pixels, p t
and q t denote the predicted probability and ground truth of the t-th pixel,
respectively, and r = 2 is the modulation factor.",x
"CoLa-Diff: Conditional Latent Diffusion
Model for Multi-modal MRI Synthesis","-introduce structural guidance of brain regions in each step of the diffusion
process, preserving anatomical structure and enhancing synthesis quality.
-propose an auto-weight adaptation to balance multi-conditions and maximise the
chance of leveraging relevant multi-modal information.",
"Pre-operative Survival Prediction of
Diffuse Glioma Patients with Joint Tumor
Subtyping","as f type i has strong correlation with prognosis, the performance of the
backbone can be improved. in addition, information of patient age and tumor
position is also used.",
"Multi-modal Pathological Pre-training
via Masked Autoencoders for Breast
Cancer Diagnosis","breast cancer (bc) is one of the most common malignant tumors in women worldwide
and it causes nearly 0.7 million deaths in 2020 recently, with the development
of transformer, multi-modal pre-training has achieved great success in the
fields of computer vision (cv) and natural language processing (nlp).",
"Transfer Learning-Assisted Survival
Analysis of Breast Cancer Relying on the
Spatial Interaction Between
Tumor-Infiltrating Lymphocytes and
Tumors","breast cancer (bc) is the most common cancer diagnosed among females and the
second leading cause of cancer death among women after lung cancer among
different types of imaging biomarkers, histopathological images are generally
considered the golden standard for bc prognosis since they can confer important
cell-level information that can reflect the aggressiveness of bc to deal with
the above challenges, several researchers began to design domain adaption
algorithms, which utilize the labeled data from a related cancer subtype to help
predict the patients' survival in the target domain.",
"DisAsymNet: Disentanglement of
Asymmetrical Abnormality on Bilateral
Mammograms Using Self-adversarial
Learning","breast cancer (bc) is the most common cancer in women and incidence is
increasing authenticated by the bi-rads lexicon the question of ""what the bi-mg
would look like if they were symmetric?"" is often considered when radiologists
determine the symmetry of bi-mg.",
"Developing Large Pre-trained Model for
Breast Tumor Segmentation from
Ultrasound Images","breast cancer is a serious health problem with high incidence and wide
prevalence for women throughout the world therefore, there is a high demand for
automatic and robust methods to achieve accurate breast tumor segmentation.",
"Breast Ultrasound Tumor Classification
Using a Hybrid Multitask CNN-Transformer
Network","breast cancer is the leading cause of cancer-related fatalities among women.",
"Synthesis of Contrast-Enhanced Breast
MRI Using T1- and Multi-b-Value
DWI-Based Hierarchical Fusion Network
with Attention Mechanism","breast cancer is the most common cancer and the leading cause of cancer death in
women with the development of computer technology, artificial intelligence-based
methods have shown potential in image generation and have received extensive
attention.",
"SimPLe: Similarity-Aware Propagation
Learning for Weakly-Supervised Breast
Cancer Segmentation in DCE-MRI","breast cancer is the most common cause of cancer-related deaths among women all
around the world to better support the radiologists with breast cancer
diagnosis, various segmentation algorithms have been developed although in this
study, we propose a simple yet effective weakly-supervised strategy, by using
extreme points as annotations (see fig.",
"Mammo-Net: Integrating Gaze Supervision
and Interactive Information in
Multi-view Mammogram Classification","breast cancer is the most prevalent form of cancer among women and can have
serious physical and mental health consequences if left unchecked deep neural
networks have been widely adopted for breast cancer diagnosis to alleviate the
workload of radiologists.",
"Detection-Free Pipeline for Cervical
Cancer Screening of Whole Slide Images","cervical cancer is a common and severe disease that affects millions of women
globally, particularly in developing countries several computer-aided cervical
cancer screening methods have been proposed for whole slide images (wsis) in the
literature.",
"Robust Cervical Abnormal Cell Detection
via Distillation from Local-Scale
Consistency Refinement","cervical cancer is the second most common cancer among adult women.",
"Detection of Basal Cell Carcinoma in
Whole Slide Images","comparison with related methods. to ensure a fair comparison on our dataset, we
selected several papers in the field of pathological image analysis, such as
evaluation metrics.",x
"EPVT: Environment-Aware Prompt Vision
Transformer for Domain Generalization in
Skin Lesion Recognition","computer-aided diagnosis systems (cad) using deep learning models have shown
promise in accurate and efficient skin lesion diagnosis. however, recent
research has revealed that the success of these models may be a result of overly
relying on ""spurious cues"" in dermoscopic images, such as rulers, gel bubbles,
dark corners, and hairs to alleviate the artifact bias and enhance the model's
generalization ability, we rethink the problem from the domain generalization
(dg) perspective, where a model trained within multiple different but related
domains are expected to perform well in unseen test domains.",
"Breast Ultrasound Tumor Classification
Using a Hybrid Multitask CNN-Transformer
Network","currently, it holds the highest incidence rate of cancer among women in the
u.s., and in 2022 it accounted for 31% of all newly diagnosed cancer cases in
the past decade, deep learning-based approaches achieved remarkable advancements
in bus tumor classification vision transformer (vit) accordingly, numerous prior
studies introduced modifications to the original vit network specifically
designed for bus image classification multitask learning leverages shared
information across related tasks by jointly training the model. it constrains
models to learn representations that are relevant to all tasks rather than
learning task-specific details.",
"EdgeMixup: Embarrassingly Simple Data
Alteration to Improve Lyme Disease
Lesion Segmentation and Diagnosis
Fairness","dark), and lesionconducted under clinician supervision and institutional review
boards (irb) approval. our dataset with manual labels is available at this url
secondly, we design a simple yet novel data preprocessing and alternation
method, called edgemixup, to improve lyme disease segmentation and diagnosis
fairness on samples with different skin-tones.",
,,
"Pre-operative Survival Prediction of
Diffuse Glioma Patients with Joint Tumor
Subtyping","in our experiment, both in-house and public datasets are used to evaluate our
method. specifically, the in-house dataset collected in cooperation hospitals
contains pre-operative multimodal mr images, including t1, t1 contrast enhanced
(t1c), t2, and flair, of 1726 patients (age 49.7 ± 13.1) with confirmed diffuse
glioma types.",
"Pre-operative Survival Prediction of
Diffuse Glioma Patients with Joint Tumor
Subtyping","in the 1726 patients, 743 have the corresponding overall survival time (dead,
non-censored), and 983 patients have the last visiting time (alive, censored).
besides the inhouse dataset, a public dataset brats2019, including pre-operative
multimodal mr images of 210 non-censored patients (age 61.4 ± 12.2), is adopted
as the external independent testing dataset.",
"Histopathology Image Classification
Using Deep Manifold Contrastive Learning","in the deep manifold embedding learning model, the learning rates were set to
1e-4 with a decay rate of 1e-6 for the ihccs subtype classification and to 1e-5
with a decay rate of 1e-8 for the liver cancer type classification. the
k-nearest neighbors graph and the geodesic distance matrix are updated once
every five training epochs, which is empirically chosen to balance running time
and accuracy.",
"Position-Aware Masked Autoencoder for
Histopathology WSI Representation
Learning","in the past few years, the development of histopathological whole slide image
(wsi) analysis methods has dramatically contributed to the intelligent cancer
diagnosis generally, multiple instance learning (mil) is one of the most popular
solutions for wsi analysis however, hipt is a hierarchical learning framework
based on a greedy training strategy. the bias and error generated in each level
of the representation model will accumulate in the final decision model.",x
"H-DenseFormer: An Efficient Hybrid
Densely Connected Transformer for
Multimodal Tumor Segmentation","in this paper, we proposed an efficient hybrid model (h-denseformer) that
combines transformer and cnn for multimodal tumor segmentation. concretely, a
multi-path parallel embedding module and a densely connected transformer block
were developed and integrated to balance accuracy and computational complexity.",
"Detection-Free Pipeline for Cervical
Cancer Screening of Whole Slide Images","in this section, we experiment to demonstrate the effectiveness of all the
proposed parts in our pipeline. we divide all 5384 samples into five independent
parts for five-fold cross-validation, and the results are shown in table
cervical cancer is a common and severe disease that affects millions of women
globally, particularly in developing countries several computer-aided cervical
cancer screening methods have been proposed for whole slide images (wsis) in the
literature.",
"Robust Cervical Abnormal Cell Detection
via Distillation from Local-Scale
Consistency Refinement","inspired by knowledge distillation, we construct a pre-trained patch correction
network (pcn), which is designed to exploit the supervised information from the
pcn to reduce the impact of noisy labels and utilize the contextual
relationships between cells. in our approach, we begin by utilizing retinanet
cervical cancer is the second most common cancer among adult women.",
"Breast Ultrasound Tumor Classification
Using a Hybrid Multitask CNN-Transformer
Network","it constrains models to learn representations that are relevant to all tasks
rather than learning task-specific details. moreover, multitask learning acts as
a regularizer by introducing inductive bias and prevents overfitting in this
study, we introduce a hybrid multitask approach, hybrid-mt-estan, which
encompasses tumor classification as a primary task and tumor segmentation as a
secondary task.",
"Synthetic Augmentation with Large-Scale
Unconditional Pre-training","it is worth noting that the labels for these samples have been kept, which
allows the fine-tuning process to be guided by labeled data, leading to better
predictions on the specific task or domain being trained. by ensuring that the
fine-tuning process is representative of the entire dataset through even
sampling from each tissue type, we can eliminate bias towards any particular
tissue type.",x
"ECL: Class-Enhancement Contrastive
Learning for Long-Tailed Skin Lesion
Classification","long-tailed problem is usually caused by differences in incidence rate and
difficulties in data collection. some diseases are common while others are rare,
making it difficult to collect balanced data to tackle the challenge of learning
unbiased classifiers with imbalanced data, many previous works focus on three
main ideas, including re-sampling data recently, contrastive learning (cl)
methods pose great potential for representation learning when trained on
imbalanced data to address the above issues, we propose a class-enhancement
contrastive learning (ecl) method for skin lesion classification, differences
between scl and ecl are illustrated in fig.",x
"CoLa-Diff: Conditional Latent Diffusion
Model for Multi-modal MRI Synthesis","magnetic resonance imaging (mri) is critical to the diagnosis, treatment, and
follow-up of brain tumour patients management despite the success, gan-based
models are challenged by the limited capability of adversarial learning in
modelling complex multi-modal data distributions diffusion model (dm) has
achieved state-of-the-art performance in synthesizing natural images, promising
to improve mri synthesis models. it shows superiority in model training however,
current dm-based methods focus on one-to-one mri translation, promising to be
improved by many-to-one methods, which requires dedicated design to balance the
multiple conditions introduced by multi-modal mri.",
"Anatomy-Driven Pathology Detection on
Chest X-rays","none",
"Self-supervised Learning for
Physiologically-Based Pharmacokinetic
Modeling in Dynamic PET","none",
