Paper Title,Extracted Sentence
Anatomy-Driven Pathology Detection on Chest X-rays,none
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"however, most deep learning approaches for segmentation require fully or partially labeled training datasets, which can be time-consuming and expensive to annotate."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"to address this issue, recent research has focused on developing segmentation frameworks that require little or no segmentation labels."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"to meet this need, many researchers have devoted their efforts to weakly-supervised semantic segmentation (wsss)  the literature has not adequately addressed the issue of low-resolution class-activation maps (cams), especially for medical images."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,the model learns the pixel-wise weighted sum of the activation maps by a novel contrastive learning method.
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"our proposed method has the following contributions: -to tackle the issues in existing cams, we propose to use multiple-exit classification networks to accurately capture all the internal activation maps of different resolutions."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,-we propose an attentive feature aggregation to learn the pixel-wise weighted sum of the internal activation maps.
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"-we demonstrate the superiority of ame-cam over state-of-the-art cam methods in extracting segmentation results from classification networks on the 2021 brain tumor segmentation challenge (brats 2021)  we evaluate our method on the brain tumor segmentation challenge (brats) dataset  in this section, we compare the segmentation performance of the proposed ame-cam with five state-of-the-art weakly-supervised segmentation methods, namely grad-cam  compared to the unsupervised baseline (ul), c&f is unable to separate the tumor and the surrounding tissue due to low contrast, resulting in low dice scores in all experiments."
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"with pixel-wise labels, the dice of supervised c&f improves significantly."
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"we train segmentation models with k = 3 parts (background, brain, tumor)."
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"the evaluation metric, as in the brats'19 challenge  we perform ablation studies on the brats'19 dataset (table  this might be due to the fact that predictive modeling involves learning from a distribution of images and a model may therefore extract useful knowledge from a collection of images."
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"to evaluate the significance of the diffusion features, we replaced our diffusion feature extractor with a 3d resnet from med3d  in this work, we showed that features from 3d generative diffusion models using a ladder-like u-net-based architecture can discover intrinsic 3d structures in biomedical images."
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"3d reconstruction strategies have been studied for long, and one crucial step in these strategies is feature detection and matching which serves as input for structure from motion (sfm) pipelines."
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"endoscopic images are a challenging case for feature detection and matching, due to several well known challenges for these tasks, such as lack of texture, or the presence of frequent artifacts, like specular reflections."
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"these problems are accentuated when all the elements in the scene are deformable, as it is the case in most endoscopy scenarios, and in particular in the real use case studied in our work, the lower gastrointestinal tract explored with colonoscopies."
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,none
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"in recent years, deep learning (dl) methods have demonstrated remarkable performance in detecting and localizing tumors on ultrasound images  domain adaptation (da) has been extensively studied to alleviate the aforementioned limitations, the goal of which is to reduce the domain gap caused by the diversity of datasets from different domains  to alleviate the problem of pseudo-label-based uda, in this work, we propose an advanced uda framework based on self-supervised da with a test-time finetuning network."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"test-time adaptation methods have been developed  to summarize, our contributions are three-fold: • we design a self-supervised da framework that includes a parameter search method and provide a mathematical justification for it."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"due to the low resolution of ultrasound images, manual segmentation of breast cancer is challenging even for expert clinicians, resulting in a sparse number of labeled data."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"to address this issue, we introduced a novel self-supervised da network for breast cancer segmentation in ultrasound images."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"in particular, we proposed a test-time finetuning network to learn domain-specific knowledge via knowledge distillation by self-supervised learning."
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,none
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,the young's modulus of the experimental phantom was 20 kpa and contains several inclusions with young's modulus of higher than 40 kpa.
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,this data is available online at http://code.sonography.ai in  in vivo data was collected at johns hopkins hospital from patients with liver cancer during open-surgical rf thermal ablation by a research antares siemens system using a vf 10-5 linear array with the sampling frequency of 40 mhz and the center frequency of 6.67 mhz.
