,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,"however, while image classification labels can be automatically
extracted from electronic health records or radiology reports [7,20], this is
typically not possible for bounding boxes, thus limiting the availability of
large datasets for pathology detection."
1,Anatomy-Driven Pathology Detection on Chest X-rays,"the resulting scarcity of large, publicly available datasets with
pathology bounding boxes limits the use of supervised methods for pathology
detection, such that current approaches typically follow weakly supervised
object detection approaches, where only classification labels are required for
training."
2,Anatomy-Driven Pathology Detection on Chest X-rays,"these
region boxes are easier to annotate -the physiological shape of a healthy
subject's thorax can be learned relatively easily by medical students -and
generalize better than those of pathologies, such that huge labeled datasets are
available [21]."
3,Anatomy-Driven Pathology Detection on Chest X-rays,"-we train
our models on the chest imagenome [21] dataset and evaluate on nih chestx-ray 8
[20], where we found that our loc-adpd model outperforms both, weakly supervised
methods and fully supervised detection with a small training set, while our
mil-adpd model is competitive with supervised detection and slightly outperforms
weakly supervised approaches."
4,Anatomy-Driven Pathology Detection on Chest X-rays,"while chexnet [14] follows the original approach, the method
provided with the nih chestx-ray 8 dataset [20] and the stl method [6] use
logsumexp (lse) pooling [13], while the multimap model [23] uses max-min pooling
as first proposed for the weldon [3] method."
5,Anatomy-Driven Pathology Detection on Chest X-rays,"along with the chest imagenome dataset [21] several
localized pathology classification models have been proposed which use a faster
r-cnn [16] to extract anatomical region features before predicting observed
pathologies for each region using either a linear model or a gcn model based on
pathology co-occurrences."
6,Anatomy-Driven Pathology Detection on Chest X-rays,training dataset.
7,Anatomy-Driven Pathology Detection on Chest X-rays,"we train on the chest imagenome dataset [4,21,22]1 ,
consisting of roughly 240 000 frontal chest x-ray images with corresponding
scene graphs automatically constructed from free-text radiology reports."
8,Anatomy-Driven Pathology Detection on Chest X-rays,"it is
derived from the mimic-cxr dataset [9,10], which is based on imaging studies
from 65 079 patients performed at beth israel deaconess medical center in
boston, us."
9,Anatomy-Driven Pathology Detection on Chest X-rays,"we consider the image-level label for a pathology to be positive if
any region is positively labeled with that pathology.we use the provided
jpg-images [11] 2 and follow the official mimic-cxr training split but only keep
samples containing a scene graph with at least five valid region bounding boxes,
resulting in a total of 234 307 training samples.during training, we use random
resized cropping with size 224 × 224, apply contrast and brightness jittering,
random affine augmentations, and gaussian blurring.evaluation dataset and class
mapping."
10,Anatomy-Driven Pathology Detection on Chest X-rays,"we evaluate our method on the subset of 882 chest x-ray images with
pathology bounding boxes, annotated by radiologists, from the nih chestxray-8
(cxr8) dataset [20] 3 from the national institutes of health clinical center in
the us."
11,Anatomy-Driven Pathology Detection on Chest X-rays,"all images are center-cropped
and resized to 224 × 224.the dataset contains bounding boxes for 8 unique
pathologies."
12,Anatomy-Driven Pathology Detection on Chest X-rays,"additionally, we also compare with a faster-rcnn [16] trained
on a small subset of roughly 500 samples from the cxr8 training set that have
been 2 https://physionet.org/content/mimic-cxr-jpg/2.0.0/ (physionet
credentialed health data license 1.5.0)."
13,Anatomy-Driven Pathology Detection on Chest X-rays,results on the nih chestx-ray 8 dataset [20].
14,Anatomy-Driven Pathology Detection on Chest X-rays,"supervision iou@10-70 iou@10 iou@30 iou@50 box class map ap loc-acc ap loc-acc
ap loc-acc mil-adpd (ours) an pa for all models, we only consider the predicted
boxes with the highest box score per pathology, as the cxr8 dataset never
contains more than one box per pathology."
15,Anatomy-Driven Pathology Detection on Chest X-rays,", 0.7), commonly used thresholds
on this dataset [20]."
16,Anatomy-Driven Pathology Detection on Chest X-rays,"additionally, we report the localization accuracy
(loc-acc) [20], a common localization metric on this dataset, where we use a box
score threshold of 0.7 for our method."
17,Anatomy-Driven Pathology Detection on Chest X-rays,"unlike loc-adpd and mil-adpd, all
baselines were either trained or finetuned on the cxr8 dataset, showing that our
method generalizes well to unseen datasets and that our class mapping is
effective.for detailed results per pathology we refer to the supp."
18,Anatomy-Driven Pathology Detection on Chest X-rays,"our
experiments demonstrate that using anatomical regions as proxies improves
results compared weakly supervised methods and supervised training on little
data, thus providing a promising direction for future research."
19,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"used an auto-encoder along with a gaussian process regression block to select
the best km to describe simulated kinetic data [13]."
20,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"until now, methods used simulated data
[11,13] or static pet [9], were supervised [9,[11][12][13] or predicted
macro-parameters [4,9,12]."
21,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"using the multi-clamp function, each
channel of the logits is restricted to the following parameter spaces:the limits
of the ranges were defined based on the meaning of the parameter (as in v b ),
mathematical requirements (as in the minimum values of k 2 and k 3 , whose sum
can not be zero) [6] or previous knowledge on the dataset derived by the work of
sari et al."
22,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,the dataset is composed of 23 oncological patients with different tumor types.
23,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"dpet data was acquired on a biograph vision quadra for 65 min, over 62 frames."
24,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"the dataset included the label maps of 7 organs
(bones, lungs, heart, liver, kidneys, spleen, aorta) and one image-derived input
function a(t) [bq/ml] from the descending aorta per patient."
