Paper Title,Header Number,Header Title,Text
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,1.0,Introduction,"The periodic acquisition and analysis of volumetric CT and MRI scans of oncology patients is essential for the evaluation of the disease status, the selection of the treatment, and the response to treatment. Currently, scans are acquired every 2-12 months according to the patient's characteristics, disease stage, and treatment regime. The scan interpretation consists of identifying lesions (primary tumors, metastases) in the affected organs and characterizing their changes over time. Lesion changes include changes in the size of existing lesions, the appearance of new lesions, the disappearance of existing lesions, and complex lesion changes, e.g., the formation of conglomerate lesions. As treatments improve and patients live longer, the number of scans in longitudinal studies increases and their interpretation is more challenging and time-consuming. Radiological follow-up requires the quantitative analysis of lesions and patterns of lesion changes in subsequent scans. It differs from diagnostic reading since the goal is to find and quantify the differences between the scans, rather than to find abnormalities in a single scan. In current practice, quantification of lesion changes is partial and approximate. The RECIST 1.1 guidelines call for finding new lesions (if any), identifying up to the five largest lesions in each scan in the CT slice where they appear largest, manually measuring their diameters, and comparing their difference  In a previous paper, we presented an automatic pipeline for the detection and quantification of lesion changes in pairs of CT liver scans  The novelties of this paper are: 1) identification and formalization of longitudinal lesion matching and patterns of lesion changes in CT in a graph-theoretic framework; 2) new classification and detection of changes of individual lesions and lesion patterns based on the properties of the lesion changes graph and its connected components; 3) a simultaneous lesion matching method with more than two scans; 4) graph-based methods for the detection of changes in individual lesions and patterns of lesion changes. Experimental results on lung (83 CTs, 19 patients) and liver (77 CECTs, 18 patients) datasets show that our method yields high classification accuracy. To the best of our knowledge, ours is the first method to perform longitudinal lesion matching and lesion changes pattern detection. Only a few papers address lesion matching in pairs of CT/MRI scans "
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,2.0,Method,"We present a new generic model-based method for the automatic detection and classification of changes in individual lesions and patterns of lesion changes in consecutive CT scans. The tasks are formalized in a graph-theoretic framework in which nodes represent lesions, edges represent lesion matchings, and paths and connected components represent patterns of lesion changes. Lesion matchings are computed with an overlap-based lesion pairing method after establishing a common reference frame by deformable registration of the scans and organ segmentations. Changes in individual lesions and patterns of lesion changes are computed from the graph's properties and its connected components. We define seven individual lesion change classes and five lesion change patterns that fully describe the evolution of lesions over time. The method inputs the scans and the organ and lesion segmentations in each scan. Its outputs are the lesion matchings, the labels of the changes in individual lesions, and the patterns of the lesion changes. The method is a pipeline of four steps: 1) pairwise deformable registration of each prior scan, organ and lesion segmentations, with the most recent (current) scan as in "
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,2.1,Problem Formalization,"Let S = S 1 , . . . , S N be a series of N ≥ 2 consecutive patient scans acquired at times is a set of vertices v i j corresponding to the lesions associated with the lesion segmentation masks L i = l i 1 , l i 2 , . . . , l i n i , where n i ≥ 0 is the number of lesions in scan S i at time t i . By definition, any two lesions j,l indicates that the lesions corresponding to vertices v i j , v k l are the same lesion, i.e., that the lesion appears in scans S i , S k in the same location. Edges of consecutive scans S i , S i+1 are called consecutive edges; edges of non-consecutive scans, S i , S k , i < k -1, are called non-consecutive edges. The in-and out-degree of a vertex v i j , d in (v i j ) and d out (v i j ), are the number of incoming and outcoming edges, respectively. Let CC = {cc m } M m=1 be the set of connected components of the undirected graph version of G, where M is the number of connected components and By definition, for each 1 ≤ m ≤ M , the sets V m , E m are mutually disjoint and their unions are V , E, respectively. In a connected component cc m , there is an undirected path between any two vertices v i j , v k l consisting of a sequence of undirected edges in E m . . In this setup, connected components correspond to matched lesions and their pattern of evolution over time (Fig.  We define seven mutually exclusive individual lesion change labels for lesion v i j in scan S i based on the vertex in-and out-degrees (Fig. "
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,2.3,Classification of Changes in Lesions and in Patterns of Lesion Changes,"The changes in individual lesions are directly computed for each lesion from the resulting graph with the in-and out-degree of each vertex (Fig.  The changes in individual lesions, patterns of lesion changes, and lesion changes graph serve as the basis for individual lesion tracking, which consists of following the path from the lesion in the most recent scan backwards to its origins in earlier scans and recording the merged, split and complex lesion changes labels. Summarizing longitudinal studies and queries can also be performed with graph-based algorithms."
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,3.0,Experimental Results,"We evaluated our method with two studies on retrospectively collected patient datasets that were manually annotated by an expert radiologist. Dataset: Lung and liver CT studies were retrospectively obtained from two medical centers (Hadassah Univ Hosp Jerusalem Israel) during the routine clinical examination of patients with metastatic disease. Each patient study consists of at least 3 scans. DLUNG consists of 83 chest CT scans from 19 patients with a mean 4.4 ± 2.0 scans/patient, a mean time interval between consecutive scans of 125.9 ± 81.3 days, and voxel sizes of 0.6-1.0 × 0.6-1.0 × 1.0-3.0 mm 3 . DLIVER consists of 77 abdominal CECT scans from 18 patients with a mean 4.3 ± 2.0 scans/patient, a mean time interval between consecutive scans of 109.7 ± 93.5 days, and voxel sizes of 0.6-1.0 × 0.6-1.0 × 0.8-5.0 mm 3 . Lesions in both datasets were annotated by an expert radiologist, yielding a total of 1,178 lung and 800 liver lesions, with a mean of 14.2 ± 19.1 and 10.4 ± 7.9 lesions/scan (lesions with <20 voxels were excluded). Ground-truth lesion matching graphs and lesion changes labeling were produced by running the method on the datasets and then having the radiologist review and correct the resulting node labels and edges. Study 1: Lesion changes labeling, lesion matching, evaluation of patterns of lesion changes. We ran our method on the DLUNGS and DLIVER lesion segmentations. The settings of the parameters were: dilation distance d = 1 mm, overlap percentage p = 10%, number of iterations r = 5 and 7, and centroid maximum distance δ = 17 and 23 mm for the lungs and liver lesions, respectively. We compared the computed and ground-truth lesion changes graphs with two metrics: 1) lesion changes classification accuracy, which is the % of correct computed labels from the ground truth labels; 2) lesion matching precision and recall based on the presence/absence of computed vs. ground truth edges. The precision and recall definitions were adapted so that wrong or missed non-consecutive edges are counted as True Positive when there is a path between their vertices in either the ground-truth or the computed graph. Table  For the patterns of lesion changes, we compared the computed and ground truth patterns of lesion changes. The accuracy is the % of identical connected components in each category. Table  After reviewing the 42 and 37 lesions labeled as Lone in DLUNGS and DLIVER with > 5mm diameter, the radiologist determined that 1 and 8 of them had been wrongly identified as a cancerous lesion. Moreover, he found that 14 and 16 lesions initially labeled as Lone, had been wrongly classified: for these lesions he found 15 and 21 previously unmarked matching lesions in the next or previous scans. In total, 45 and 62 missing lesions were added to the ground truth DLUNGS and DLIVER datasets, respectively. These hard-to-find ground-truth False Negatives (3.7%, 7.2% of all lesions) may change the radiological interpretation and the disease status. See the Supplemental Material for examples of these scenarios."
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,4.0,Conclusion,"The use of graph-based methods for lesion tracking and detection of patterns of lesion changes was shown to achieve high accuracy in classifying changes in individual lesion and identifying patterns of lesion changes in liver and lung longitudinal CT studies of patients with metastatic disease. This approach has proven to be useful in detecting missed, faint, and surmised to be present lesions, otherwise hardly detectable by examining the scans separately or in pairs, leveraging the added information provided by evaluating all patient's scans simultaneously using the labels from the lesion changes graph and non-consecutive edges."
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,2.2,Lesion Matching Computation,"Lesion matchings are determined by the location and relative proximity of the lesions in two or more registered scans. The lesion matching rule is lesion voxel overlap: when the lesion segmentation voxels l i j , l k l of vertices v i j , v k l overlap, 1 ≤ i < k ≤ N , they are matched and the edge e i,k j,l = v i j , v k l is added to E. Lesion matchings are computed first on consecutive pairs and then on non-consecutive pairs of scans. Consecutive lesion matching on scans (S i , S i+1 ) is performed with an iterative greedy strategy whose aim is to compensate for registration errors: 1) the lesion segmentations in L i and L i+1 are isotropically dilated in 3D by d millimeters; 2) for all pairs of lesions v i j , v i+1 l , compute the intersection % of their corresponding lesion a segmentations l is added to E c ; ; 4) remove the lesion segmentations l i j , l i+1 l from L i , L i+1 , respectively. Steps 1-4 are repeated r times. This yields the consecutive edges graph ). The values of d , r are pre-defined empirically. Lesion matching on non-consecutive scans searches for lesion matchings that were not found previously due to missing lesions (unseen or undetected). It is performed by examining the pairs of connected components of G C and finding possible edges (lesion pairings) between them. Formally, let CC = {cc m } M m=1 be the set of undirected connected components of G C . Let τ m = t first m , t last m be the time interval between the first and last scans of cc m , and let centroid (cc m ) be the center of mass of all lesions in cc m at all times. Let G CC = (V cc , E cc ) be the graph of connected components of G C such that each vertex cc m of V cc corresponds to a connected component cc m and edges e CC i,j = cc i , cc j of E CC satisfy three conditions: 1) the time interval of cc i is disjoint and precedes by at least one time point that of cc j , i.e., t first i > t last i + 1; 2) the connected components are not too far from each other, i.e., the distance between the connected components centroids is smaller than a fixed distance δ, centroid (cc i )centroid cc j ≤ δ; 3) there is at least one pairwise matching between a lesion in t last i and a lesion in t first j computed with the consecutive lesion matching method described above. When the consecutive lesion matching between the lesions in t last i in cc i and the lesions in t first j in cc j yields a nonempty set of edges, these edges are added as non-consecutive edges to E c . . Iterating over all non-ordered pairs (cc i , cc j ) yields the set of consecutive and non-consecutive edges of E. We illustrate this process with the graph of Fig. "
Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,1.0,Introduction,"Neuropsychiatric systemic lupus erythematosus (NPSLE) refers to a complex autoimmune disease that damages the brain nervous system of patients. The clinical symptoms of NPSLE include cognitive disorder, epilepsy, mental illness, etc., and patients with NPSLE have a nine-fold increased mortality compared to the general population  Although conventional magnetic resonance imaging (MRI) tools are widely used to detect brain injuries and neuronal lesions, around 50% of patients with NPSLE present no brain abnormalities in structural MRI  On the other hand, for the discovery task of potential biomarkers, sparse codingbased methods (e.g., 2,1 norm, 2,0 norm, etc.) force row elements to zero that remove some valuable features  In light of this, we propose a robust exclusive adaptive sparse feature selection (REASFS) algorithm to jointly address the aforementioned problems in biomarker discovery and early diagnosis of NPSLE. Specifically, we first extend our feature learning through generalized correntropic loss to handle data with complex non-Gaussian noise and outliers. We also present the mathematical analysis of the adaptive weighting mechanism of generalized correntropy. Then, we propose a novel regularization called generalized correntropy-induced exclusive 2,1 to adaptively accommodate various sparsity levels and preserve informative features. The experimental results on a benchmark NPSLE dataset demonstrate the proposed method outperforms comparing methods in terms of early noninvasive biomarker discovery and early diagnosis."
Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,2.0,Method,"Dataset and Preprocessing: The T2-weighted MR images of 39 participants including 23 patients with NPSLE and 16 HCs were gathered from our affiliated hospital. All images were acquired at an average age of 30.6 years on a SIGNA 3.0T scanner with an eight-channel standard head coil. Then, the MR images were transformed into spectroscopy by multi-voxel 1 H-MRS based on a point-resolved spectral sequence (PRESS) with a two-dimensional multi-voxel technique. The collected spectroscopy data were preprocessed by a SAGE software package to correct the phase and frequency. An LCModel software was used to fit the spectra, correct the baseline, relaxation, and partial-volume effects, and quantify the concentration of metabolites. Finally, we used the absolute NAA concentration in single-voxel MRS as the standard to gain the absolute concentration of metabolites, and the NAA concentration of the corresponding voxel of multi-voxel 1 H-MRS was collected consistently. The spectra would be accepted if the SNR is greater than or equal to 10 and the metabolite concentration with standard deviations (SD) is less than or equal to 20%. The absolute metabolic concentrations, the corresponding ratio, and the linear combination of the spectra were extracted from different brain regions: RPCG, LPCG, RDT, LDT, RLN, LLN, RI, RPWM, and LPWM. A total of 117 metabolic features were extracted, and each brain region contained 13 metabolic features: Cr, phosphocreatine (PCr), Cr+PCr, NAA, NAAG, NAA+NAAG, NAA+NAAG/Cr+PCr, mI, mI/Cr+PCr, Cho+phosphocholine (PCh), Cho+PCh/Cr+PCr, Glu+Gln, and Glu+Gln/Cr+PCr."
Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,2.1,Sparse Coding Framework,"Given a data matrix X = [x 1 ; • • • ; x n ] ∈ R n×d with n sample, the i-th row is represented by x i , and the corresponding label matrix is denoted as where y i is one-hot vector. The Frobenius norm of For sparse codingbased methods, the general problem can be formulated as where L(W), R(W), and λ are the loss function, the regularization term, and the hyperparameter, respectively. For least absolute shrinkage and selection operator (LASSO)  For multi-task feature learning  . Due to the row sparsity of 2,1 norm, the features selected for all different classes are enforced to be exactly the same. Thus, the inflexibility of 2,1 norm may lead to the deletion of meaningful features."
