,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,none
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
2,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
3,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
4,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
5,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
6,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,none
7,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
8,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,none
9,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
10,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,none
11,SLPD: Slide-Level Prototypical Distillation for WSIs,none
12,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
13,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
14,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
15,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,none
16,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
17,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,the infant brain mri dataset for cross-age segmentation; 2).
18,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the first dataset, i.e., cross-age infant segmentation the first dataset is for
infant brain segmentation (white matter, gray matter and cerebrospinal fluid)."
19,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"to build the cross-age dataset, we take advantage 10 brain mris of 6-month-old
from iseg2019 the 2nd dataset is for brain tumor segmentation (enhancing tumor,
peritumoral edema and necrotic and non-enhancing tumor core), which has 285 mri
samples (210 hgg and 75 lgg)."
20,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"we compared our method with four sota methods: adda for fair comparison, we have
replaced the backbone of these models with the same we used in our approach."
21,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the quantitative comparison results of cross-age infant brain segmentation is
presented in table when transferring to a single target domain in the brain
tumor segmentation task, our proposed da solution improves about 3.09 dice in
the target lgg domain."
22,Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
23,Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
24,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
25,Geometry-Invariant Abnormality Detection,none
26,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
27,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,none
28,Synthetic Augmentation with Large-Scale Unconditional Pre-training,"by ensuring that the fine-tuning process is representative of the entire dataset
through even sampling from each tissue type, we can eliminate bias towards any
particular tissue type."
29,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,none
30,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
31,Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,none
32,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,none
33,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,none
34,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,none
35,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,none
36,Efficient Subclass Segmentation in Medical Images,"while mixing up only the semantic foreground provides a way of exchanging
knowledge between similar foreground objects while lifting the confirmation bias
in pseudo labeling"
