paper_id,title,authors,page_numbers,doi,publication_year,volume,path,path_long,extracted_sents_keywords
1,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"Alina F. Dima, Veronika A. Zimmer, Martin J. Menten, Hongwei Bran Li, Markus Graf, Tristan Lemke et al.",141-151,10.1007/978-3-031-43907-0_14,2023,1,miccai23vol1/paper_14.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"the cohort consists of 141 patients with pancreatic ductal adeno-
carcinoma, of an equal ratio of male to female patients."
1,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"Alina F. Dima, Veronika A. Zimmer, Martin J. Menten, Hongwei Bran Li, Markus Graf, Tristan Lemke et al.",141-151,10.1007/978-3-031-43907-0_14,2023,1,miccai23vol1/paper_14.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"we distinguish between models selected according
to the 2d performance on the validation set (2d) which is a fair baseline, and
models selected according to the 3d performance on the validation set (3d),
which is an unfair baseline as it requires 3d annotations on the validation set."
2,3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer,"Fan Duan, Li Chen",456-465,10.1007/978-3-031-43990-2_43,2023,7,miccai23vol8/paper_59.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"during training
of mitoem, for the fair comparison, we adopt same data augmentation technique
from [36]."
2,3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer,"Fan Duan, Li Chen",456-465,10.1007/978-3-031-43990-2_43,2023,7,miccai23vol8/paper_59.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"for fair comparison with previous
works, we use the same evaluation metrics as in the literature for both datasets."
3,3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching Between 3D and 2D Networks,"Heng Cai, Lei Qi, Qian Yu, Yinghuan Shi, Yang Gao",614-624,10.1007/978-3-031-43898-1_59,2023,3,miccai23vol2/paper_46.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_46.pdf,"video
resnet-50 40.0 70.3
43.3
the previous work cva-net [9], to guarantee a fair comparison."
4,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,"Omkar Thawakar, Rao Muhammad Anwer, Jorma Laaksonen, Orly Reiner, Mubarak Shah, Fahad Shahbaz Khan",613-623,10.1007/978-3-031-43993-3_59,2023,8,miccai23vol8/paper_46.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_46.pdf,"2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital."
4,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,"Omkar Thawakar, Rao Muhammad Anwer, Jorma Laaksonen, Orly Reiner, Mubarak Shah, Fahad Shahbaz Khan",613-623,10.1007/978-3-031-43993-3_59,2023,8,miccai23vol8/paper_46.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_46.pdf,the range of the age are varying from 15 to 85 years old.
4,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,"Omkar Thawakar, Rao Muhammad Anwer, Jorma Laaksonen, Orly Reiner, Mubarak Shah, Fahad Shahbaz Khan",613-623,10.1007/978-3-031-43993-3_59,2023,8,miccai23vol8/paper_46.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_46.pdf,"the female patient
number and male patient number are almost even."
4,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,"Omkar Thawakar, Rao Muhammad Anwer, Jorma Laaksonen, Orly Reiner, Mubarak Shah, Fahad Shahbaz Khan",613-623,10.1007/978-3-031-43993-3_59,2023,8,miccai23vol8/paper_46.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_46.pdf,"the predicted segmentations were manually divided into three
groups, i.e. good, fair and poor."
5,3D Teeth Reconstruction from Panoramic Radiographs Using Neural Implicit Functions,"Sihwa Park, Seongjun Kim, In-Seok Song, Seung Jun Baek",376-386,10.1007/978-3-031-43999-5_36,2023,10,miccai23vol6/paper_74.pdf,/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol6/paper_74.pdf,"here, we take a balanced policy between the independence and knowl-
edge mixture of the two routes by only sharing the weights without using any
guidance."
