paper_id,extracted_sents_keywords
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"[13], obtaining results comparable to full 3d supervision. compared to
centerline segmentation, where the vessel diameter is disregarded, training a 3d
vessel segmentation model from 2d annotations poses additional segmentation-
speciﬁc challenges, as 2d projections only capture the outline of the vessels,
providing no information about their interior. furthermore, the axes of projec-
tion are crucial for the model’s success, given the sparsity of information in 2d
annotations.
to achieve 3d vessel segmentation with only 2d supervision from projec-
tions, we ﬁrst investigate which viewpoints to annotate in order to maximize
segmentation performance."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"4
experimental design
dataset. the cohort consists of 141 patients with pancreatic ductal adeno-
carcinoma, of an equal ratio of male to female patients. [15,18] and
semi-automatically extract the ribs, which have similar intensities as arteries in
arterial cts and would otherwise occlude the vessels."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"we implement [13] as a baseline on our dataset, training on up to 3
ﬁxed orthogonal projections. we distinguish between models selected according
to the 2d performance on the validation set (2d) which is a fair baseline, and
models selected according to the 3d performance on the validation set (3d),
which is an unfair baseline as it requires 3d annotations on the validation set. with the exception of the single ﬁxed viewpoint baselines where the models have
the tendency to diverge towards over- or segmentation, we perform binary hole-
ﬁlling on the output of all of our other models, as producing hollow objects is a
common under-segmentation issue."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"3d mitochondria instance segmentation
with spatio-temporal transformers
omkar thawakar1(b), rao muhammad anwer1,2, jorma laaksonen2,
orly reiner3, mubarak shah4, and fahad shahbaz khan1,5
1 mbzuai, masdar city, uae
omkar.thawakar@mbzuai.ac.ae
2 aalto university, espoo, finland
3 weizmann institute of science, rehovot, israel
4 university of central florida, orlando, usa
5 linköping university, linköping, sweden
abstract. accurate 3d mitochondria instance segmentation in electron
microscopy (em) is a challenging problem and serves as a prerequisite
to empirically analyze their distributions and morphology."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"however, automatic 3d mito-
chondria instance segmentation is a challenging task, since complete shape of
mitochondria can be sophisticated and multiple instances can also experience
entanglement with each other resulting in unclear boundaries. here, we look
into the problem of accurate 3d mitochondria instance segmentation. earlier works on mitochondria segmentation employ standard image process-
ing and machine learning methods
[20,21,33]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"although such a cnn-based designs [11,16,34] has achieved
promising segmentation results compared to traditional methods, they struggle
to eﬀectively capture long-range dependencies due to their limited local recep-
tive ﬁeld. [6,13,19,30,31] have been successfully utilized in dif-
ferent computer vision problems due to their capabilities at modelling long-range
dependencies and enabling the model to attend to all the elements in the input
616
o. thawakar et al.
sequence. the core component in vits is the self-attention mechanism that that
learns the relationships between sequence elements by performing relevance esti-
mation of one item to other items."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"in this way, self-attention mechanism goes
much beyond the receptive ﬁeld of the conventional convolutional ﬁlters. while
self-attention has been shown to be beneﬁcial when combined with convolutional
layers for diﬀerent medical imaging tasks, to the best of our knowledge, no pre-
vious attempt to design spatio-temporal self-attention as an exclusive building
block for the problem of 3d mitochondria instance segmentation exists in liter-
ature. next, we present our approach that eﬀectively utilizes an eﬃcient spatio-
temporal attention mechanism for 3d mitochondria instance segmentation."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"best results are in bold. [36] is a dense mitochondria instance seg-
mentation dataset from isbi 2021 challenge. the dataset consists of 2 em image
volumes (30 μm3) of resolution of 8 × 8 × 30 nm, from rat tissues (mitoem-r)
and human tissue (mitoem-h) samples, respectively."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"[27]
(rcom env) and models are trained using 2 amd mi250x gpus. during training
of mitoem, for the fair comparison, we adopt same data augmentation technique
from [36]. the 3d patch of size (32×320×320) is input to the model and trained
using batch size of 2."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"for lucchi, we follow training
details of [16,36] for semantic segmentation. for fair comparison with previous
works, we use the same evaluation metrics as in the literature for both datasets. we use 3d ap-75 metric [36] for mitoem-r and mitoem-h datasets."
