index;Title;Authors;Page numbers;DOI;Year of publication;Part of publication;Organ;Image type;Demographic data;No. datasets;Gender-specfic cancer;Subgroups;Info of datasets;Links
443;ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment;Puria Azadi, Jonathan Suderman, Ramin Nakhli, Katherine Rich, Maryam Asadi, Sonia Kung et al.;765-775;10.1007/978-3-031-43987-2_74;2023;6;prostate gland;histopathology, needle biopsy slides, biospy, magnetic resonance imaging ;none;3;Yes;patients, low risk prostate cancer patients, high risk prostate cancer patients;;
496;Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection;Balint Kovacs, Nils Netzer, Michael Baumgartner, Carolin Eith, Dimitrios Bounias, Clara Meinzer et al.;531-540;10.1007/978-3-031-43990-2_50;2023;7;prostate gland;mri;none;1;Yes;patients, non-small cell lung cancer, ;;
486;Automated CT Lung Cancer Screening Workflow Using 3D Camera;Brian Teixeira, Vivek Singh, Birgi Tamersoy, Andreas Prokein, Ankur Kapoor;423-431;10.1007/978-3-031-43990-2_40;2023;7;lungs;CT scans, 3D camera;geolocation;2;;patients, north america, asia, europe, images, sites in europe, 3d camera;;
328;CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification;Yin Luo, Wei Liu, Tao Fang, Qilong Song, Xuhong Min, Minghui Wang et al.;358-367;10.1007/978-3-031-43904-9_35;2023;5;lungs;computed tomography (CT) ;lone;2;;patients;;
92;Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images;Jaeung Lee, Keunho Byeon, Jin Tae Kwak;212-221;10.1007/978-3-031-43895-0_20;2023;2;colorectal;pathology, Aperio digital slide scanner (dataset 1), NanoZoomer digital slide scanner (dataset 2) ;;2;;Different environments, benign,  well-differentiated (WD) cancer  moderatelydifferentiated (MD) cancer, poorly-differentiated (PD) cancer ;data collected between 2006-2008 (dataset 1), data collected between 2016 and 2017 (dataset 2), benign label,  well-differentiated (WD) cancer label, moderatelydifferentiated (MD) cancer label, poorly-differentiated (PD) cancer label;
308;Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans;Mingze Yuan, Yingda Xia, Xin Chen, Jiawen Yao, Junli Wang, Mingyan Qiu et al.;146-156;10.1007/978-3-031-43904-9_15;2023;5;stomach;CT scans;none;1;;patients, gastric caner, normal cases ;;
611;Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery;Baoru Huang, Yicheng Hu, Anh Nguyen, Stamatia Giannarou, Daniel S. Elson;260-270;10.1007/978-3-031-43996-4_25;2023;9;tissue;laparoscope;geolocation;2;;UK, patient;;
393;Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images;Maosong Cao, Manman Fei, Jiangdong Cai, Luyan Liu, Lichi Zhang, Qian Wang;243-252;10.1007/978-3-031-43987-2_24;2023;6;cervix;whole slide images ;gender, women;1;yes;women, cervical cytopathological WSI;;
228;Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI;Tianxu Lv, Yuan Liu, Kai Miao, Lihua Li, Xiang Pan;100-109;10.1007/978-3-031-43901-8_10;2023;4;breast;MRI;none;1;;breast cancer, patients, MRI scans of womens breast;;
331;Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images;Hyeonsoo Lee, Junha Kim, Eunkyung Park, Minjeong Kim, Taesoo Kim, Thijs Kooi;389-398;10.1007/978-3-031-43904-9_38;2023;5;breast;mammograms, biopsy;women, geolocation;1;yes;breast cancer, women, certain age,  exams, images, patients,  United States;data collected across US  between 2010-2021, 3,625 biopsy-proven cancer exams, 5,394 biopsy-proven benign exams, 7,094 normal exams, devices used: Siemens (27.7 %), Hologic (72.3%), breast tissue density ;
