paper_id,extracted_sents_keywords
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"kozinski et al. compared to
centerline segmentation, where the vessel diameter is disregarded, training a 3d
vessel segmentation model from 2d annotations poses additional segmentation-
speciﬁc challenges, as 2d projections only capture the outline of the vessels,
providing no information about their interior. furthermore, the axes of projec-
tion are crucial for the model’s success, given the sparsity of information in 2d
annotations.
to achieve 3d vessel segmentation with only 2d supervision from projec-
tions, we ﬁrst investigate which viewpoints to annotate in order to maximize
segmentation performance."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"4
experimental design
dataset. the cohort consists of 141 patients with pancreatic ductal adeno-
carcinoma, of an equal ratio of male to female patients. in order to remove as much
of the cluttering surrounding tissue and increase the visibility of the vessels in
the projections, the input is windowed so that the vessels appear hyperintense."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_14.pdf,"models trained on full 3d
ground truth represent the upper bound baseline, which is very expensive to
annotate. with the exception of the single ﬁxed viewpoint baselines where the models have
the tendency to diverge towards over- or segmentation, we perform binary hole-
ﬁlling on the output of all of our other models, as producing hollow objects is a
common under-segmentation issue. in table 1 we compare our method against the 3d baseline, as well as base-
lines trained on multiple viewpoints."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"however, automatic 3d mito-
chondria instance segmentation is a challenging task, since complete shape of
mitochondria can be sophisticated and multiple instances can also experience
entanglement with each other resulting in unclear boundaries. here, we look
into the problem of accurate 3d mitochondria instance segmentation. however,
mask r-cnn based approaches struggle due to undeﬁned bounding-box scale
in em data volume."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"in this way, self-attention mechanism goes
much beyond the receptive ﬁeld of the conventional convolutional ﬁlters. while
self-attention has been shown to be beneﬁcial when combined with convolutional
layers for diﬀerent medical imaging tasks, to the best of our knowledge, no pre-
vious attempt to design spatio-temporal self-attention as an exclusive building
block for the problem of 3d mitochondria instance segmentation exists in liter-
ature. next, we present our approach that eﬀectively utilizes an eﬃcient spatio-
temporal attention mechanism for 3d mitochondria instance segmentation."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_59.pdf,"the model is optimized by adam optimizer with learning
rate of 1e−4. for fair comparison with previous
works, we use the same evaluation metrics as in the literature for both datasets. 4.1
results
state-of-the-art comparison: table 1 shows the comparison on mitoem-r
and mitoem-h validation sets."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_46.pdf,"we argue that such a
strategy struggles to eﬀectively perform deep feature aggregation and
ignores the useful local information. to tackle these issues, we propose a
spatial-temporal deformable attention based framework, named stnet. our stnet introduces a spatial-temporal deformable attention module
to perform local spatial-temporal feature fusion."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_46.pdf,"keywords: breast lesion detection · ultrasound videos ·
spatial-temporal deformable attention · multi-frame prediction
1
introduction
ultrasound imaging is a very eﬀective technique for breast lesion diagnosis,
which has high sensitivity. some of the challenges asso-
ciated with automatic breast lesion detection include blurry boundaries and
changeable sizes of breast lesions. image-based breast lesion detection approaches perform detection in each frame
independently."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_46.pdf,"recently,
lin et al. although the recent cva-net aggregates clip and video
level features, we distinguish two key issues that hamper its performance. first,
the self-attention based cross-frame feature fusion is a global-level operation and
it operates once before the encoder-decoder, thereby ignoring the useful local
information and in turn missing an eﬀective deep feature fusion."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol8/paper_46.pdf,"however, the diagnosis of breast
cancer related bp from radiological imaging is still a great challenge. different from classic cnns, the input of the proposed tppnet is
multiple texture patterns instead of images."
