,Title,search_pattern
0,Geometry-Invariant Abnormality,geometry-invariant abnormality
1,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,3d arterial
2,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,tpro: text-prompting-based
3,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,vox2vec: a
4,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,pick the
5,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,black-box domain
6,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,mesh2ssm: from
7,Structured State Space Models,structured state
8,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,vesselvae: recursive
9,"Anatomy-Driven Pathology Detection on Chest X-rays Philip Müller1(B),",anatomy-driven pathology
10,"Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy O. Le´on Barbed1(B), Jos´e M. M. Montiel1,",tracking adaptation
11,S2ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,s2me: spatial-spectral
12,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,multi-scale self-supervised
13,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,infusing physically
14,PROnet: Point Reﬁnement Using,pronet: point
15,PET-Diﬀusion: Unsupervised PET Enhancement Based on the Latent Diﬀusion Model,pet-diﬀusion: unsupervised
16,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,self-supervised domain
17,Gall Bladder Cancer Detection from US Images with only Image Level Labels,gall bladder
18,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classiﬁcation,weakly-supervised positional
19,SLPD: Slide-Level Prototypical,slpd: slide-level
20,DAS-MIL: Distilling Across Scales for MIL Classiﬁcation of Histological WSIs,das-mil: distilling
21,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,towards ai-driven
22,Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classiﬁcation,longitudinal multimodal
23,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,adaptive region
24,Synthetic Augmentation with Large-Scale Unconditional Pre-training,synthetic augmentation
25,Reveal to Revise: An Explainable AI Life Cycle for Iterative Bias Correction of Deep Models,reveal to
26,"Interpretable Medical Image Classiﬁcation Using Prototype Learning and Privileged Information Luisa Gallée1 ,",interpretable medical
27,OpenAL: An Eﬃcient Deep Active Learning Framework for Open-Set Pathology Image Classiﬁcation,openal: an
28,A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,a spatial-temporal
29,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,slpt: selective
30,Centroid-Aware Feature Recalibration,centroid-aware feature
31,ECL: Class-Enhancement Contrastive,ecl: class-enhancement
32,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classiﬁcation,transliver: a
33,ArSDM: Colonoscopy Images Synthesis with Adaptive Reﬁnement Semantic Diﬀusion Models,arsdm: colonoscopy
34,Co-assistant Networks for Label,co-assistant networks
35,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classiﬁcation,cross-modulated few-shot
36,Multi-Head Multi-Loss Model Calibration,multi-head multi-loss
37,Understanding Silent Failures in Medical Image Classiﬁcation,understanding silent
38,MultiTalent: A Multi-dataset Approach to Medical Image Segmentation,multitalent: a
39,Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,guiding the
40,Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,shifting more
41,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,unpaired cross-modal
42,Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,laplacian-former: overcoming
43,Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,scale-aware test-time
44,WeakPolyp: You only Look Bounding Box for Polyp Segmentation,weakpolyp: you
45,FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,focalunetr: a
46,"Robust T-Loss for Medical Image Segmentation Alvaro Gonzalez-Jimenez1(B),",robust t-loss
47,Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,anatomical-aware point-voxel
48,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,structure-preserving instance
49,Pre-trained Diﬀusion Models for Plug-and-Play Medical Image Enhancement,pre-trained diﬀusion
50,HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,henet: hierarchical
51,Fine-Tuning Network in Federated Learning for Personalized Skin Diagnosis,fine-tuning network
52,The Role of Subgroup Separability,the role
53,Factor Space and Spectrum for Medical Hyperspectral Image Segmentation,factor space
54,Diﬀusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,diﬀusion kinetic
55,"Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk Gaˇsper Podobnik1(B) , Primoˇz Strojan2 , Primoˇz Peterlin2 ,",multimodal ct
56,H-DenseFormer: An Eﬃcient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,h-denseformer: an
57,MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,mdvit: multi-domain
58,SwinUNETR-V2: Stronger Swin Transformers,swinunetr-v2: stronger
59,SimPLe: Similarity-Aware Propagation,simple: similarity-aware
60,Uncertainty-Informed Mutual Learning for Joint Medical Image Classiﬁcation and Segmentation,uncertainty-informed mutual
61,Medical Boundary Diﬀusion Model for Skin Lesion Segmentation,medical boundary
62,Deep Probability Contour Framework,deep probability
63,Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,category-level regularized
64,EGE-UNet: An Eﬃcient Group Enhanced,ege-unet: an
65,Anti-adversarial Consistency,anti-adversarial consistency
66,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,transnuseg: a
67,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,edgemixup: embarrassingly
68,EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,eoformer: edge-oriented
69,Breast Ultrasound Tumor Classiﬁcation,breast ultrasound
70,Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,morphology-inspired unsupervised
71,Cluster-Induced Mask Transformers for Eﬀective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,cluster-induced mask
72,Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,multiple prompt
73,"Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fr´echet Domain Distance Milda Poceviˇci¯ut˙e1,2(B) ,",detecting domain
74,Enhancing Breast Cancer Risk Prediction,enhancing breast
75,Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies Beniamin,graph-theoretic automatic
76,MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,muvf-yolox: a
77,Revisiting Feature Propagation and Aggregation in Polyp Segmentation,revisiting feature
78,M&M: Tackling False Positives,m&m: tackling
79,Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,liver tumor
80,Self- and Semi-supervised Learning for Gastroscopic Lesion Detection,self- and
81,"Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies",joint prediction
82,Dynamic Curriculum Learning via In-Domain Uncertainty for Medical Image Classiﬁcation,dynamic curriculum
83,Self-supervised Polyp Re-identiﬁcation,self-supervised polyp
84,Boosting Breast Ultrasound Video Classiﬁcation by the Guidance of Keyframe Feature Centers,boosting breast
85,Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis,patients and
86,YONA: You Only Need One Adjacent Reference-Frame for Accurate and Fast Video Polyp Detection,yona: you
87,Self-supervised Learning for Endoscopic Video Analysis,self-supervised learning
88,Automatic Bleeding Risk Rating System of Gastric Varices,automatic bleeding
89,Improving Outcome Prediction of Pulmonary Embolism by De-biased Multi-modality Model,improving outcome
90,Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image Go-,text-guided cross-position
91,SHISRCNet: Super-Resolution and Classiﬁcation Network for Low-Resolution Breast Cancer Histopathology Image,shisrcnet: super-resolution
92,Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,parse and
93,CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classiﬁcation,carl: cross-aligned
94,Text-Guided Foundation Model Adaptation for Pathological Image Classiﬁcation,text-guided foundation
95,Contrastive Feature Decoupling for Weakly-Supervised Disease Detection Jhih-,contrastive feature
96,Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,improved prognostic
97,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound,thinking like
98,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Inﬁltration Awareness,thyroid nodule
99,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,merging-diverging hybrid
100,NASDM: Nuclei-Aware Semantic,nasdm: nuclei-aware
101,Deep Learning for Tumor-Associated Stroma Identiﬁcation in Prostate Histopathology Slides,deep learning
102,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Reﬁnement,robust cervical
103,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,triangular analysis
104,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,adaptive supervised
105,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,deep cellular
