title,extracted_keyword_sent
Anatomy-Driven Pathology Detection on Chest X-rays,none
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"accordingly, direct knowledge transfer
using the output of the source domain predictor may lead to feature bias in the
student model due to the unavoidable covariance [20] between the target and
source domains."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"denoting the output of previous layer as z p et ,
the ct-guided cross-attention can be formulated as follows:where d is the number
of channels, b is the position bias, and conv(•) denotes the 1 × 1 × 1
convolution with stride of 1."
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"mesh2ssm also includes an analysis
network that operates on the learned correspondences to obtain a data-driven
template point cloud (i.e., template point cloud), which can replace the initial
template, and hence reducing the bias that could arise from template selection."
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"incorporating template feedback loop via vae [13,21] analysis module helps in
mitigating bias and capturing non-linear characteristics of the data."
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"it should be noted in contrast to [5] in which
only out-of-range samples were contributing to the loss, in this work, all
samples contribute to l vd to reduce the estimation bias.3-smoothness of epr is
considered by:4-picture loss is defined as l v = l vd + λ vs × l vs , where λ vs
is the weight of the smoothness loss."
SLPD: Slide-Level Prototypical Distillation for WSIs,"however, the
obtained clustering centers, i.e., the prototypes, are inclined to represent the
visual bias related to staining or scanning procedure rather than medically
relevant features [33]."
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"moreover, although the generalization validation on the training data batch may
introduce bias, providing sufficient training data ultimately benefits the
performance."
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,none
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,none
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,none
Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
Geometry-Invariant Abnormality Detection,none
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,"through extensive
experiments, we found inaccurate sample images with coarse polyp boundary that
is not aligned properly with the original masks may introduce large biases and
noises to the datasets."
Synthetic Augmentation with Large-Scale Unconditional Pre-training,"by ensuring that the fine-tuning
process is representative of the entire dataset through even sampling from each
tissue type, we can eliminate bias towards any particular tissue type."
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,none
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,none
Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,none
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,none
FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,none
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"first,
pure vit has several limitations itself [6], including ignoring local
information within each patch, extracting only single-scale features, and
lacking inductive bias."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,none
COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,none
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,none
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,none
Efficient Subclass Segmentation in Medical Images,"while mixing up only the semantic foreground provides a way of exchanging
knowledge between similar foreground objects while lifting the confirmation bias
in pseudo labeling [1]."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,none
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,"in
the opposite, when the number of samples n is large, the sampling bias can be
high, since the number of pixels can be smaller than n ."
