title,extracted_keyword_sent
Anatomy-Driven Pathology Detection on Chest X-rays,none
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"such privacy breaches may detrimental to the privacy protection policies of
hospitals."
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"moreover, the target domain uses the same neural network as the
source domain, which is not desirable for low-resource target users like
hospitals [15]."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"but these supervised methods
relied heavily on the paired lpet and spet data that are rare in actual clinic
due to radiation exposure and involuntary motions (e.g., respiratory and muscle
relaxation)."
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"however, these methods still require lpet to train
models, which contradicts with the fact that only spet scans are conducted in
clinic.fortunately, the recent glowing diffusion model [6] provides us with the
idea for proposing a clinically-applicable pet enhancement approach, whose
training only relies on spet data."
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,none
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"this data is available online at http://code.sonography.ai
in [16].in vivo data was collected at johns hopkins hospital from patients with
liver cancer during open-surgical rf thermal ablation by a research antares
siemens system using a vf 10-5 linear array with the sampling frequency of 40
mhz and the center frequency of 6.67 mhz."
SLPD: Slide-Level Prototypical Distillation for WSIs,none
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,none
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,none
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,"camelyon [1] is a
tumor tissue binary classification task across 5 hospitals."
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,"we use the training
set of camelyon as the source domain (302, 436 images from hospitals 1 -3) and
consider the validation set (34, 904 images from hospital 4) and test set (85,
054 images from the hospital 5) as the target domains 1 and 2, respectively."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,"we hope that our technique will simplify the model training
at the hospitals with easily available data locally, enhancing the applicability
and impact of automated gbc detection."
Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
Geometry-Invariant Abnormality Detection,none
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,none
Synthetic Augmentation with Large-Scale Unconditional Pre-training,none
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,none
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,none
Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,none
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,none
FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,none
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"in
hospitals, collected multi-phase cts are normally grouped by patients rather
than lesions, which makes single-phase lesion annotation insufficient for
feature fusion learning."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"vision transformers can get excellent performance on large-scale datasets such
as imagenet [4], but they are also prone to overfit on small datasets such as
private hospital datasets."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"the employed single-phase annotated dataset is collected from sir run
run shaw hospital (srrsh), affiliated with the zhejiang university school of
medicine, and has received the ethics approval of irb."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,none
COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,none
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,none
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"we
evaluate our continual learning method using three datasets: btcv [8], lits [1]
and jhh [25] (a private dataset at johns hopkins hospital) 1 ."
