,title,total_score,requires_review,age,gender,geolocation,social factors,ethnicity,fairness,data_gaps
0,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,0,False,0,1,1,0,0,0,0
1,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,0,False,0,0,0,0,0,0,0
2,A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,0,False,0,0,0,0,0,0,0
3,A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,1,False,1,1,1,0,0,0,0
4,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,1,False,1,1,1,0,0,0,0
5,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,0,False,0,0,0,0,0,0,0
6,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,1,False,1,0,1,0,0,1,0
7,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,3,False,1,1,0,0,1,0,0
8,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,1,False,1,1,1,0,0,1,0
9,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,1,False,1,0,1,0,0,1,0
10,An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,0,False,0,1,1,0,0,0,0
11,An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment,0,False,0,0,0,0,0,0,0
12,Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,0,False,0,0,0,1,0,0,0
13,Anatomy-Driven Pathology Detection on Chest X-rays,0,False,0,0,0,0,0,0,0
14,Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,2,False,1,1,0,1,0,1,0
15,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,0,False,0,0,0,0,0,0,0
16,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,1,False,1,0,1,0,0,0,0
17,Artifact Restoration in Histology Images with Diffusion Probabilistic Models,0,False,0,0,1,0,0,0,0
18,Automated CT Lung Cancer Screening Workflow Using 3D Camera,0,False,0,1,0,0,0,1,0
19,Automatic Bleeding Risk Rating System of Gastric Varices,0,False,0,1,1,0,0,1,0
20,B-Cos Aligned Transformers Learn Human-Interpretable Features,2,False,1,0,1,0,0,1,0
21,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,3,False,1,1,0,0,0,1,0
22,Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers,1,False,1,0,0,0,0,1,0
23,Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,0,False,0,0,0,0,0,0,0
24,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,0,False,0,0,1,0,0,1,0
25,CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,0,False,0,0,0,0,0,1,0
26,CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,0,False,0,1,0,0,0,1,0
27,Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,1,False,1,0,0,0,0,1,0
28,Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,0,False,0,0,0,0,0,0,0
29,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,0,False,0,0,0,0,0,0,0
30,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,3,False,1,1,1,0,0,1,0
31,CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,0,False,0,0,1,0,0,0,0
32,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,6,True,1,1,1,0,0,0,0
33,Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,0,False,0,0,0,0,0,0,0
34,Clustering Disease Trajectories in Contrastive Feature Space for Biomarker Proposal in Age-Related Macular Degeneration,0,False,0,0,0,0,0,0,0
35,Co-assistant Networks for Label Correction,0,False,0,0,0,0,0,0,0
36,Contrastive Feature Decoupling for Weakly-Supervised Disease Detection,2,False,1,1,1,0,0,0,0
37,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,1,False,1,1,0,0,0,0,0
38,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation,1,False,1,1,1,0,0,0,0
39,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,1,False,1,0,0,0,0,1,0
40,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,0,False,0,0,0,0,0,0,0
41,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,0,False,0,0,0,0,0,0,0
42,Deep Learning-Based Air Trapping Quantification Using Paired Inspiratory-Expiratory Ultra-low Dose CT,0,False,0,0,0,0,0,0,0
43,Deep Learning-Based Anonymization of Chest Radiographs: A Utility-Preserving Measure for Patient Privacy,0,False,0,0,1,0,0,0,0
44,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,0,False,0,0,1,0,0,0,0
45,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,0,False,0,1,0,0,0,1,0
46,Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,1,False,1,1,1,0,0,0,0
47,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,1,False,1,1,1,0,0,0,0
48,Detection of Basal Cell Carcinoma in Whole Slide Images,0,False,0,1,1,0,0,0,0
49,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,1,False,1,1,1,0,0,1,0
50,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,0,False,0,1,0,0,0,1,0
51,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,0,False,0,0,0,0,0,0,0
52,DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,0,False,0,0,0,0,0,0,0
53,Dose Guidance for Radiotherapy-Oriented Deep Learning Segmentation,0,False,0,0,0,0,0,0,0
54,Dynamic Curriculum Learning via In-Domain Uncertainty for Medical Image Classification,0,False,0,1,0,0,0,1,0
55,ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,0,False,0,0,0,1,0,0,0
56,EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,0,False,0,1,0,0,0,1,0
57,EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,3,False,1,1,0,0,0,1,0
58,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,2,False,1,1,1,0,0,0,0
59,Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images,2,False,1,1,1,0,0,1,0
60,EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,0,False,0,1,1,0,0,1,0
61,FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,0,False,0,0,0,0,0,0,0
62,Factor Space and Spectrum for Medical Hyperspectral Image Segmentation,2,False,1,0,1,0,0,0,0
63,Fine-Tuning Network in Federated Learning for Personalized Skin Diagnosis,0,False,0,0,0,0,0,0,0
64,FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,0,False,0,0,0,0,0,1,0
65,FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,0,False,0,1,1,0,0,0,0
66,Foundation Model for Endoscopy Video Analysis via Large-Scale Self-supervised Pre-train,0,False,0,1,1,0,0,0,0
67,FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,0,False,0,0,1,0,0,0,0
68,Gall Bladder Cancer Detection from US Images with only Image Level Labels,0,False,0,0,0,0,0,0,0
69,Gene-Induced Multimodal Pre-training for Image-Omic Classification,0,False,0,0,0,0,0,0,0
70,Geometric Ultrasound Localization Microscopy,0,False,0,0,1,0,0,0,0
71,Geometry-Invariant Abnormality Detection,0,False,0,0,1,0,0,0,0
72,Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,0,False,0,0,0,0,0,0,0
73,Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,0,False,0,0,0,0,0,0,0
74,H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,0,False,0,0,1,0,0,0,0
75,HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,0,False,0,0,1,0,0,0,0
76,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,0,False,0,0,1,0,0,0,0
77,Histopathology Image Classification Using Deep Manifold Contrastive Learning,0,False,0,0,0,0,0,0,0
78,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,0,False,0,0,1,0,0,0,0
79,Imitation Learning from Expert Video Data for Dissection Trajectory Prediction in Endoscopic Surgical Procedure,2,False,1,1,1,0,0,0,0
80,Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,6,True,1,1,1,0,1,1,0
81,Improving Outcome Prediction of Pulmonary Embolism by De-biased Multi-modality Model,0,False,0,1,1,0,0,1,0
82,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,0,False,0,1,1,0,0,0,0
83,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,0,False,0,0,0,0,0,0,0
84,Intraoperative CT Augmentation for Needle-Based Liver Interventions,0,False,0,0,1,0,0,0,0
85,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,0,False,0,0,1,0,0,0,0
86,"Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies",1,False,1,1,1,0,0,0,0
87,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity,0,False,0,1,0,0,0,0,0
88,Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,0,False,0,0,0,0,0,0,0
89,Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk,0,False,0,0,0,0,0,0,0
90,LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline,0,False,0,0,1,0,0,0,0
91,Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,0,False,0,1,0,0,0,1,0
