title,authors,page_numbers,doi,publication_year,vol_number,paper_id,path,extracted_sentence,extracted_sents_keywords
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"Alina F. Dima, Veronika A. Zimmer, Martin J. Menten, Hongwei Bran Li, Markus Graf, Tristan Lemke et al.",141-151,10.1007/978-3-031-43907-0_14,2023,1,1,miccai23vol1/paper_14.pdf,"[12] use this approach to segment cancer on histopathology
images successfully.","the cohort consists of 141 patients with pancreatic ductal adeno-
carcinoma, of an equal ratio of male to female patients."
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"Alina F. Dima, Veronika A. Zimmer, Martin J. Menten, Hongwei Bran Li, Markus Graf, Tristan Lemke et al.",141-151,10.1007/978-3-031-43907-0_14,2023,1,1,miccai23vol1/paper_14.pdf,"[12] use this approach to segment cancer on histopathology
images successfully.","we distinguish between models selected according
to the 2d performance on the validation set (2d) which is a fair baseline, and
models selected according to the 3d performance on the validation set (3d),
which is an unfair baseline as it requires 3d annotations on the validation set."
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,"Omkar Thawakar, Rao Muhammad Anwer, Jorma Laaksonen, Orly Reiner, Mubarak Shah, Fahad Shahbaz Khan",613-623,10.1007/978-3-031-43993-3_59,2023,8,2,miccai23vol8/paper_59.pdf,"https://doi.org/10.1007/978-3-031-43993-3_59
614
o. thawakar et al.
has been witnessed as a major factor in numerous diseases, including noncommu-
nicable chronic diseases (e.g, cardiovascular and cancer), metabolic (e.g, obesity)
and neurodegenerative (e.g, alzheimer and parkinson) disorders","during training
of mitoem, for the fair comparison, we adopt same data augmentation technique
from [36]."
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,"Omkar Thawakar, Rao Muhammad Anwer, Jorma Laaksonen, Orly Reiner, Mubarak Shah, Fahad Shahbaz Khan",613-623,10.1007/978-3-031-43993-3_59,2023,8,2,miccai23vol8/paper_59.pdf,"https://doi.org/10.1007/978-3-031-43993-3_59
614
o. thawakar et al.
has been witnessed as a major factor in numerous diseases, including noncommu-
nicable chronic diseases (e.g, cardiovascular and cancer), metabolic (e.g, obesity)
and neurodegenerative (e.g, alzheimer and parkinson) disorders","for fair comparison with previous
works, we use the same evaluation metrics as in the literature for both datasets."
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,"Chao Qin, Jiale Cao, Huazhu Fu, Rao Muhammad Anwer, Fahad Shahbaz Khan",479-488,10.1007/978-3-031-43895-0_45,2023,2,3,miccai23vol2/paper_46.pdf,"automatically detecting breast lesions is a challeng-
ing problem with a potential to aid in improving the eﬃciency of radiologists in
ultrasound-based breast cancer diagnosis [18,21].","video
resnet-50 40.0 70.3
43.3
the previous work cva-net [9], to guarantee a fair comparison."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"however, the diagnosis of breast
cancer related bp from radiological imaging is still a great challenge.","2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"however, the diagnosis of breast
cancer related bp from radiological imaging is still a great challenge.",the range of the age are varying from 15 to 85 years old.
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"however, the diagnosis of breast
cancer related bp from radiological imaging is still a great challenge.","the female patient
number and male patient number are almost even."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"however, the diagnosis of breast
cancer related bp from radiological imaging is still a great challenge.","the predicted segmentations were manually divided into three
groups, i.e. good, fair and poor."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"https://doi.org/10.1007/978-3-031-43993-3_46
a texture neural network to predict the abnormal brachial plexus
471
radiation ﬁbrosis, primary and metastatic lung cancer, and metastatic breast cancer
account for almost three-fourths of causes [2].","2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital."
