,age_,gender_,geolocation_,social factors,etnicity_,bias_,fairness_,fairness,concerns
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,0,1,0,0,0,0,1,0,1
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,1,0,0,0,0,0,1,0,1
A Multi-task Network for Anatomy Identification in Endoscopic Pituitary Surgery,1,0,1,0,0,0,1,0,1
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,1,0,0,0,0,0,0,0,1
A Sheaf Theoretic Perspective for Robust Prostate Segmentation,0,0,0,0,0,1,0,0,1
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,1,0,0,0,0,0,1,0,1
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,0,0,1,0,0,0,1,0,1
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,1,0,0,0,0,0,0,0,1
ACC-UNet: A Completely Convolutional UNet Model for the 2020s,0,0,0,0,0,1,0,0,1
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,1,0,1,0,0,0,1,0,1
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,1,0,0,0,0,0,0,0,1
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,1,0,0,0,0,0,1,0,1
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,1,0,0,0,0,1,0,0,1
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,1,0,0,1,0,0,0,0,1
An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,1,0,0,0,0,1,1,0,1
An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,1,0,1,0,0,1,0,0,1
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,1,0,1,0,0,0,0,0,1
Anatomy-Driven Pathology Detection on Chest X-rays,0,0,0,0,0,0,0,0,1
Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,1,0,0,1,0,0,1,0,1
Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models,1,0,0,0,0,0,0,0,1
Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,1,0,1,0,0,1,1,0,1
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,1,0,0,1,0,1,1,0,1
Artifact Restoration in Histology Images with Diffusion Probabilistic Models,1,0,1,0,0,0,1,0,1
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,1,0,0,1,0,0,1,0,1
Automated CT Lung Cancer Screening Workflow Using 3D Camera,0,0,0,0,0,0,0,0,0
Automatic Bleeding Risk Rating System of Gastric Varices,1,0,1,0,0,0,0,0,1
B-Cos Aligned Transformers Learn Human-Interpretable Features,0,0,0,0,0,1,0,0,1
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,1,0,0,0,0,0,1,0,1
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,1,0,1,0,0,1,1,0,1
Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers,1,0,1,0,0,0,1,0,1
Brain Anatomy-Guided MRI Analysis for Assessing Clinical Progression of Cognitive Impairment with Structural MRI,1,0,1,0,0,1,1,0,1
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,1,1,0,0,0,1,0,0,1
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,1,0,1,0,0,0,1,0,1
CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,0,0,0,0,0,0,1,0,1
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,0,0,1,0,0,1,0,0,1
COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,1,0,0,0,0,0,0,0,1
CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows,1,0,1,0,0,0,0,0,1
Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,1,0,0,0,0,0,0,0,1
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,1,0,0,0,0,0,1,0,1
CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,1,0,0,0,0,1,0,0,1
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,1,0,0,0,0,0,0,0,1
Certification of Deep Learning Models for Medical Image Segmentation,1,0,0,0,0,0,0,0,1
CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,0,0,0,0,0,0,0,0,1
Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,0,0,1,0,0,1,0,0,0
Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,1,0,1,0,0,0,1,1,1
Clustering Disease Trajectories in Contrastive Feature Space for Biomarker Proposal in Age-Related Macular Degeneration,1,1,1,0,0,0,0,0,1
Co-assistant Networks for Label Correction,1,0,0,0,0,0,1,0,1
Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,1,0,0,0,0,0,1,0,1
CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis,1,0,0,0,0,1,1,0,1
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,0,0,0,0,0,0,0,0,1
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,1,0,1,0,0,0,1,0,1
Contrastive Feature Decoupling for Weakly-Supervised Disease Detection,1,0,0,0,0,0,1,0,1
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,1,0,0,0,0,0,1,0,1
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,1,0,0,0,0,0,0,0,1
DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation,1,0,1,0,0,0,0,0,1
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,1,0,0,0,0,0,0,0,1
DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,1,0,0,0,0,1,1,0,1
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,1,0,0,0,0,0,1,0,1
DCAug: Domain-Aware and Content-Consistent Cross-Cycle Framework for Tumor Augmentation,1,0,0,0,0,0,0,0,1
DHC: Dual-Debiased Heterogeneous Co-training Framework for Class-Imbalanced Semi-supervised Medical Image Segmentation,1,0,0,0,0,1,1,0,1
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,1,1,1,0,0,0,0,0,1
DULDA: Dual-Domain Unsupervised Learned Descent Algorithm for PET Image Reconstruction,1,0,0,0,0,1,0,0,1
DeDA: Deep Directed Accumulator,1,0,1,0,0,1,1,0,1
Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,1,0,0,0,0,0,0,0,1
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,1,0,1,0,0,0,1,0,1
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,0,0,0,0,0,0,0,0,1
Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,0,0,0,0,0,1,0,0,1
Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,0,0,0,0,0,0,0,0,1
Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,0,0,1,0,0,0,0,0,1
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,1,0,0,0,0,0,0,0,1
Detection of Basal Cell Carcinoma in Whole Slide Images,1,0,0,0,0,1,1,0,1
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,0,1,1,0,0,0,1,0,1
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,1,1,1,0,0,0,0,0,1
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,1,0,0,0,0,1,1,0,1
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,1,0,1,0,0,0,0,0,1
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,1,0,0,0,0,0,1,0,1
Diffusion-Based Data Augmentation for Nuclei Image Segmentation,0,0,0,0,0,0,0,0,1
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,1,1,1,0,0,0,1,0,1
Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,1,0,0,0,0,0,1,0,1
Dose Guidance for Radiotherapy-Oriented Deep Learning Segmentation,0,0,0,0,0,0,1,0,1
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,1,0,0,0,0,1,1,0,1
EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,0,0,0,1,0,0,0,0,1
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,1,0,0,0,0,1,1,0,1
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,0,0,0,0,0,0,0,1,1
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,1,0,1,0,0,1,1,0,1
Efficient Subclass Segmentation in Medical Images,1,0,0,0,0,1,0,0,1
Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images,1,1,1,0,0,0,0,0,0
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,1,0,0,0,0,1,1,0,1
Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,1,0,1,0,0,0,1,0,1
