,age_,gender_,geolocation_,social factors,etnicity_,bias_,fairness_,fairness,concerns
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,0,0,0,0,0,0,0,0,0
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,3,0,0,0,0,0,0,0,9
A Sheaf Theoretic Perspective for Robust Prostate Segmentation,0,0,0,0,0,0,0,0,0
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,1,0,0,0,0,0,0,0,3
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,0,0,1,0,0,0,0,0,0
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,0,0,0,0,0,0,0,0,1
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,1,0,0,0,0,0,0,0,2
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,1,0,0,0,0,0,0,0,7
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,0,0,0,0,0,0,0,0,1
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,1,0,0,0,0,0,0,0,2
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,0,0,0,1,0,0,0,0,0
An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,0,0,0,0,0,0,0,0,0
An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,0,0,0,0,0,0,0,0,0
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,0,0,0,0,0,0,0,0,2
Anatomy-Driven Pathology Detection on Chest X-rays,0,0,0,0,0,0,0,0,0
Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,0,0,0,0,0,0,0,0,0
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,0,0,0,0,0,0,0,0,0
Artifact Restoration in Histology Images with Diffusion Probabilistic Models,2,0,1,0,0,0,0,0,3
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,0,0,0,0,0,0,0,0,3
Automated CT Lung Cancer Screening Workflow Using 3D Camera,0,0,0,0,0,0,0,0,0
Automatic Bleeding Risk Rating System of Gastric Varices,0,0,0,0,0,0,0,0,0
B-Cos Aligned Transformers Learn Human-Interpretable Features,0,0,0,0,0,0,0,0,1
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,0,0,0,0,0,0,0,0,0
Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers,2,0,1,0,0,0,0,0,2
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,3,2,0,0,0,1,0,0,1
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,0,0,0,0,0,0,1,0,0
CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,1,0,2,0,0,0,0,0,2
