,title,extracted_keyword_sent,selected
0,Anatomy-Driven Pathology Detection on Chest X-rays,"additionally, manually annotating
pathology bounding boxes is a time-consuming task, further exacerbating the
issue.",
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"despite the advantages of kpis in diagnosis,
the generation of accurate micro-parametric images is not yet possible in
clinical practice.to address the problem of the generation of micro-parametric
images, we propose a custom 3d unet [3] to estimate kinetic micro-parameters in
an unsupervised setting drawing inspiration from physics-informed neural
networks (pinn).",
2,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"the main contributions of this work are:-a self-supervised
formulation of the problem of kinetic micro-parameters estimation -a
spatio-temporal deep neural network for parametric images estimation -a
quantitative and qualitative comparison with conventional methods for pbpk
modelingthe code is available at:
https://github.com/francescadb/self_supervised_pbpk_modelling.",
3,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"finding the parameters of a km is a classical optimization problem [2,19,21]
solved by fitting the km equation to a measured tac in a least squares sense
[1,14,17].",
4,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"to address this
issue, recent research has focused on developing segmentation frameworks that
require little or no segmentation labels.to meet this need, many researchers
have devoted their efforts to weakly-supervised semantic segmentation (wsss)
[21], which utilizes weak supervision, such as image-level classification
labels.",
5,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"recent wsss methods can be broadly categorized into two types [4]:
class-activation-mapping-based (cam-based) [9,13,16,19,20,22], and
multiple-instance-learning-based (mil-based) [15] methods.the literature has not
adequately addressed the issue of low-resolution class-activation maps (cams),
especially for medical images.",
6,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"some existing methods, such as dilated residual
networks [24] and u-net segmentation architecture [3,7,17], have attempted to
tackle this issue, but still require many upsampling operations, which the
results become blurry.",
7,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"the model
learns the pixel-wise weighted sum of the activation maps by a novel contrastive
learning method.our proposed method has the following contributions:-to tackle
the issues in existing cams, we propose to use multiple-exit classification
networks to accurately capture all the internal activation maps of different
resolutions.",
8,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"-we demonstrate the
superiority of ame-cam over state-of-the-art cam methods in extracting
segmentation results from classification networks on the 2021 brain tumor
segmentation challenge (brats 2021) [1,2,14].",
9,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"-for reproducibility, we have
released our code at https://github.com/windstormer/ame-cam overall, our
proposed method can help overcome the challenges of expensive and time-consuming
segmentation labeling in medical imaging, and has the potential to improve the
accuracy of disease diagnosis and assessment.",
10,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"we evaluate our method on the brain tumor segmentation challenge (brats) dataset
[1,2,14], which contains 2,000 cases, each of which includes four 3d volumes
from four different mri modalities: t1, post-contrast enhanced t1 (t1-ce), t2,
and t2 fluid attenuated inversion recovery (t2-flair), as well as a
corresponding segmentation ground-truth mask.",x
11,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"quantitatively,
grad-cam and scorecam result in low dice scores, demonstrating that they have
difficulty extracting the activation of medical images.",
12,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"in this work, we focus on the scenario where
radiological meta-data (thus, low-confidence labels) are available for a large
amount of images, whereas high-confidence labels, obtained by histological
analysis, are scarce.naive extensions of contrastive learning methods, such as
[5,10,11], from 2d to 3d images may be difficult due to limited gpu memory and
therefore small batch size.",
13,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"however, these methods pose two difficulties: they reduce the
spatial context (limited by the size of the patch), and they require similar
spatial resolution across images.",
14,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"these works implicitly assume a certain threshold on depth to define
positive and negative samples, which may be difficult to define and may be
different among applications and datasets.",
15,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"as commonly
done in cl [3], this condition can be transformed into an optimization problem
using the max operator and its smooth approximation logsumexp:arg min(3) by
defining p (t) = {i : y i = y t } as the set of indices of images x i in the
batch with the same discrete label y i as the anchor x t , we can rewrite our
final loss function as:wherein practice, it is rather easy to find a good value
of σ, as the proposed kernel method is quite robust to its variation.",
