,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays (vol1),"these region boxes are easier to annotate -the physiological shape of a
healthy subject's thorax can be learned relatively easily by medical students
-and generalize better than those of pathologies, such that huge labeled
datasets are available -we propose anatomy-driven pathology detection (adpd), a
pathology detection approach for chest x-rays, trained with pathology
classification labels together with anatomical region bounding boxes as proxies
for pathologies."
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET (vol1),the dataset is composed of 23 oncological patients with different tumor types.
2,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET (vol1),"dpet data was acquired on a biograph vision quadra for 65 min, over 62 frames."
3,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET (vol1),"the dataset included the label maps of 7 organs
(bones, lungs, heart, liver, kidneys, spleen, aorta) and one image-derived input
function a(t) [bq/ml] from the descending aorta per patient."
4,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET (vol1),"further details on
the dataset are presented elsewhere the pet frames and the label map were
resampled to an isotropic voxel size of 2.5 mm."
5,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET (vol1),"then, the dataset was split
patient-wise into training, validation, and test set, with 10, 4, and 9 patients
respectively."
6,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET (vol1),"details on the dataset split are available in the supplementary
material (table"
7,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),"however, most deep
learning approaches for segmentation require fully or partially labeled training
datasets, which can be time-consuming and expensive to annotate."
8,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),"-we demonstrate the superiority of ame-cam over state-of-the-art cam
methods in extracting segmentation results from classification networks on the
2021 brain tumor segmentation challenge (brats 2021) we evaluate our method on
the brain tumor segmentation challenge (brats) dataset in this section, we
compare the segmentation performance of the proposed ame-cam
with five state-of-the-art weakly-supervised segmentation methods, namely
grad-cam compared to the unsupervised baseline (ul), c&f is unable to separate
the tumor and the surrounding tissue due to low contrast, resulting in low dice
scores in all experiments."
9,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),"experimental results on the four modalities of the
2021 brats dataset demonstrate the superiority of our approach compared with
other cam-based weakly-supervised segmentation methods."
10,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor (vol1),"specifically, ame-cam
achieves the highest dice score for all patients in all datasets and modalities."
11,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features (vol1),"we compare our method with state-of-the-art unsupervised 3d structure discovery
approaches including clustering using 3d feature learning for the synthetic
datasets, we used k = 2 (background and cell) for level 1, k = 4 (background,
cell, vesicle, mitochondria) for level 2, and k = 8 (background, cell, vesicle,
mitochondria, and 4 small protein aggregates) for level 3 predictions."
12,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features (vol1),"table for the brain tumor
segmentation (brats'19) dataset, we use the whole tumor (wt) segmentation mask
for evaluation, which is detectable based on the flair images alone."
13,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features (vol1),"the evaluation
metric, as in the brats'19 challenge we perform ablation studies on the brats'19
dataset (table this might be due to the fact that predictive modeling involves
learning from a distribution of images and a model may therefore extract useful
knowledge from a collection of images."
14,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features (vol1),"our method outperforms
existing unsupervised segmentation approaches and discovers meaningful
hierarchical concepts on challenging biologically-inspired synthetic datasets
and on the brats brain tumor dataset."
15,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features (vol1),"while we tested our approach for
unsupervised image segmentation it is conceivable that it could also be useful
in semisupervised settings and that could be applied to data types other than
images."
16,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation (vol1),none
17,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy (vol1),none
18,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation (vol1),"dataset and setting: we collect four pathology image datasets to validate our
proposed approach."
19,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation (vol1),"firstly, we acquire 50 images from a cohort of patients with
triple negative breast cancer (tnbc), which is released by naylor et al
experimental results: to validate our method, we compare it with the following
approaches: (1) cellsegssda in addition, the experimental results also show that
simply combining multiple source data into a traditional single source will
result in performance degradation in some cases, which also proves the
importance of studying multi-source domain adaptation methods."
20,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning (vol1),"in recent years, deep learning (dl) methods have demonstrated remarkable
performance in detecting and localizing tumors on ultrasound images domain
adaptation (da) has been extensively studied to alleviate the aforementioned
limitations, the goal of which is to reduce the domain gap caused by the
diversity of datasets from different domains to alleviate the problem of
pseudo-label-based uda, in this work, we propose an advanced uda framework based
on self-supervised da with a test-time finetuning network."
21,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning (vol1),"• our framework is effective at preserving privacy, since it
carries out da using only pre-trained network parameters, without transferring
any patient data."
22,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning (vol1),"• we applied our framework to the task of segmenting breast
cancer from ultrasound imaging data, demonstrating its superior performance over
competing uda methods."
23,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning (vol1),"due to the low resolution of
ultrasound images, manual segmentation of breast cancer is challenging even for
expert clinicians, resulting in a sparse number of labeled data."
24,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning (vol1),"additionally, our framework is
well-suited to a scenario in which access to source domain data is limited, due
to data privacy protocols."
25,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model (vol1),"the keys of
our upete include 1) compressing the 3d pet images into a lower dimensional
space for reducing the computational cost of diffusion model, 2) adopting the
poisson noise, which is the dominant noise in pet imaging our work had three
main features/contributions: i) proposing a clinicallyapplicable unsupervised
pet enhancement framework, ii) designing three targeted strategies for improving
the diffusion model, including pet image compression, poisson diffusion, and
ct-guided cross-attention, and iii) achieving better performance than
state-of-the-art methods on the collected pet datasets."
26,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation (vol1),"therefore, there is a growing interest in
developing semi-supervised learning that leverages both labeled and unlabeled
data to improve the performance of image segmentation models existing
semi-supervised segmentation methods exploit smoothness assumption, e.g., the
data samples that are closer to each other are more likely to to have the same
label."
