title,keyword
Anatomy-Driven Pathology Detection on Chest X-rays,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,balanced
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,balanced
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patient
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patient
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patient
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,balanced
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,patients
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,balance
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,patients
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,bias
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,patients
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,fairness
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,patients
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,patients
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,patient
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,women
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,bias
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,patients
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,male
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,female
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,patients
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,bias
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,patients
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,bias
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,balance
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,bias
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,patients
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,patients
SLPD: Slide-Level Prototypical Distillation for WSIs,patients
SLPD: Slide-Level Prototypical Distillation for WSIs,bias
SLPD: Slide-Level Prototypical Distillation for WSIs,patients
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,patient
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,patients
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,balance
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,bias
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,patient
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,age
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,imbalance
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,imbalance
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,imbalance
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,imbalance
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,gender
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,balance
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,balance
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,balance
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,age
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,age
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Structured State Space Models for Multiple Instance Learning in Digital Pathology,patient
Structured State Space Models for Multiple Instance Learning in Digital Pathology,patient
Structured State Space Models for Multiple Instance Learning in Digital Pathology,patient
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,patient
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,data collection
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,patients
Geometry-Invariant Abnormality Detection,patient
Geometry-Invariant Abnormality Detection,imbalance
Geometry-Invariant Abnormality Detection,patients
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,patients
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,balance
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,balance
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,balance
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,imbalance
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,biases
Synthetic Augmentation with Large-Scale Unconditional Pre-training,bias
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,demographics
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,patients
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,patients
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,patient
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,transparency
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,patients
FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,imbalanced
FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,balanced
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patients
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,bias
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patients
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,imbalance
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
