,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,none
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
2,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"to address this
issue, recent research has focused on developing segmentation frameworks that
require little or no segmentation labels."
3,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"to meet this need, many researchers
have devoted their efforts to weakly-supervised semantic segmentation (wsss) the
literature has not adequately addressed the issue of low-resolution
class-activation maps (cams), especially for medical images."
4,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"our proposed method has the following
contributions: -to tackle the issues in existing cams, we propose to use
multiple-exit classification networks to accurately capture all the internal
activation maps of different resolutions."
5,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"-we demonstrate the superiority of ame-cam over state-of-the-art cam
methods in extracting segmentation results from classification networks on the
2021 brain tumor segmentation challenge (brats 2021) we evaluate our method on
the brain tumor segmentation challenge (brats) dataset in this section, we
compare the segmentation performance of the proposed ame-cam
with five state-of-the-art weakly-supervised segmentation methods, namely
grad-cam compared to the unsupervised baseline (ul), c&f is unable to separate
the tumor and the surrounding tissue due to low contrast, resulting in low dice
scores in all experiments."
6,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"the evaluation
metric, as in the brats'19 challenge we perform ablation studies on the brats'19
dataset (table this might be due to the fact that predictive modeling involves
learning from a distribution of images and a model may therefore extract useful
knowledge from a collection of images."
7,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
8,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"endoscopic images are a challenging case for feature
detection and matching, due to several well known challenges for these tasks,
such as lack of texture, or the presence of frequent artifacts, like specular
reflections."
9,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"these problems are accentuated when all the elements in the scene
are deformable, as it is the case in most endoscopy scenarios, and in particular
in the real use case studied in our work, the lower gastrointestinal tract
explored with colonoscopies."
10,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,none
11,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"in recent years, deep learning (dl) methods have demonstrated remarkable
performance in detecting and localizing tumors on ultrasound images domain
adaptation (da) has been extensively studied to alleviate the aforementioned
limitations, the goal of which is to reduce the domain gap caused by the
diversity of datasets from different domains to alleviate the problem of
pseudo-label-based uda, in this work, we propose an advanced uda framework based
on self-supervised da with a test-time finetuning network."
12,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"to address this
issue, we introduced a novel self-supervised da network for breast cancer
segmentation in ultrasound images."
13,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,none
14,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
15,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"this data is available online at http://code.sonography.ai
in in vivo data was collected at johns hopkins hospital from patients with liver
cancer during open-surgical rf thermal ablation by a research antares siemens
system using a vf 10-5 linear array with the sampling frequency of 40 mhz and
the center frequency of 6.67 mhz."
16,SLPD: Slide-Level Prototypical Distillation for WSIs,"in computational histopathology, visual representation extraction is a
fundamental problem more recently, some works propose to close the gap via
directly learning slidelevel representations in pre-training."
17,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,"to address this, weakly-supervised nuclei segmentation methods to overcome these
challenges, we propose a novel weakly supervised instance segmentation method
that effectively distinguishes adjacent nuclei and is robust to point shifts."
