title,header_no,header_title,text,volume
Anatomy-Driven Pathology Detection on Chest X-rays,1.0,Introduction,"chest radiographs (chest x-rays) represent the most widely utilized type of
medical imaging examination globally and hold immense significance in the
detection of prevalent thoracic diseases, including pneumonia and lung cancer,
making them a crucial tool in clinical care [10,15]. pathology detection and
localization -for brevity we will use the term pathology detection throughout
this workenables the automatic interpretation of medical scans such as chest
x-rays by predicting bounding boxes for detected pathologies. unlike
classification, which only predicts the presence of pathologies, it provides a
high level of explainability supporting radiologists in making informed
decisions. however, while image classification labels can be automatically
extracted from electronic health records or radiology reports [7,20], this is
typically not possible for bounding boxes, thus limiting the availability of
large datasets for pathology detection. additionally, manually annotating
pathology bounding boxes is a time-consuming task, further exacerbating the
issue. the resulting scarcity of large, publicly available datasets with
pathology bounding boxes limits the use of supervised methods for pathology
detection, such that current approaches typically follow weakly supervised
object detection approaches, where only classification labels are required for
training. however, as these methods are not guided by any form of bounding
boxes, their performance is limited.we, therefore, propose a novel approach
towards pathology detection that uses anatomical region bounding boxes, solely
defined on anatomical structures, as proxies for pathology bounding boxes. these
region boxes are easier to annotate -the physiological shape of a healthy
subject's thorax can be learned relatively easily by medical students -and
generalize better than those of pathologies, such that huge labeled datasets are
available [21]. in summary:-we propose anatomy-driven pathology detection
(adpd), a pathology detection approach for chest x-rays, trained with pathology
classification labels together with anatomical region bounding boxes as proxies
for pathologies. -we study two training approaches: using localized
(anatomy-level) pathology labels for our model loc-adpd and using image-level
labels with multiple instance learning (mil) for our model mil-adpd. -we train
our models on the chest imagenome [21] dataset and evaluate on nih chestx-ray 8
[20], where we found that our loc-adpd model outperforms both, weakly supervised
methods and fully supervised detection with a small training set, while our
mil-adpd model is competitive with supervised detection and slightly outperforms
weakly supervised approaches.",1
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,2.4,Dataset,"the dataset is composed of 23 oncological patients with different tumor types.
dpet data was acquired on a biograph vision quadra for 65 min, over 62 frames.
the exposure duration of the frames were 2 × 10 s, 30 × 2 s, 4 × 10 s, 8 × 30 s,
4 × 60 s, 5 × 120 s and 9 × 300 s. the pet volumes were reconstructed with an
isotropic voxel size of 1.6 mm. the dataset included the label maps of 7 organs
(bones, lungs, heart, liver, kidneys, spleen, aorta) and one image-derived input
function a(t) [bq/ml] from the descending aorta per patient. further details on
the dataset are presented elsewhere [16].the pet frames and the label map were
resampled to an isotropic voxel size of 2.5 mm. then, the dataset was split
patient-wise into training, validation, and test set, with 10, 4, and 9 patients
respectively. details on the dataset split are available in the supplementary
material (table 1). the training set consisted of 750 slices and the validation
consisted of 300. in both cases, 75 axial slices per patient were extracted in a
pre-defined patient-specific range from the lungs to the bladder (included) and
were cropped to size 112 × 112 pixels.",1
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,1.0,Introduction,"deep learning techniques have greatly improved medical image segmentation by
automatically extracting specific tissue or substance location information,
which facilitates accurate disease diagnosis and assessment. however, most deep
learning approaches for segmentation require fully or partially labeled training
datasets, which can be time-consuming and expensive to annotate. to address this
issue, recent research has focused on developing segmentation frameworks that
require little or no segmentation labels.to meet this need, many researchers
have devoted their efforts to weakly-supervised semantic segmentation (wsss)
[21], which utilizes weak supervision, such as image-level classification
labels. recent wsss methods can be broadly categorized into two types [4]:
class-activation-mapping-based (cam-based) [9,13,16,19,20,22], and
multiple-instance-learning-based (mil-based) [15] methods.the literature has not
adequately addressed the issue of low-resolution class-activation maps (cams),
especially for medical images. some existing methods, such as dilated residual
networks [24] and u-net segmentation architecture [3,7,17], have attempted to
tackle this issue, but still require many upsampling operations, which the
results become blurry. meanwhile, layercam [9] has proposed a hierarchical
solution that extracts activation maps from multiple convolution layers using
grad-cam [16] and aggregates them with equal weights. although this approach
successfully enhances the resolution of the segmentation mask, it lacks
flexibility and may not be optimal.in this paper, we propose an attentive
multiple-exit cam (ame-cam) for brain tumor segmentation in magnetic resonance
imaging (mri). different from recent cam methods, ame-cam uses a classification
model with multipleexit training strategy applied to optimize the internal
outputs. activation maps from the outputs of internal classifiers, which have
different resolutions, are then aggregated using an attention model. the model
learns the pixel-wise weighted sum of the activation maps by a novel contrastive
learning method.our proposed method has the following contributions:-to tackle
the issues in existing cams, we propose to use multiple-exit classification
networks to accurately capture all the internal activation maps of different
resolutions. -we propose an attentive feature aggregation to learn the
pixel-wise weighted sum of the internal activation maps. -we demonstrate the
superiority of ame-cam over state-of-the-art cam methods in extracting
segmentation results from classification networks on the 2021 brain tumor
segmentation challenge (brats 2021) [1,2,14]. -for reproducibility, we have
released our code at https://github.com/windstormer/ame-cam overall, our
proposed method can help overcome the challenges of expensive and time-consuming
segmentation labeling in medical imaging, and has the potential to improve the
accuracy of disease diagnosis and assessment.",1
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,3.1,Dataset,"we evaluate our method on the brain tumor segmentation challenge (brats) dataset
[1,2,14], which contains 2,000 cases, each of which includes four 3d volumes
from four different mri modalities: t1, post-contrast enhanced t1 (t1-ce), t2,
and t2 fluid attenuated inversion recovery (t2-flair), as well as a
corresponding segmentation ground-truth mask. the official data split divides
these cases by the ratio of 8:1:1 for training, validation, and testing (5,802
positive and 1,073 negative images). in order to evaluate the performance, we
use the validation set as our test set and report statistics on it. we
preprocess the data by slicing each volume along the z-axis to form a total of
193,905 2d images, following the approach of kang et al. [10] and dey and hong
[6]. we use the ground-truth segmentation masks only in the final evaluation,
not in the training process.",1
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,4.1,Quantitative and Qualitative Comparison with State-of-the-Art,"in this section, we compare the segmentation performance of the proposed ame-cam
with five state-of-the-art weakly-supervised segmentation methods, namely
grad-cam [16], scorecam [19], lfi-cam [13], layercam [9], and swin-mil [15]. we
also compare with an unsupervised approach c&f [5], the supervised version of
c&f, and the supervised optimized u-net [8] to show the comparison with
non-cam-based methods. we acknowledge that the results from fully supervised and
unsupervised methods are not directly comparable to the weakly supervised cam
methods. nonetheless, these methods serve as interesting references for the
potential performance ceiling and floor of all the cam methods. quantitatively,
grad-cam and scorecam result in low dice scores, demonstrating that they have
difficulty extracting the activation of medical images. lfi-cam and layercam
improve the dice score in all modalities, except lfi-cam in t1-ce and t2-flair.
finally, the proposed ame-cam achieves optimal performance in all modalities of
the brats dataset.compared to the unsupervised baseline (ul), c&f is unable to
separate the tumor and the surrounding tissue due to low contrast, resulting in
low dice scores in all experiments. with pixel-wise labels, the dice of
supervised c&f improves significantly. without any pixel-wise label, the
proposed ame-cam outperforms supervised c&f in all modalities.the fully
supervised (fsl) optimized u-net achieves the highest dice score and iou score
in all experiments. however, even under different levels of supervision, there
is still a performance gap between the weakly supervised cam methods and the
fully supervised state-of-the-art. this indicates that there is still potential
room for wsss methods to improve in the future.qualitatively, fig. 2 shows the
visualization of the cam and segmentation results from all six cam-based
approaches under four different modalities from the brats dataset. grad-cam
(fig. 2(c)) results in large false activation region, where the segmentation
mask is totally meaningless. scorecam eliminates false activation corresponding
to air. lfi-cam focus on the exact tumor area only in the t1 and t2 mri (row 1
and 3). swin-mil can hardly capture the tumor region of the mri image, where the
activation is noisy. among all, only layercam and the proposed ame-cam
successfully focus on the exact tumor area, but ame-cam reduces the
under-estimation of the tumor area. this is attributed to the benefit provided
by aggregating activation maps from different resolutions.",1
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,0.0,Effect of Different Aggregation Approaches:,"in table 2, we conducted an ablation study to investigate the impact of using
different aggregation approaches after extracting activations from the
multiple-exit network. we aim to demonstrate the superiority of the proposed
attention-based aggregation approach for segmenting tumor regions in t1 mri of
the brats dataset. note that we only report the results for t1 mri in the brats
dataset. please refer to the supplementary material for the full set of
experiments.as a baseline, we first conducted the average of four activation
maps generated by the multiple-level activation extraction (avg. me). we then
applied c 2 am [22], a state-of-the-art cam-based refinement approach, to refine
the result of the baseline, which we call ""avg. me+c 2 am"". however, we observed
that c 2 am tended to segment the brain region instead of the tumor region due
to the larger contrast between the brain tissue and the air than that between
the tumor region and its surrounding tissue. any incorrect activation of c 2 am
also led to inferior results, resulting in a degradation of the average dice
score from 0.617 to 0.484. in contrast, the proposed attention-based approach
provided a significant weighting solution that led to optimal performance in all
cases.table 3. ablation study for using single-exit from m1, m2, m3 or m4 of
fig. 1 and the multiple-exit using results from m2 and m3 and using all exits
(ame-cam). the experiments are done on the t1-ce mri of brats dataset. the dice
score, iou, and the hd95 are reported in the form of mean ± std.",1
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,0.0,Selected Exit,"dice effect of single-exit and multiple-exit: table 3 summarizes the performance
of using single-exit from m 1 , m 2 , m 3 , or m 4 of fig. 1 and the
multipleexit using results from m 2 and m 3 , and using all exits (ame-cam) on
t1-ce mri in the brats dataset.the comparisons show that the activation map
obtained from the shallow layer m 1 and the deepest layer m 4 result in low dice
scores, around 0.15. this is because the network is not deep enough to learn the
tumor region in the shallow layer, and the resolution of the activation map
obtained from the deepest layer is too low to contain sufficient information to
make a clear boundary for the tumor. results of the internal classifiers from
the middle of the network (m 2 and m 3 ) achieve the highest dice score and iou,
both of which are around 0.5.to evaluate whether using results from all internal
classifiers leads to the highest performance, we further apply the proposed
method to the two internal classifiers with the highest dice scores, i.e., m 2
and m 3 , called m 2 + m 3 . compared with using all internal classifiers (m 1
to m 4 ), m 2 + m 3 results in 18.6% and 22.1% lower dice and iou, respectively.
in conclusion, our ame-cam still achieves the optimal performance among all the
experiments of single-exit and multiple-exit.other ablation studies are
presented in the supplementary material due to space limitations.",1
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,5.0,Conclusion,"in this work, we propose a brain tumor segmentation method for mri images using
only class labels, based on an attentive multiple-exit class activation mapping
(ame-cam). our approach extracts activation maps from different exits of the
network to capture information from multiple resolutions. we then use an
attention model to hierarchically aggregate these activation maps, learning
pixel-wise weighted sums.experimental results on the four modalities of the 2021
brats dataset demonstrate the superiority of our approach compared with other
cam-based weakly-supervised segmentation methods. specifically, ame-cam achieves
the highest dice score for all patients in all datasets and modalities. these
results indicate the effectiveness of our proposed approach in accurately
segmenting brain tumors from mri images using only class labels.",1
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,3.1,Datasets,"three histo . it corresponds to absent fibrosis (f0), mild fibrosis (f1),
significant fibrosis (f2), severe fibrosis (f3) and cirrhosis (f4). this score
is then binarized to indicate the absence or presence of advanced fibrosis [14]:
f0/f1/f2 (n = 28) vs. f3/f4 (n = 78). d 2 histo . this is the public lihc
dataset from the cancer genome atlas [9], which presents a histological score,
the ishak score, designated as y 2 histo , that differs from the metavir score
present in d 1 histo . this score is also distributed through five labels: no
fibrosis, portal fibrosis, fibrous speta, nodular formation and incomplete
cirrhosis and established cirrhosis. similarly to the metavir score in d 1 histo
, we also binarize the ishak score, as proposed in [16,20], which results in two
cohorts of 34 healthy and 15 pathological patients.in all datasets, we select
the slices based on the liver segmentation of the patients. to gain in
precision, we keep the top 70% most central slices with respect to liver
segmentation maps obtained manually in d radio , and automatically for d 1 histo
and d 2 histo using a u-net architecture pretrained on d radio [18]. for the
latter pretraining dataset, it presents an average slice spacing of 3.23 mm with
a standard deviation of 1.29 mm. for the x and y axis, the dimension is 0.79 mm
per voxel on average, with a standard deviation of 0.10 mm.",1
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,5.0,Conclusion,"in this work, we proposed a novel kernel-based contrastive learning method that
leverages both continuous and discrete meta-data for pretraining. we tested it
on a challenging clinical application, cirrhosis prediction, using three
different datasets, including the lihc public dataset. to the best of our
knowledge, this is the first time that a pretraining strategy combining
different kinds of meta-data has been proposed for such application. our results
were compared to other stateof-the-art cl methods well-adapted for cirrhosis
prediction. the pretraining methods were also compared visually, using a 2d
projection of the representation vectors onto the first two pca modes. results
showed that our method has an organization in the representation space that is
in line with the proposed theory, which may explain its higher performances in
the experiments. as future work, it would be interesting to adapt our kernel
method to non-contrastive methods, such as simsiam [7], byol [10] or barlow
twins [25], that need smaller batch sizes and have shown greater performances in
computer vision tasks. in terms of application, our method could be easily
translated to other medical problems, such as pancreas cancer prediction using
the presence of intrapancreatic fat, diabetes mellitus or obesity as discrete
meta-labels.",1
