Paper Title,Header Number,Header Title,Text
Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,1.0,Introduction,"Convolutional neural networks (CNN) have emerged as one of the most popular methods for noise removal and restoration of LDCT images  Furthermore, the noise variance is also influenced by the differences in patient size and shape, imaging protocol, etc. "
Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,2.0,Method,"Motivation: Each convolutional layer in a neural network performs the sum of the product operation between the weight vector and input features. However, as tissue density changes in LDCT images, the noise intensity also changes, leading to a difference in the magnitude of intermediate feature values. If the variation in input noise intensity is significant, the magnitude of the output feature of the convolutional layer can also change substantially. This large variation in input feature values can make the CNN layer's response unstable, negatively impacting the denoising performance. To address this issue, we propose to modulate the weight vector values of the CNN layer based on the noise level of the input image. This approach ensures that the CNN layer's response remains consistent, even when the input noise variance changes drastically. Weight Modulation: Figure  Here, ŵl is the modulated weight value, and represents component wise multiplication. Next, the scaled weight vector is normalized by its L2 norm across channels as follows: Normalizing the modulated weights takes care of any possible instability arise due to high or too low weight value and also ensures that the modulated weight has consistent scaling across channels, which is important for preserving the spatial coherence of the denoised image "
Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,,Relationship with Recent Methods:,The proposed weight modulation technique leveraged the recent concept of style-based image synthesis proposed in StyleGAN2 
Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,,Implementation Details:,"The proposed dynamic convolutional layer is very generic and can be integrated into various backbone networks. For our denoising task, we opted for the encoder-decoder-based UNet "
Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,3.0,Experimental Setting,"We used two publicly available data sets, namely, 1. TCIA Low Dose CT Image and Projection Data, 2. 2016 NIH-AAPM-Mayo Clinic low dose CT grand challenge database to validate the proposed method. The first dataset contains LDCT data of different patients of three anatomical sites, i.e., head, chest, and abdomen, and the second dataset contains LDCT images of the abdomen with two different slice thicknesses (3 mm, 1 mm). We choose 80% data from each anatomical site for training and the remaining 20% for testing. We used the Adam optimizer with a batch size of 16. The learning rate was initially set to 1e -4 and was assigned to decrease by a factor of 2 after every 6000 iterations. "
Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,4.0,Result and Discussion,"Comparison with Baseline: This section discusses the efficacy of the proposed weight modulation technique, comparing it with a baseline UNet network (M1) and the proposed weight-modulated convolutional network (M2). The networks were trained using LDCT images from a single anatomical region and tested on images from the same region. Table  Figure  Figure "
Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,5.0,Conclusion,This study proposes a novel noise-conditioned feature modulation layer to address the limitations of convolutional denoising networks in handling variability in noise levels in low-dose computed tomography (LDCT) images. The
CDiffMR: Can We Replace the Gaussian Noise with K-Space Undersampling for Fast MRI?,1.0,Introduction,"Magnetic Resonance Imaging (MRI) is an essential non-invasive technique that enables high-resolution and reproducible assessments of structural and functional information, for clinical diagnosis and prognosis, without exposing the patient to radiation. Despite its widely use in clinical practice, MRI still suffers from the intrinsically slow data acquisition process, which leads to uncomfortable patient experience and artefacts from voluntary and involuntary physiological movements  Diffusion models  Diffusion models have been widely applied for inverse problems  Most existing diffusion models, including the original DDPM, SMLD and their variants, are strongly based on the use of Gaussian noise, which provides the 'random walk' for 'hot' diffusion. Cold Diffusion Model  In this work, a novel Cold Diffusion-based MRI Reconstruction method (CDiffMR) is proposed (see Fig.  We propose two novel k -space conditioning strategies to guide the reverse process and to reduce the required time steps. 1) Starting Point Conditioning (SPC). The k -space undersampled zero-filled images, which is usually regarded as the network input, can act as the reverse process starting point for conditioning. The number of reverse time steps therefore depends on the undersamping rate, i.e., the higher k -space undersampling rate (lower AF, easier task), the fewer reverse time steps required. 2) Data Consistency Conditioning (DCC). In every step of the reverse process, data consistency is applied to further guide the reverse process in the correct way. It is note that our CDiffMR is a one-for-all model. This means that once CDiffMR is trained, it can be reused for all the reconstruction tasks, with any reasonable undersampling rates conditioning, as long as the undersampling rate is larger than the preset degraded images x T at the end of forward process (e.g., 1% undersampling rate). Experiments were conducted on FastMRI dataset  • An innovative Cold Diffusion-based MRI Reconstruction methods is proposed. To best of our knowledge, CDiffMR is the first diffusion model-based MRI reconstruction method that exploits the k -space undersampling degradation. • Two novel k -space conditioning strategies, namely SPC and DCC, are developed to guide and accelerate the reverse process. • The pre-trained CDiffMR model can be reused for MRI reconstruction tasks with a reasonable range of undersampling rates."
CDiffMR: Can We Replace the Gaussian Noise with K-Space Undersampling for Fast MRI?,2.0,Methodology,This section details two key parts of the proposed CDiffMR: 1) the optimisation and training schemes and 2) the k -space conditioning reverse process.  min for LogSR schedule (see Fig. 
CDiffMR: Can We Replace the Gaussian Noise with K-Space Undersampling for Fast MRI?,2.1,Model Components and Training,"where M t is the undersampling mask at step t corresponding to SR t , and M 0 = I is the fully-sampling mask (identity map). F and F - The restoration operator R θ (•, t) is an improved U-Net with time embedding module, following the official implementation 1 of Denoising Diffusion Implicit Models  For the training of the restoration operator R θ (•, t), x true is the fully-sampled images randomly sampled from target distribution X . Practically, time step t is randomly chosen from (1, T ] during the training. The driven optimisation scheme reads: min"
