,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,none
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
2,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
3,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
4,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
5,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
6,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
7,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,none
8,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
9,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,none
10,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
11,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,none
12,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
13,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,none
14,SLPD: Slide-Level Prototypical Distillation for WSIs,none
15,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
16,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
17,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
18,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
19,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
20,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"through
knowledge distillation, we encour-age agreement across the predictions delivered
at different resolutions, while individual scale features are learned in
isolation to preserve the diversity in terms of information content."
21,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
22,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
23,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"domain shift is typically caused by various factors, including
differences in acquisition protocols (e.g., parameters, imaging methods,
modalities) and characteristics of data (e.g., age, gender, the severity of the
disease and so on).domain adaptation (da) has been proposed and investigated to
combat distribution shift in medical image segmentation."
24,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the infant brain
mri dataset for cross-age segmentation; 2)."
25,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the first dataset, i.e., cross-age infant segmentation [20], was used
for cross-age infant brain image segmentation, while the second dataset, i.e.,
brats2018 [21], was used for hgg to lgg domain adaptation.the first dataset is
for infant brain segmentation (white matter, gray matter and cerebrospinal
fluid)."
26,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"to build the cross-age dataset, we take advantage 10 brain mris of
6-month-old from iseg2019 [20], and also build 3-month-old and 12-month-old
in-house datasets."
27,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the quantitative comparison results of cross-age infant brain
segmentation is presented in table 1, and due to space limitations, we put the
experimental results of the brain tumor segmentation task in table 1 of
supplementary material, sec.3."
28,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,none
29,Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
30,Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
31,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
32,Geometry-Invariant Abnormality Detection,none
33,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
34,Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
