,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,none
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
2,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
3,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
4,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
5,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,"these datasets are
collected from diversified patients in multiple medical centers with various
data acquisition systems."
6,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
7,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,none
8,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
9,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"the keys of
our upete include 1) compressing the 3d pet images into a lower dimensional
space for reducing the computational cost of diffusion model, 2) adopting the
poisson noise, which is the dominant noise in pet imaging [20], to replace the
gaussian noise in the diffusion process for avoiding the introduction of details
that are not existing in pet images, and 3) designing ct-guided cross-attention
to incorporate additional ct images into the inverse process for helping the
recovery of structural details in pet.our work had three main
features/contributions: i) proposing a clinicallyapplicable unsupervised pet
enhancement framework, ii) designing three targeted strategies for improving the
diffusion model, including pet image compression, poisson diffusion, and
ct-guided cross-attention, and iii) achieving better performance than
state-of-the-art methods on the collected pet datasets."
10,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"among them, 50 chest-abdomen spet images are collected from
(total-body) uexplorer pet/ct scanner [25], and 20 paired chest-abdomen images
are collected by list mode of the scanner with 256 mbq of [ 18 f]-fdg injection."
11,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
12,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,none
13,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
14,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"ultrasound (us) data before and after the tissue deformation (which
can be caused by an external or internal force) are collected and compared to
calculate the displacement map, indicating each individual sample's relative
motion."
15,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"we use publicly available data collected from a breast phantom (model 059, cirs:
tissue simulation & phantom technology, norfolk, va) using an alpinion e-cube
r12 research us machine (bothell, wa, usa)."
16,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"this data is available online at http://code.sonography.ai
in [16].in vivo data was collected at johns hopkins hospital from patients with
liver cancer during open-surgical rf thermal ablation by a research antares
siemens system using a vf 10-5 linear array with the sampling frequency of 40
mhz and the center frequency of 6.67 mhz."
17,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"the lateral strains of ultrasound rf data collected from three different
locations of the tissue-mimicking breast phantom are depicted in fig."
18,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"furthermore, 3d imaging data can be collected from 2d arrays to have information
in out-of-plane direction to be able to formulate known operators and picture
loss for anisotropic tissues.it should be noted that after incorporating the
known operators, the inference time of the network increased from an average of
195 ms to 240 ms (having 10 iterations for algorithm 1 and 100 iterations for
algorithm 2)."
19,SLPD: Slide-Level Prototypical Distillation for WSIs,none
20,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
21,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"in each iteration, the
corresponding data folds are collected and used for training or validation,
depending on which partition forms the majority."
22,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
23,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
