,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,none
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
2,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
3,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
4,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
5,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
6,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
7,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,none
8,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
9,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"however, acquiring high-quality pet images requires
injecting a sufficient dose (standard dose) of radionuclides into the human
body, which poses unacceptable radiation hazards for pregnant women and infants
even following the as low as reasonably achievable (alara) principle [19]."
10,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"the cohort consists of 141 patients with pancreatic ductal
adenocarcinoma, of an equal ratio of male to female patients."
11,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,none
12,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
13,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,none
14,SLPD: Slide-Level Prototypical Distillation for WSIs,none
15,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
16,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
17,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
18,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
19,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
20,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,none
21,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
22,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
23,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"domain shift is typically caused by various factors, including
differences in acquisition protocols (e.g., parameters, imaging methods,
modalities) and characteristics of data (e.g., age, gender, the severity of the
disease and so on).domain adaptation (da) has been proposed and investigated to
combat distribution shift in medical image segmentation."
24,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,none
25,Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
26,Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
27,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
28,Geometry-Invariant Abnormality Detection,none
29,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
30,Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
31,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,none
32,Synthetic Augmentation with Large-Scale Unconditional Pre-training,none
33,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,none
34,Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,none
35,Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,none
36,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
37,Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,none
38,FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,none
39,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,none
