,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,none
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
2,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
3,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
4,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
5,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
6,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
7,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"such privacy breaches may detrimental to the privacy protection policies of
hospitals."
8,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"moreover, the target domain uses the same neural network as the
source domain, which is not desirable for low-resource target users like
hospitals [15]."
9,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
10,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"but these supervised methods
relied heavily on the paired lpet and spet data that are rare in actual clinic
due to radiation exposure and involuntary motions (e.g., respiratory and muscle
relaxation)."
11,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"however, these methods still require lpet to train
models, which contradicts with the fact that only spet scans are conducted in
clinic.fortunately, the recent glowing diffusion model [6] provides us with the
idea for proposing a clinically-applicable pet enhancement approach, whose
training only relies on spet data."
12,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
13,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,none
14,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
15,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"this data is available online at http://code.sonography.ai
in [16].in vivo data was collected at johns hopkins hospital from patients with
liver cancer during open-surgical rf thermal ablation by a research antares
siemens system using a vf 10-5 linear array with the sampling frequency of 40
mhz and the center frequency of 6.67 mhz."
16,SLPD: Slide-Level Prototypical Distillation for WSIs,none
17,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
18,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
19,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
20,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
21,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
22,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,none
23,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
24,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
25,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,none
26,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,"camelyon [1] is a
tumor tissue binary classification task across 5 hospitals."
27,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,"we use the training
set of camelyon as the source domain (302, 436 images from hospitals 1 -3) and
consider the validation set (34, 904 images from hospital 4) and test set (85,
054 images from the hospital 5) as the target domains 1 and 2, respectively."
28,Gall Bladder Cancer Detection from US Images with only Image Level Labels,"we hope that our technique will simplify the model training
at the hospitals with easily available data locally, enhancing the applicability
and impact of automated gbc detection."
29,Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
30,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
31,Geometry-Invariant Abnormality Detection,none
32,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
33,Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
