Paper Title,Header Number,Header Title,Text
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,1,Introduction,"Mitochondria are membrane-bound organelles that generate the primary energy required to power the cell activities, thereby crucial for metabolism. Mitochondrial dysfunction, which occurs when mitochondria are not functioning properly has been witnessed as a major factor in numerous diseases, including noncommunicable chronic diseases (e.g, cardiovascular and cancer), metabolic (e.g, obesity) and neurodegenerative (e.g, Alzheimer and Parkinson) disorders  Earlier works on mitochondria segmentation employ standard image processing and machine learning methods  When designing a attention-based framework for 3D mitochondria instance segmentation, a straightforward way is to compute joint spatio-temporal selfattention where all pairwise interactions are modelled between all spatiotemporal tokens. However, such a joint spatio-temporal attention computation is computation and memory intensive as the number of tokens increases linearly with the number of input slices in the volume. In this work, we look into an alternative way to compute spatio-temporal attention that captures long-range global contextual relationships without significantly increasing the computational complexity. Our contributions are as follows: -We propose a hybrid CNN-transformers based encoder-decoder framework, named STT-UNET. The focus of our design is the introduction of a split spatio-temporal attention (SST) module that captures long-range dependencies within the cubic volume of human and rat mitochondria samples. The SST module independently computes spatial and temporal self-attentions in parallel, which are then later fused through a deformable convolution. -To accurately delineate the region of mitochondria instances from the cluttered background, we further introduce a semantic foreground-background (FG-BG) adversarial loss during the training that aids in learning improved instance-level features. -We conduct experiments on three commonly used benchmarks: Lucchi  MitoEM-R  Our STT-UNET approach achieves superior segmentation performance by accurately segmenting 16% more cell instances in these examples, compared to Res-UNET-R. segmentation performance on all three datasets. On Lucchi test set, our STT-UNET outperforms the recent  Figure "
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,2,Related Work,"Most recent approaches for 3D mitochondria instance segmentation utilize convolution based designs within the ""U-shaped"" 3D encoder-decoder architecture. In such an architecture, the encoder aims to generate a low-dimensional representation of the 3D data by gradually performing the downsampling of the extracted features. On the other hand, the decoder performs upsampling of these extracted feature representations to the input resolution for segmentation prediction. Although such a CNN-based designs  Inspired by ViTs  3 Method"
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,3.1,Baseline Framework,"We base our approach on the recent Res-UNET  having skip connections between first and third layers. The decoder outputs semantic mask and instance boundary, which are then post-processed using connected component labelling to generate final instance masks. We refer to  Limitations: As discussed above, the recent Res-UNET approach utilizes 3D convolutions to handle the volumetric input data. However, 3D convolutions are designed to encode short-range spatio-temporal feature information and struggle to model global contextual dependencies that extend beyond the designated receptive field. In contrast, the self-attention mechanism within the vision transformers possesses the capabilities to effectively encode both local and global long-range dependencies by directly performing a comparison of feature activations at all the space-time locations. In this way, self-attention mechanism goes much beyond the receptive field of the conventional convolutional filters. While self-attention has been shown to be beneficial when combined with convolutional layers for different medical imaging tasks, to the best of our knowledge, no previous attempt to design spatio-temporal self-attention as an exclusive building block for the problem of 3D mitochondria instance segmentation exists in literature. Next, we present our approach that effectively utilizes an efficient spatiotemporal attention mechanism for 3D mitochondria instance segmentation.  with split spatio-temporal attention and an instance segmentation block. The denoising module alleviates the segmentation faults caused by anomalies in the EM images, as in the baseline. The denoising is performed by convolving the current frame with two adjacent frames using predicted kernels, thereby generating the resultant frame by adding the convolution outputs. The resulting denoised output is then processed by our transformer based encoder-decoder with split spatio-temporal attention to generate the semantic masks. Consequently, these semantic masks are post-processed by an instance segmentation module using a connected component labelling scheme, thereby generating the final instancelevel segmentation output prediction. To further enhance the semantic segmentation quality with cluttered background we introduced semantic adversarial loss which leads to improved semantic segmentation in noisy background. Split Spatio-Temporal Attention based Encoder-Decoder: Our STT-UNET framework comprises four encoder and three decoder layers. Within each layer, we introduce a split spatio-temporal attention-based (SST) module, Fig.  where, X s is spatial attention map, X t is temporal attention map and d k is dimension of Q s and K s . To fuse spatial and temporal attention maps, X s and X t , we employ deformable convolution. The deformable convolution generates offsets according to temporal attention map X t and by using these offsets the spatial attention map X s is aligned. The deformable fusion is given as, where, C is no of channels, X is spatially aligned attention map with respect to X t . W is the weight matrix of kernels, X s is spatial attention map, k 0 is starting position of kernel, k n is enumerating along all the positions in kernel size of R and ΔK n is the offset sampled from temporal attention map X t . We empirically observe that fusing spatial and temporal features through a deformable convolution, instead of concatenation through a conv. layer or addition, leads to better performance. The resulting spatio-temporal features of decoder are then input to instance segmentation block to generate final instance masks, as in baseline. Semantic FG-BG Adversarial Loss: As discussed earlier, a common challenge in mitochondria instance segmentation is to accurately delineate the region of mitochondria instances from the cluttered background. To address this, we introduce a semantic foreground-background (FG-BG) adversarial loss during the training to enhance the FG-BG separability. Here, we introduce the auxiliary discriminator network D with two layers of 3D convolutions with stride 2 during the training as shown in Fig.  Consequently, the overall loss for training is: Where, L BCE is BCE loss, λ = 0.5 and L fg-bg is semantic adversarial loss. "
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,4,Experiments,Dataset: We evaluate our approach on three datasets: MitoEM-R  Implementation Details: We implement our approach using Pytorch1.9 
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,4.1,Results,State-of-the-Art Comparison: Table  Our approach achieves promising segmentation results despite the noise in the input samples.    Ablation Study: Table 
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,5,Conclusion,"We propose a hybrid CNN-transformers based encoder-decoder approach for 3D mitochorndia instance segmentation. We introduce a split spatio-temporal attention (SST) module to capture long-range dependencies within the cubic volume of human and rat mitochondria samples. The SST module computes spatial and temporal attention in parallel, which are later fused. Further, we introduce a semantic adversarial loss for better delineation of mitochondria instances from background. Experiments on three datasets demonstrate the effectiveness of our approach, leading to state-of-the-art segmentation performance."
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,,3. 2,
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,,Fig. 2 .,
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,,Fig. 3 .,
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,,,
