,Title,Authors,Page numbers,DOI,Year of publication,Part of publication
0,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"Caiwen Jiang, Yongsheng Pan, Mianxin Liu, Lei Ma, Xiao Zhang, Jiameng Liu et al.",3-12,10.1007/978-3-031-43907-0_1,2023,01
1,MedIM: Boost Medical Image Representation via Radiology Report-Guided Masking,"Yutong Xie, Lin Gu, Tatsuya Harada, Jianpeng Zhang, Yong Xia, Qi Wu",13-23,10.1007/978-3-031-43907-0_2,2023,01
2,UOD: Universal One-Shot Detection of Anatomical Landmarks,"Heqin Zhu, Quan Quan, Qingsong Yao, Zaiyi Liu, S. Kevin Zhou",24-34,10.1007/978-3-031-43907-0_3,2023,01
3,S2^2ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,"An Wang, Mengya Xu, Yang Zhang, Mobarakol Islam, Hongliang Ren",35-45,10.1007/978-3-031-43907-0_4,2023,01
4,Modularity-Constrained Dynamic Representation Learning for Interpretable Brain Disorder Analysis with Functional MRI,"Qianqian Wang, Mengqi Wu, Yuqi Fang, Wei Wang, Lishan Qiao, Mingxia Liu",46-56,10.1007/978-3-031-43907-0_5,2023,01
5,Anatomy-Driven Pathology Detection on Chest X-rays,"Philip Müller, Felix Meissen, Johannes Brandt, Georgios Kaissis, Daniel Rueckert",57-66,10.1007/978-3-031-43907-0_6,2023,01
6,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,"Paula Feldman, Miguel Fainstein, Viviana Siless, Claudio Delrieux, Emmanuel Iarussi",67-76,10.1007/978-3-031-43907-0_7,2023,01
7,Dense Transformer based Enhanced Coding Network for Unsupervised Metal Artifact Reduction,"Wangduo Xie, Matthew B. Blaschko",77-86,10.1007/978-3-031-43907-0_8,2023,01
8,Multi-scale Cross-restoration Framework for Electrocardiogram Anomaly Detection,"Aofan Jiang, Chaoqin Huang, Qing Cao, Shuang Wu, Zi Zeng, Kang Chen et al.",87-97,10.1007/978-3-031-43907-0_9,2023,01
9,Correlation-Aware Mutual Learning for Semi-supervised Medical Image Segmentation,"Shengbo Gao, Ziji Zhang, Jiechao Ma, Zihao Li, Shu Zhang",98-108,10.1007/978-3-031-43907-0_10,2023,01
10,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,"Shaoteng Zhang, Jianpeng Zhang, Yutong Xie, Yong Xia",109-118,10.1007/978-3-031-43907-0_11,2023,01
11,Additional Positive Enables Better Representation Learning for Medical Images,"Dewen Zeng, Yawen Wu, Xinrong Hu, Xiaowei Xu, Jingtong Hu, Yiyu Shi",119-129,10.1007/978-3-031-43907-0_12,2023,01
12,Multi-modal Semi-supervised Evidential Recycle Framework for Alzheimers Disease Classification,"Yingjie Feng, Wei Chen, Xianfeng Gu, Xiaoyin Xu, Min Zhang",130-140,10.1007/978-3-031-43907-0_13,2023,01
13,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"Alina F. Dima, Veronika A. Zimmer, Martin J. Menten, Hongwei Bran Li, Markus Graf, Tristan Lemke et al.",141-151,10.1007/978-3-031-43907-0_14,2023,01
14,Automatic Retrieval of Corresponding US Views in Longitudinal Examinations,"Hamideh Kerdegari, Nhat Phung Tran Huy, Van Hao Nguyen, Thi Phuong Thao Truong, Ngoc Minh Thu Le, Thanh Phuong Le et al.",152-161,10.1007/978-3-031-43907-0_15,2023,01
15,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"Matthew Baugh, Jeremy Tan, Johanna P. Müller, Mischa Dombrowski, James Batten, Bernhard Kainz",162-172,10.1007/978-3-031-43907-0_16,2023,01
