,title,dataset info,no. datasets,public  dataset(s),private data(s),bias,algorithm bias,data bias,sub type of data bias,technical bias,organ_category,image_category,demographics_usage
0,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"following irb approval for this study, we search for patients with metastatic breast cancer who had a breast cancer mri performed between 2010 and 2020 and had morphologically positive bp on the mri report from our electronic medical records (emr) in * hospital.

this paper constructed a bp dataset with the most commonly used bp mris in our clinical practice.
the bp dataset containing mr images and their corresponding roi masks. the final dataset for radiomic analysis was constructed by merging the datasets for each sequence type. only patients that had all three sequences segmented (t2, t1 and post-gadolinium) were included in the dataset. table 1 shows a breakdown of the final dataset.",1,0,0,0,0,0,0,0,Skin and Breast,"Radiology, Imaging Processing and Analysis",Limited Use of Demographic Data
1,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"we release the first denovo mif/mihc stained dataset with tumor and immune markers for more accurate characterization of tumor immune microenvironment. the complete staining protocols for this dataset are given in the accompanying supplementary material.
we randomly extracted tiles from the lyon19 challenge dataset. using these images, we created a dataset of synthetically generated ihc images from the hematoxylin and its marker image. 

we evaluated the effectiveness of our synthetically generated dataset (stylized ihc images and corresponding segmented/classified masks) using our generated dataset with the nuclick training dataset (containing manually segmented cd3/cd8 cells). we randomly selected 840 and 230 patches of size 256 × 256 from the created dataset for training and validation, respectively.', '[6] comprise 671 and 200 patches, respectively, of size 256 × 256 extracted from lyon19 dataset', 'only the total number of lymphocytes in each image patch are reported in this dataset. we have released the first ai-ready restained and co-registered mif and mihc dataset for head-and-neck squamous cell carcinoma patients. this dataset can be used for virtual phenotyping given standard clinical hematoxylin images, virtual clinical ihc dab generation with ground truth segmentations (to train highquality segmentation models across multiple cancer types) created from cleaner mif images, as well as for generating standardized clean mif images from neighboring h&e and ihc sections for registration and 3d reconstruction of tissue specimens.",0,0,0,0,0,0,0,0,No Organ Mentioned,Miscellaneous,No Demographic Data
2,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,"image dataset.', 'we construct a clinical thyroid cytopathology dataset with images of both image-wise and pixel-wise labels as a benchmark (appear in github upon acceptance)', '2, together with the profile of the dataset.', 'the dataset comprises 4,965 h&e stained image patches and labels of tbsrtc, where a subset of 1,473 images was densely annotated for nuclei boundaries by three experienced cytopathologists and reached a total number of 31,064 elaborately annotated nuclei.', 'we divided the dataset with image-wise labels into 80% training samples and the remaining 20% testing samples.",0,0,0,1,0,0,0,1,No Organ Mentioned,Miscellaneous,No Demographic Data
3,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"the method is implemented as the tool attractive in mitk diffusion1 , enabling researchers to quickly and intuitively segment tracts in pathological datasets or other situations not covered by automatic techniques, simply by annotating a few but informative streamlines.', 'the proposed technique was tested on a healthy-subject dataset and on a dataset containing tumor cases.', 'the proposed technique was tested on a healthy-subject dataset and on a dataset containing tumor cases.', 'we focused on the left optic radiation (or), the left cortico-spinal tract (cst), and the left arcuate-fasciculus (af), representing a variety of established tracts.to test the proposed method on pathological data, we used an in-house dataset containing ten presurgical scans of patients with brain tumors",0,0,0,0,0,0,0,0,No Organ Mentioned,Miscellaneous,No Demographic Data
4,Automatic Bleeding Risk Rating System of Gastric Varices,"this may cause inconsistency or even misdiagnosis due to the variant experience of endoscopists in different hospitals.', 'all of these cases are collected from 411 patients in a grade-iii class-a hospital during the period from 2017 to 2022.

we collect a gv bleeding risks rating dataset (gvbleed) that contains 1678 gastroscopy images from 411 patients with different levels of gv bleeding risks. 

three senior clinical endoscopists are invited to grade the bleeding risk of the retrospective data in three levels and annotated the corresponding segmentation masks of gv areas. 

baseline methods have been evaluated on the newly collected gvbleed dataset. 

the gvbleed dataset contains 1678 endoscopic images with gastric varices from 527 cases. 

to ensure the quality of our dataset, senior endoscopists are invited to remove duplicates, blurs, active bleeding, chromoendoscopy, and nbi pictures. please refer to the supplementary material for more detailed information about our dataset.

'to ensure the accuracy of our annotation, three senior endoscopists with more than 10 years of clinical experience are invited to jointly label each sample in our dataset.', 'the gvbleed dataset is partitioned into training and testing sets for evaluation, where the training set contains 1337 images and the testing set has 341 images.', 'the dataset is planned to be released in the future.",1,1,0,0,0,0,0,0,Abdominal,Endoscopy,Limited Use of Demographic Data
5,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"Two publicly available colorectal cancer datasets [9] were employed to evaluate the effectiveness of the proposed CaFeNetThe first dataset includes 1600 BN, 2322 WD, 4105 MD, and 1830 PD image patches that were collectedbetween 2006 and 2008 using an Aperio digital slide scanner (Leica Biosystems) at 40x magnification.The second dataset, designated as CTestII, contains 27986 BN, 8394 WD, 61985 MD, and 11985 PD image patches of size 1144 × 1144 pixels. These were cquired between 2016 and 2017 using aNanoZoomer digital slide scanner (Hamamatsu Photonics K.K).",2,1,0,0,0,0,0,0,Pelvic,Pathology,Limited Use of Demographic Data
6,Certification of Deep Learning Models for Medical Image Segmentation,"extensive experiments on fivepublic medical datasets of chest x-rays [21,31], skin lesions [10], and colonoscopies [6],",5,1,0,0,0,0,0,0,"Skin and Breast, Thoracic/Chest, Abdominal",Radiology,No Demographic Data
7,Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,"in this work, we evaluate an attention-based mil model on unseen data from a new hospital and propose a way to quantify the domain shift severity. we split the data from the new hospital into several subsets to investigate clinically realistic scenarios triggering different levels of domain shift.

68 wsis with lobular carcinoma (28 wsis with metastases): potentially large shift as it is a rare type of carcinoma and relatively difficult to diagnose.the datasets of lobular and ductal carcinomas each contain 50 % of wsis from sentinel and axillary lymph node procedures

all datasets are publicly available to be used in legal and ethical medical diagnostics research",2,1,0,0,0,0,0,0,Uncategorized,Whole Slide Imaging,Limited Use of Demographic Data
8,Detection of Basal Cell Carcinoma in Whole Slide Images,"the dataset, comprised of 194 skin slides acquired from the southern sun pathology laboratory, includes 148 bcc cases and 46 other types (common nevus, scc), all manually annotated by a dermatopathologist.",1,0,0,1,0,0,0,0,Skin and Breast,Whole Slide Imaging,Limited Use of Demographic Data
9,Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,"we use QUBIQ 2020, which contains 7 segmentation tasks in 4 different CT and MR datasets: Prostate (55 cases, 2 tasks, 6 raters), Brain Growth (39 cases, 1 task, 7 raters), Brain Tumor (32 cases, 3 tasks, 3 raters), and Kidney (24 cases, 1 task, 3 raters). For each dataset, we calculate the average Dice score between each rater and the majority votes in Table 1. In some datasets, such as Brain Tumor T2, the inter-rater disagreement can be quite substantial.

LiTS contains 201 high-quality CT scans of liver tumors. Out of these, 131 cases are designated for training and 70 for testing. As the ground-truth labels for the test set are not publicly accessible, we only use the training set

KiTS includes 210 annotated CT scans of kidney tumors from different patients.",3,0,0,1,0,0,0,0,"Abdominal, Male Reproductive System, Urinary System, Cranial/Head and Neck",Radiology,No Demographic Data
