title,paper name,vol,Does the article contain any of these keywords: cancer/tumor/tumour?,notes,Study subject labelled as ‘patient/patients’ in dataset(s),age,sex/gender,ethnicity,geographical location ,dataset quantity,quantity of public datasets,quantity of private datasets,image type in datasets,organ/body part in datasets,sex-specific cancer/organ,location ,location as a healthcare facility,name of healthcare facility,location as other (center/department/laboratory/university/institution/online),name of location as other (center/department/laboratory/university/institution/online),location as large-scale geographical entity,name of location as large-scale geographical entity,location as subnational geographical entity,name of  location as subnational geographical entity,Information found outside article (such as sup material and/or by references,links/sup material 
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,14,1,1,"""We use an in-house dataset""

The clinical and imaging data were collected according to the principles set in Declaration of Helsinki and Good Clinical Practice. Written conformed consent was waived and the study approved by the institutional ethics review board of the Technical University of Munich, Faculty of Medicine ",1,0,1,0,1,1,0,0,contrast-enhanced abdominal computed tomography images (cts),abdomen ,0,1,1,0,0,0,0.0,0,0.0,0,1.0,https://link.springer.com/chapter/10.1007/978-3-030-87589-3_61#Sec2
A Multi-task Network for Anatomy Identification in Endoscopic Pituitary Surgery,45,9,1,Participant demographics collected included training grade and country of practice. The collected data regarding the surgical workflow were quantitative (whether participants agree it is complete and accurate) and qualitative (additional suggestions or comments). Summary statistics (e.g. frequencies) were generated for participants demographics.,1,0,0,0,1,1,0,0,endoscope,pituitary gland,0,1,1,national hospital of neurology and neurosugery,0,0,1.0,united kingdom,1.0,london,1.0,https://link.springer.com/article/10.1007/s11102-021-01162-3#Sec2
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,46,8,1,0,1,1,1,0,1,1,0,0,mri,breast,0,1,1,anonymous,0,0,0.0,0,0.0,0,0.0,0
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,74,3,1,0,1,0,1,0,0,3,1,0,PCa,prostate,1,0,0,0,0,0,0.0,0,0.0,0,1.0,"public dataset:
https://www.kaggle.com/c/prostate-cancer-grade-assessment/data"
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,17,1,1,"mention patient in conclusion:
""Experimental results on the four modalities of the 2021 BraTS dataset
demonstrate the superiority of our approach compared with other CAM-based
weakly-supervised segmentation methods. Specifically, AME-CAM achieves the
highest dice score for all patients in all datasets and modalities. These results
indicate the effectiveness of our proposed approach in accurately segmenting
brain tumors from MRI images using only class labels""

The BraTS dataset describes a collection of brain tumor MRI scans acquired from multiple different
centers under standard clinical conditions, but with different equipment and imaging protocols,
resulting in a vastly heterogeneous image quality reflecting diverse clinical practice across different
institutions. However, we designed the following tumor annotation protocol, in order to make it
possible to create similar ground truth delineations across various annotators.",1,0,0,0,1,1,1,0,mri,brain,0,1,1,0,0,0,0.0,0,0.0,0,1.0,https://arxiv.org/pdf/1811.02629.pdf
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,68,6,1,"For the purpose of training and testing all the models, we extract four images of size 256 × 256 from each tile due to the size of the external IHC images, resulting in a total of 1072 images. We randomly extracted tiles from the LYON19 challenge dataset [14] to use as style IHC images. Using these images, we created a dataset of synthetically generated IHC images from
the hematoxylin and its marker image as shown in Fig. 3.",1,1,1,1,1,1,1,0,"ihc, if, multiplex staining",head and neck,0,1,0,0,1,moffitt cancer center,0.0,0,0.0,0,0.0,0
An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,56,6,1,,1,0,0,0,0,1,0,0,h&e,thyroid,0,0,0,0,0,0,0.0,0,0.0,0,0.0,
Anatomy-Driven Pathology Detection on Chest X-rays,6,1,1,"Training Dataset.
 We train on the Chest ImaGenome dataset [4,21,22] consisting of roughly 240 000 frontal chest X-ray images with corresponding scenegraphs automatically constructed from free-text radiology reports. It is derived from the MIMIC-CXR dataset [9,10], which is based on imaging studies from 65 079 patients performed at Beth Israel Deaconess Medical Center in Boston,
US.

Evaluation Dataset and Class Mapping. 
We evaluate our method on the subset of 882 chest X-ray images with pathology bounding boxes, annotated by radiologists, from the NIH ChestXray-8 (CXR8) dataset [20]3 from the National Insti tutes of Health Clinical Center in the US.",1,0,0,0,1,3,3,0,x-ray,chest,0,1,1,"national institutes of health clinical center, beth israel deaconess medical center",1,"national institutes of health clinical center, beth israel deaconess medical center",1.0,us,1.0,boston,1.0,"https://physionet.org/content/chest-imagenome/1.0.0

https://physionet.org/content/mimic-cxr-jpg/2.0.0/

https://www.kaggle.com/datasets/nih-chest-xrays/data"
Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,50,7,1,"774 consecutive bi-parametric prostate MRI examinations are included in this
study, which were acquired in-house during the clinical routine.

All experiments were performed in accordance with the declaration of Helsinki

",1,0,0,0,1,1,0,0,mri,prostate,1,1,1,medical faculty heideberg,0,0,1.0,helskini,1.0,heidelberg,0.0,0
atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,23,8,1,"The proposed technique was tested on a healthy-subject dataset and on a dataset containing tumor cases. The first comprises 21 subjects of the human connectome project (HCP) that were used for testing the automated methods TractSeg and Classifyber [3,18].

To test the proposed method on pathological data, we used an in-house
dataset containing ten presurgical scans of patients with brain tumors. ",1,0,0,0,0,2,1,1,tractography,brain,0,1,1,0,0,0,0.0,0,0.0,0,1.0,https://pdf.sciencedirectassets.com/272508/1-s2.0-S1053811913X00151/1-s2.0-S105381191300551X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjENn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIFyE0kxcJCYtCVec8GIZWCo%2FqswIZKasNPPjr85bjuJZAiArUMkvOXIaakMw0%2BeL9T3uGxYejpDoZ6h%2Bzoi1xSHfpiqzBQgSEAUaDDA1OTAwMzU0Njg2NSIMBscULTCwofTIB86zKpAFwEBhFNczb8dLeGrpdhqjphPiiKWnjJWOzjFo4JqSWb4%2FOngvVUaTIOgf%2F52xr%2F83tvEbLAdkfDbbI0fQMQXFDNWjbqMtENQsx8A96dGEvxnaFeO24T%2Fxm58fkUohyQ%2FbCxipeatF53ot3j9LRFQmpETWw64njUMRz32WaKW%2FnJ%2FHSoWhEEofMrLxTZIb2x6RroS%2Br%2FUETEDQiJz9Me1sjd1W9TKJINU46xKTbBZE69jZFHGsgQf%2FN%2B9YPYBlfjctKwr6nunXJeK77icrwTzU2jAhWuNbWE3V62ePEDTXFspNT8EiAokf7p4Bw3Ty8wcv8bjYomO5kqMKcNqzEZMyiSrjiHY55ro85irJeWY45SM62WjrKE4wyInm8P2qQZNDHPJ6mTbIoQjMgArEcCBAFLtiPAbjaRyyvfOIbgnP2xg2JCZKh7XP3ctPc7wNDmnkf%2FvStkogkwYO%2FGyUaxK0YRoFCPJmGhZUmtUMDjLGDTxtFOXJjB814MRINxWBd1WKP81sLDHf2o8Uu4jrYCua92s5tl6PrGY%2FfvzUgF%2Bj8Ef3uHqdKj5YjtYJCmYfx3bZN1%2F7%2Bvfeqp28zVfYv8VmfJ7zKdevIssqsEfDzzYdh8I46hRqLvJUjNOyGmgW%2FKOlArqAkS7NN%2Bt17vNI3HUPNeY%2FCZbNnqq6t1xwWsNHeC1HdCY%2BhoJo9Qi8IQC0Wu%2FKDcJucgjgMTcgI91w49kAyMEganjm0t1EyLvQbNZ0BMKka3mVg2T6yNV60Bp8UJPP0zTIhLaAPMMv4Rw8b2iMlo%2BvI7J8hcNpYxVBQsmMAdK37Go%2BoozF2VkYYymjrN3cVb%2FkZkdQkh9DGPAc0fCdrqP6XSGxlDfN1qElIzFFX54w1%2FzTsAY6sgGyCsphQxVkTUFDnX2sUZd4XothWgMtzxvChmdsHOGswGbvtgxPhzXLAXDFa9PbUzprys8LZy%2B2etbGCZOSF4KaHxBcvOtUGTNXy4%2FX8n9r0mg%2BidusFqo0G7G2EiyWZsVqEBXFMsEjWnrZkzqyV6axcHB50xvDMb6f85wINFNlO69L77jaS1bOax2WdBlxso9EZ4t1fA0N5BngtDpf9Cx8RskafomHPMy3zJfdDMlJro2m&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240409T100743Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY6XY2OAIV%2F20240409%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=766015d0b8659e71d80a4c9a06d40a560c1c3b6d0856d6031f925ea9a39eabb3&hash=866c7070a37f124da0eb26592f5a19cce8ed2c119cae96ca752f40cb403042ef&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S105381191300551X&tid=spdf-279f0031-3a6e-4e05-b067-7e3cf1f45660&sid=069c60407f4132401a1b3459c59a3a378755gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=020d585650580d5f5505&rr=8719b11a0c1d92e8&cc=dk
