,title,header_no,header_title,text,volume
5,Anatomy-Driven Pathology Detection on Chest X-rays,3.4,Dataset,"training dataset. we train on the chest imagenome dataset [4,21,22]1 ,
consisting of roughly 240 000 frontal chest x-ray images with corresponding
scene graphs automatically constructed from free-text radiology reports. it is
derived from the mimic-cxr dataset [9,10], which is based on imaging studies
from 65 079 patients performed at beth israel deaconess medical center in
boston, us. amongst other information, each scene graph contains bounding boxes
for 29 unique anatomical regions with annotated attributes, where we consider
positive anatomical finding and disease attributes as positive labels for
pathologies, leading to binary anatomy-level annotations for 55 unique
pathologies. we consider the image-level label for a pathology to be positive if
any region is positively labeled with that pathology.we use the provided
jpg-images [11] 2 and follow the official mimic-cxr training split but only keep
samples containing a scene graph with at least five valid region bounding boxes,
resulting in a total of 234 307 training samples.during training, we use random
resized cropping with size 224 × 224, apply contrast and brightness jittering,
random affine augmentations, and gaussian blurring.evaluation dataset and class
mapping. we evaluate our method on the subset of 882 chest x-ray images with
pathology bounding boxes, annotated by radiologists, from the nih chestxray-8
(cxr8) dataset [20] 3 from the national institutes of health clinical center in
the us. we use 50% for validation and keep the other 50% as a held-out test set.
note that for evaluation only pathology bounding boxes are required (to compute
the metrics), while during training only anatomical region bounding boxes
(without considering pathologies) are required. all images are center-cropped
and resized to 224 × 224.the dataset contains bounding boxes for 8 unique
pathologies. while partly overlapping with the training classes, a one-to-one
correspondence is not possible for all classes. for some evaluation classes, we
therefore use a many-to-one mapping where the class probability is computed as
the mean over several training classes. we refer to the supp. material for a
detailed study on class mappings.",1
18,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,2.4,Dataset,"the dataset is composed of 23 oncological patients with different tumor types.
dpet data was acquired on a biograph vision quadra for 65 min, over 62 frames.
the exposure duration of the frames were 2 × 10 s, 30 × 2 s, 4 × 10 s, 8 × 30 s,
4 × 60 s, 5 × 120 s and 9 × 300 s. the pet volumes were reconstructed with an
isotropic voxel size of 1.6 mm. the dataset included the label maps of 7 organs
(bones, lungs, heart, liver, kidneys, spleen, aorta) and one image-derived input
function a(t) [bq/ml] from the descending aorta per patient. further details on
the dataset are presented elsewhere [16].the pet frames and the label map were
resampled to an isotropic voxel size of 2.5 mm. then, the dataset was split
patient-wise into training, validation, and test set, with 10, 4, and 9 patients
respectively. details on the dataset split are available in the supplementary
material (table 1). the training set consisted of 750 slices and the validation
consisted of 300. in both cases, 75 axial slices per patient were extracted in a
pre-defined patient-specific range from the lungs to the bladder (included) and
were cropped to size 112 × 112 pixels.",1
20,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,0,(Color figure online),"the most important design choice is the selection of the final activation
function. indeed, the multi-clamp final activation function was proven to be the
best both in terms of cs (exp 4.1: cs = 0.78 ± 0.05) and mae (exp 4.2: mae =
3.27 ± 2.01). compared to the other final activation functions, when the
multi-clamp is used the impact of the max-pooling design is negligible also in
terms of mae. for the rest of the experiments, the selected configuration is the
one from exp. 4.1 (see table 1).figure 2 shows the kps for four selected organs
as computed with the proposed dnn (kp dnn ), as computed with curve fit using
only the 9 patients of the test set (kp cf ) and using all 23 patients (kp ref
cf ) [16]. the voxel-wise kps predicted by the dnn were averaged over the
available organ masks.in terms of run-time, the dnn needed ≈ 1 min to predict
the kps of the a whole-body scan (≈ 400 slices), whereas curve fit took 8.7 min
for a single slice: the time reduction of the dnn is expected to be ≈ 3.500
times.",1
21,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,4.0,Discussion,"even though the choice of the final activation function has a greater impact,
the selection of the kernel design is important. using spatial and temporal
convo- lution results in an increase in the performance (+0.01 in cs) and
reduces the number of trainable parameters (from 2.1 m to 8.6 k), as pointed out
by [10]. therefore, the convergence is reached faster. moreover, the use of two
separate kernels in time and space is especially meaningful. pixel counts for a
given exposure are affected by the neighboring count measurements due to the
limited resolution of the pet scanner [20]. the temporally previous or following
counts are independent. in general, there is good agreement between kp dnn , kp
cf and kp ref cf . the dnn prediction of k 1 and k 2 in the spleen and k 3 in
the lungs is outside the confidence interval of the results published by sari et
al. [16].an analysis per slice of the metrics shows that the cs between tac i
and tac i changes substantially depending on the region: cs max = 0.87 within
the liver boundaries and cs min = 0.71 in the region corresponding to the heart
and lungs (see fig. 3a). this can be explained by the fact that v b is
underestimated for the heart and aorta. the proposed network predicts v heart b
= 0.376 ± 0.133 and v aorta b = 0.622 ± 0.238 while values of nearly 1 are to be
expected. this is likely due to breathing and heartbeat motion artifacts, which
cannot be modeled properly with a 2tc km that assumes no motion between
frames.figure 3b-e shows the central coronal slice of the four kpis in an
exemplary patient. as expected, k 1 is high in the heart, liver, and kidney.
similarly, the blood fraction volume v b is higher in the heart, blood vessels,
and lungs.the kp dnn are more homogeneous than kp cf , as can be seen in the
exemplary k 1 axial slice shown in fig. 4. a quantitative evaluation of the
smoothness of the images is reported in the supplementary material (fig. 1).
moreover, the distribution in the liver is more realistic in kp dnn , where the
gallbladder can be seen as an ellipsoid between the right and left liver lobes.
high k 1 regions are mainly within the liver, spleen, and kidney for kp dnn ,
while they also appear in unexpected areas in the kp cf (e.g., next to the spine
or in the region of the stomach).the major limitation of this work is the lack
of ground truth and a canonical method to evaluate quantitatively its
performance. this limitation is inherent to pbpk modeling and results in the
need for qualitative analyses based on expected physiological processes. a
possible way to leverage this would be to work on simulated data, yet the
validity of such evaluations strongly depends on how realistic the underlying
simulation models are. as seen in fig. 3a, motion (gross, respiratory, or
cardiac) has a major impact on the estimation quality. registering different
dpet frames has been shown to improve conventional pbpk models [8] and would
possibly have a positive impact on our approach.",1
32,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,5.0,Conclusion,"in this work, we propose a brain tumor segmentation method for mri images using
only class labels, based on an attentive multiple-exit class activation mapping
(ame-cam). our approach extracts activation maps from different exits of the
network to capture information from multiple resolutions. we then use an
attention model to hierarchically aggregate these activation maps, learning
pixel-wise weighted sums.experimental results on the four modalities of the 2021
brats dataset demonstrate the superiority of our approach compared with other
cam-based weakly-supervised segmentation methods. specifically, ame-cam achieves
the highest dice score for all patients in all datasets and modalities. these
results indicate the effectiveness of our proposed approach in accurately
segmenting brain tumors from mri images using only class labels.",1
39,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,3.1,Datasets,"three histo . it corresponds to absent fibrosis (f0), mild fibrosis (f1),
significant fibrosis (f2), severe fibrosis (f3) and cirrhosis (f4). this score
is then binarized to indicate the absence or presence of advanced fibrosis [14]:
f0/f1/f2 (n = 28) vs. f3/f4 (n = 78). d 2 histo . this is the public lihc
dataset from the cancer genome atlas [9], which presents a histological score,
the ishak score, designated as y 2 histo , that differs from the metavir score
present in d 1 histo . this score is also distributed through five labels: no
fibrosis, portal fibrosis, fibrous speta, nodular formation and incomplete
cirrhosis and established cirrhosis. similarly to the metavir score in d 1 histo
, we also binarize the ishak score, as proposed in [16,20], which results in two
cohorts of 34 healthy and 15 pathological patients.in all datasets, we select
the slices based on the liver segmentation of the patients. to gain in
precision, we keep the top 70% most central slices with respect to liver
segmentation maps obtained manually in d radio , and automatically for d 1 histo
and d 2 histo using a u-net architecture pretrained on d radio [18]. for the
latter pretraining dataset, it presents an average slice spacing of 3.23 mm with
a standard deviation of 1.29 mm. for the x and y axis, the dimension is 0.79 mm
per voxel on average, with a standard deviation of 0.10 mm.",1
40,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,3.2,Architecture and Optimization,"backbones. we propose to work with two different backbones in this paper:
tinynet and resnet-18 [12]. tinynet is a small encoder with 1.1m parameters,
inspired by [24], with five convolutional layers, a representation space (for
downstream tasks) of size 256 and a latent space (after a projection head of two
dense layers) of size 64. in comparison, resnet-18 has 11.2m parameters, a
representation space of dimension 512 and a latent space of dimension 128. more
details and an illustration of tinynet are available in the supplementary
material, as well as a full illustration of the algorithm flow.data
augmentation, sampling and optimization. cl methods [5,10,11] require strong
data augmentations on input images, in order to strengthen the association
between positive samples [22]. in our work, we leverage three types of
augmentations: rotations, crops and flips. data augmentations are computed on
the gpu, using the kornia library [17]. during inference, we remove the
augmentation module to only keep the original input images.for sampling,
inspired by [4], we propose a strategy well-adapted for contrastive learning in
2d medical imaging. we first sample n patients, where n is the batch size, in a
balanced way with respect to the radiological/histological classes; namely, we
roughly have the same number of subjects per class. then, we randomly select
only one slice per subject. in this way, we maximize the slice heterogeneity
within each batch. we use the same sampling strategy also for classification
baselines. for d 2 histo , which has fewer patients than the batch size, we use
a balanced sampling strategy with respect to the radiological/histological
classes with no obligation of one slice per patient in the batch. as we work
with 2d slices rather than 3d volumes, we compute the average probability per
patient of having the pathology. the evaluation results presented later are
based on the patient-level aggregated prediction.finally, we run our experiments
on a tesla v100 with 16gb of ram and a 6 cpu cores, and we used the
pytorch-lightning library to implement our models. all models share the same
data augmentation module, with a batch size of b = 64 and a fixed number of
epochs n epochs = 200. for all experiments, we fix a learning rate (lr) of α =
10 -4 and a weight decay of λ = 10 -4 . we add a cosine decay learning rate
scheduler [15] to prevent over-fitting. for byol, we initialize the moving
average decay at 0.996. evaluation protocol. we first pretrain the backbone
networks on d radio using all previously listed contrastive and non-contrastive
methods. then, we train a regularized logistic regression on the frozen
representations of the datasets d 1 histo and d 2 histo . we use a stratified
5-fold cross-validation. as a baseline, we train a classification algorithm from
scratch (supervised) for each dataset, d 1 histo and d 2 histo , using both
backbone encoders and the same 5-fold crossvalidation strategy. we also train a
regularized logistic regression on representations obtained with a random
initialization as a second baseline (random). finally, we report the
cross-validated results for each model on the aggregated dataset",1
41,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,4.0,Results and Discussion,"we present in table 1 the results of all our experiments. for each of them, we
report whether the pretraining method integrates the weak label meta-data, the
depth spatial encoding, or both, which is the core of our method. first, we can
notice that our method outperforms all other pretraining methods in d 1 histo
and d 1+2 histo , which are the two datasets with more patients. for the latter,
the proposed method surpasses the second best pretraining method, depth-aware,
by 4%. for d 1 histo , it can be noticed that wsp (ours) provides the best auc
score whatever the backbone used. for the second dataset d 2 histo , our method
is on par with byol and supcon when using a small encoder and outperforms the
other methods when using a larger backbone.to illustrate the impact of the
proposed method, we report in fig. 2 the projections of the resnet-18
representation vectors of 10 randomly selected subjects of d 1 histo onto the
first two modes of a pca. it can be noticed that the representation space of our
method is the only one where the diagnostic label (not available during
pretraining) and the depth position are correctly integrated. indeed, there is a
clear separation between slices of different classes (healthy at the bottom and
cirrhotic cases at the top) and at the same time it seems that the depth
position has been encoded in the x-axis, from left to right. supcon performs
well on the training set of d radio (figure available in the supplementary
material), as well as d 2 histo with tinynet, but it poorly generalizes to d 1
histo and d 1+2 histo . the method depth-aware manages to correctly encode the
depth position but not the diagnostic class label.to assess the clinical
performance of the pretraining methods, we also compute the balanced accuracy
scores (bacc) of the trained classifiers, which is compared in table 2 to the
bacc achieved by radiologists who were asked to visually assess the presence or
absence of cirrhosis for the n=106 cases of d 1 histo . the reported bacc values
correspond to the best scores among those obtained with tiny and resnet
encoders.radiologists achieved a bacc of 82% with respect to the histological
reference. the two bestperforming methods surpassed this score: depth-aware and
the proposed wsp approach, improving respectively the radiologists score by 2%
and 3%, suggesting that including 3d information (depth) at the pretraining
phase was beneficial.",1
53,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,3.1,Experimental Setup,"datasets. we employ the sun-seg [10] dataset with scribble annotations for
training and assessing the in-distribution performance. this dataset is based on
the sun database [16], which contains 100 different polyp video cases. to reduce
data redundancy and memory consumption, we choose the first of every five
consecutive frames in each case. we then randomly split the data into 70, 10,
and 20 cases for training, validation, and testing, leaving 6677, 1240, and 1993
frames in the respective split. for out-of-distribution evaluation, we utilize
three public datasets, namely kvasir-seg [9], cvc-clinicdb [2], and polypgen [1]
with 1000, 612, and 1537 polyp frames, respectively. these datasets are
collected from diversified patients in multiple medical centers with various
data acquisition systems. varying data shifts and corruption like motion blur
and specular reflections2 pose significant challenges to model generalization
and robustness.implementation details. we implement our method with pytorch [18]
and run the experiments on a single nvidia rtx3090 gpu. the sgd optimizer is
utilized for training 30k iterations with a momentum of 0.9, a weight decay of
0.0001, and a batch size of 16. the execution time for each experiment is
approximately 4 h. the initial learning rate is 0.03 and updated with the
polyscheduling policy [15]. the loss weighting coefficients λ mt and λ el are
empirically set the same and exponentially ramped up [3] from 0 to 5 in 25k
iterations. all the images are randomly cropped at the border with maximally 7
pixels and resized to 224×224 in width and height. besides, random horizontal
and vertical flipping are applied with a probability of 0.5, respectively. we
utilize unet [20] and ynet [6] as the respective segmentation model in the
spatial and spectral branches. the performance of the scribble-supervised model
with partial cross entropy [13] loss (scrib-pce) and the fully-supervised model
with cross entropy loss (fully-ce) are treated as the lower and upper bound,
respectively. five classical and relevant methods, including entmin [7], gcrf
[17], ustm [14], cps [3], and dmpls [15] are employed as the comparative
baselines and implemented with unet [20] as the segmentation backbone referring
to the wsl4mis3 repository. for a fair comparison, the output from the spatial
branch is taken as the final prediction and utilized in evaluation without
post-processing. in addition, statistical evaluations are conducted with
multiple seeds, and the mean and standard deviations of the results are
reported. [17] 0.656±0.019 0.541±0.022 0.690±0.017 4.983±0.089 ustm [14]
0.654±0.008 0.533±0.009 0.663±0.011 5.207±0.138 cps [3] 0.658±0.004 0.539±0.005
0.676±0.005 5.092±0.063 dmpls [15] 0.656±0.006 0.539±0.005 0.659±0.011
5.208±0.061 s 2 me (ours) 0.674±0.003 0.565±0.001 0.719±0.003 4.583±0.014",1
59,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,1.0,Introduction,"endoscopy is an important medical procedure with many applications, from routine
screening to detection of early signs of cancer and minimally invasive
treatment. automatic analysis and understanding of these videos raises many
opportunities for novel assistive and automatization tasks on endoscopy
procedures. obtaining 3d models from the intracorporeal scenes captured in
endoscopies is an essential step to enable these novel tasks and build
applications, for example, for improved monitoring of existing patients or
augmented reality during training or real explorations.3d reconstruction
strategies have been studied for long, and one crucial step in these strategies
is feature detection and matching which serves as input for structure from
motion (sfm) pipelines. endoscopic images are a challenging case for feature
detection and matching, due to several well known challenges for these tasks,
such as lack of texture, or the presence of frequent artifacts, like specular
reflections. these problems are accentuated when all the elements in the scene
are deformable, as it is the case in most endoscopy scenarios, and in particular
in the real use case studied in our work, the lower gastrointestinal tract
explored with colonoscopies. existing 3d reconstruction pipelines are able to
build small 3d models out of short clips from real and complete recordings [1].
one of the current bottle-necks to obtain better 3d models is the lack of more
abundant and higher quality correspondences in real data.this work introduces
superpoint-e, a new model to extract interest points from endoscopic images. we
build on the well known superpoint architecture [5], a seminal work that
delivers state-of-the-art results when coupled with downstream tasks1 . our main
contribution is a novel supervision strategy to train the model. we propose to
automatically generate reliable training data from video sequences by tracking
feature points from existing detection methods, which do not require training.
we select good features with the colmap sfm pipeline [21], generating training
examples with feature points that can be tracked across several images according
to colmap result. when used to train superpoint, our approach yields a
self-supervised method outperforming current ones.",1
