title,keyword
Anatomy-Driven Pathology Detection on Chest X-rays,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patients
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,patient
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patient
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patient
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patient
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,patients
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,patients
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,patients
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,patients
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,patients
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,patients
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,patient
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,patients
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,patients
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,patients
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,patients
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,patients
SLPD: Slide-Level Prototypical Distillation for WSIs,patients
SLPD: Slide-Level Prototypical Distillation for WSIs,patients
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,patient
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,patients
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,patient
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patients
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Gall Bladder Cancer Detection from US Images with only Image Level Labels,patient
Structured State Space Models for Multiple Instance Learning in Digital Pathology,patient
Structured State Space Models for Multiple Instance Learning in Digital Pathology,patient
Structured State Space Models for Multiple Instance Learning in Digital Pathology,patient
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,patient
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,patients
Geometry-Invariant Abnormality Detection,patient
Geometry-Invariant Abnormality Detection,patients
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,patients
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,patients
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,patients
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,patient
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,patients
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patients
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patients
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,patient
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,patient
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,patient
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,patients
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,patients
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,patients
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,patient
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,patient
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,patient
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,patients
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,patients
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,patients
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,patients
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,patients
Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,patients
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,patients
Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,patients
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,patients
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,patients
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,patients
Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,patients
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,patient
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,patients
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,patients
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,patients
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,patient
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,patient
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,patient
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,patients
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,patient
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,patients
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,patients
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,patients
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,patients
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,patients
Certification of Deep Learning Models for Medical Image Segmentation,patients
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,patient
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,patient
