title,extracted_keyword_sent
Anatomy-Driven Pathology Detection on Chest X-rays,none
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,none
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,none
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,none
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,none
SLPD: Slide-Level Prototypical Distillation for WSIs,none
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"through
knowledge distillation, we encour-age agreement across the predictions delivered
at different resolutions, while individual scale features are learned in
isolation to preserve the diversity in terms of information content."
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"domain shift is typically caused by various factors, including
differences in acquisition protocols (e.g., parameters, imaging methods,
modalities) and characteristics of data (e.g., age, gender, the severity of the
disease and so on).domain adaptation (da) has been proposed and investigated to
combat distribution shift in medical image segmentation."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the infant brain
mri dataset for cross-age segmentation; 2)."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the first dataset, i.e., cross-age infant segmentation [20], was used
for cross-age infant brain image segmentation, while the second dataset, i.e.,
brats2018 [21], was used for hgg to lgg domain adaptation.the first dataset is
for infant brain segmentation (white matter, gray matter and cerebrospinal
fluid)."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"to build the cross-age dataset, we take advantage 10 brain mris of
6-month-old from iseg2019 [20], and also build 3-month-old and 12-month-old
in-house datasets."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the quantitative comparison results of cross-age infant brain
segmentation is presented in table 1, and due to space limitations, we put the
experimental results of the brain tumor segmentation task in table 1 of
supplementary material, sec.3."
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,none
Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
Geometry-Invariant Abnormality Detection,none
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,none
Synthetic Augmentation with Large-Scale Unconditional Pre-training,none
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,none
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,none
Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,none
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,none
FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,none
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,none
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,none
COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,none
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,none
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,none
Efficient Subclass Segmentation in Medical Images,none
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,none
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,none
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,none
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,none
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,none
DeDA: Deep Directed Accumulator,none
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,none
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,none
