title,extracted_keyword_sent
Anatomy-Driven Pathology Detection on Chest X-rays,none
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"for single-source domain
adaptation approach, cellsegssda and sfda-dpl, we employ two strategies to
ensure the fairness of the experiments: (1) single-source, i.e."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,none
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,none
SLPD: Slide-Level Prototypical Distillation for WSIs,"however, the
obtained clustering centers, i.e., the prototypes, are inclined to represent the
visual bias related to staining or scanning procedure rather than medically
relevant features [33]."
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,none
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,none
Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
Geometry-Invariant Abnormality Detection,none
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,none
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,none
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"first,
pure vit has several limitations itself [6], including ignoring local
information within each patch, extracting only single-scale features, and
lacking inductive bias."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"considering the fairness, all the models below are
initialized with pre-trained weights and adopt 2-d structures using the same
slice-level classification strategy."
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,none
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,none
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,none
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"therefore, it has to simulate
missing data by crudely zero-padding or replacing it with similar modalities,
which inevitably introduces a bias in computation and causes performance
degradation [5,18,25].transformer has achieved success in the field of computer
vision, demonstrating that self-attention mechanism has the ability to capture
the latent correlation of image tokens."
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,none
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,none
Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,none
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,none
Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,none
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,none
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,none
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,none
Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,none
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,none
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,none
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"to avoid data
leakage and bias, we selected the train, test, and validation sets based on the
cases, i.e., the images from one case (patient) were assigned to only one of the
training, validation, and test sets."
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,none
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,none
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,none
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,none
Certification of Deep Learning Models for Medical Image Segmentation,none
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,"all methods are implemented
with the same backbone and training protocols to ensure fairness."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,none
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,none
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,none
TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,none
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,no data augmentation techniques are used to ensure fairness.
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,none
